epoch,train_loss,train_mse_loss,train_residual_loss,train_smoothness_loss,mse,mae
1,0.32409106717919406,0.32409106717919406,1.2958655032557566e-07,4.782535194368727e-08,0.5182643532752991,0.4871537685394287
2,0.29203046318495046,0.29203046318495046,1.1629754853728164e-07,5.2193752260218644e-08,0.5215157270431519,0.4891951084136963
3,0.28310471373908924,0.28310471373908924,1.325951805811973e-07,8.314513790252314e-08,0.5157296061515808,0.4838106036186218
4,0.2748126258827605,0.2748126258827605,1.452341726563508e-07,1.0303632165337664e-07,0.5058395266532898,0.47491908073425293
5,0.2670809546169245,0.2670809546169245,1.6408950460371035e-07,1.2098726967198397e-07,0.5264176726341248,0.4867510497570038
6,0.2587738696696623,0.2587738696696623,2.75524982224045e-07,1.6368712958822316e-07,0.5323737859725952,0.4878334403038025
7,0.2506569432200126,0.2506569432200126,6.400628199932022e-07,2.6835750539480354e-07,0.571631133556366,0.5034001469612122
8,0.24346967221431012,0.24346967221431012,1.0850023639524703e-06,3.649481765744397e-07,0.5701273083686829,0.502535879611969
9,0.23699047914091145,0.23699047914091145,1.5695730523458343e-06,4.78815564974866e-07,0.6133122444152832,0.5192149877548218
10,0.23138403959994047,0.23138403959994047,2.5407572717806446e-06,5.836099664717932e-07,0.6228351593017578,0.5231708884239197
11,0.22662881179800573,0.22662881179800573,3.676696360344067e-06,7.191730049889198e-07,0.6197325587272644,0.5246434211730957
12,0.22139192701510663,0.22139192701510663,5.924383740764241e-06,9.383077339544746e-07,0.6676411032676697,0.5404840707778931
13,0.2167099191332763,0.2167099191332763,9.427860996371272e-06,1.2437172493796339e-06,0.6404606103897095,0.5313426852226257
14,0.21214143487642395,0.21214143487642395,1.4616505249473705e-05,1.5904655652295059e-06,0.6527026891708374,0.5365131497383118
