dataset,segment_start,segment_end,best_pred_len,best_mse,best_mae,second_pred_len,second_mse,mse_margin_to_second,relative_margin_to_second,candidate_pred_lens
ETTh2,0,48,192,0.20299530953949702,0.2893645877770467,96,0.20509219350869667,0.002096883969199659,0.010329716356286872,96;192;336;720
ETTh2,48,96,720,0.29770767273445503,0.3577846388317626,192,0.3099288256186596,0.012221152884204556,0.041050849553029164,96;192;336;720
ETTh2,96,144,720,0.32832271969073307,0.3797635733063362,96,0.33573316113997836,0.0074104414492452975,0.02257060204735645,96;192;336;720
ETTh2,144,192,720,0.3540179888806671,0.40048458183172403,336,0.3592966993899352,0.005278710509268092,0.014910853897448267,96;192;336;720
ETTh2,192,240,336,0.3600070382017753,0.4151486382310328,720,0.36064393436138265,0.0006368961596073253,0.0017691214115940707,96;192;336;720
ETTh2,240,288,720,0.353408477239171,0.41378791106177765,336,0.35400455518816554,0.0005960779489945223,0.0016866543599946627,96;192;336;720
ETTh2,288,336,720,0.35158241265079787,0.4178065248732606,336,0.3579805973110391,0.006398184660241224,0.01819825005466383,96;192;336;720
ETTh2,336,384,720,0.35760546431435636,0.425013815052951,336,0.3667231460752521,0.009117681760895724,0.02549648333360125,96;192;336;720
ETTh2,384,432,720,0.37171282692280877,0.43591429773705886,336,0.3888200645693071,0.017107237646498352,0.04602272616772222,96;192;336;720
ETTh2,432,480,720,0.41025010797793093,0.4546122734739105,192,0.4317567365134483,0.02150662853551738,0.05242321237042626,96;192;336;720
ETTh2,480,528,720,0.4416277013258233,0.47309764630813284,192,0.45674326939895,0.015115568073126695,0.03422694733085767,96;192;336;720
ETTh2,528,576,192,0.48823768439366144,0.4944188668212433,336,0.4923217629527896,0.004084078559128179,0.008364939228728656,96;192;336;720
ETTh2,576,624,192,0.5381034016701132,0.5241594662370748,336,0.5497868104303701,0.011683408760256975,0.0217122001533444,96;192;336;720
ETTh2,624,672,192,0.5865103368842585,0.5547971335638642,336,0.5937022475656628,0.007191910681404345,0.012262206186527267,96;192;336;720
ETTh2,672,720,720,0.6311073689055063,0.5871419534443448,192,0.6326456549715017,0.0015382860659953757,0.0024374395574926306,96;192;336;720
ETTm1,0,48,96,0.2527005691343658,0.3244305540016532,192,0.2606764292170497,0.007975860082683917,0.03156249354722663,96;192;336;720
