model,dataset,segment_start,segment_end,checkpoint_pred_len,target_horizon,roll_steps,mse,mae
PatchEncoderFixedHead,ETTh2,0,48,96,720,8,0.20509219350869667,0.29097686691588476
PatchEncoderFixedHead,ETTh2,48,96,96,720,8,0.31371816217903264,0.37235619632467676
PatchEncoderFixedHead,ETTh2,96,144,96,720,8,0.33573316113997836,0.39381047000844244
PatchEncoderFixedHead,ETTh2,144,192,96,720,8,0.38551903817534977,0.4350528521603032
PatchEncoderFixedHead,ETTh2,192,240,96,720,8,0.4111482377265713,0.45521959217513935
PatchEncoderFixedHead,ETTh2,240,288,96,720,8,0.42169252396764684,0.4657675084350933
PatchEncoderFixedHead,ETTh2,288,336,96,720,8,0.42230098318610765,0.4673336954798332
PatchEncoderFixedHead,ETTh2,336,384,96,720,8,0.4404908255448918,0.4815636532673538
PatchEncoderFixedHead,ETTh2,384,432,96,720,8,0.45244089611062965,0.4923817470309539
PatchEncoderFixedHead,ETTh2,432,480,96,720,8,0.48176170650557915,0.5101891012001167
PatchEncoderFixedHead,ETTh2,480,528,96,720,8,0.5099345130068889,0.5268822009675718
PatchEncoderFixedHead,ETTh2,528,576,96,720,8,0.5559420676101198,0.552203263831074
PatchEncoderFixedHead,ETTh2,576,624,96,720,8,0.6133392428803319,0.5831367312956895
PatchEncoderFixedHead,ETTh2,624,672,96,720,8,0.6646577995594333,0.6109693099401629
PatchEncoderFixedHead,ETTh2,672,720,96,720,8,0.7149504798177514,0.6334021500987818
PatchEncoderFixedHead,ETTh2,0,48,192,720,4,0.20299530953949702,0.2893645877770467
PatchEncoderFixedHead,ETTh2,48,96,192,720,4,0.3099288256186596,0.36513063769503273
PatchEncoderFixedHead,ETTh2,96,144,192,720,4,0.34101286960182436,0.3886418516908405
PatchEncoderFixedHead,ETTh2,144,192,192,720,4,0.361933823037002,0.40698367940284413
PatchEncoderFixedHead,ETTh2,192,240,192,720,4,0.37499370429108203,0.42032312994338905
PatchEncoderFixedHead,ETTh2,240,288,192,720,4,0.38616169744384693,0.43318877223621255
PatchEncoderFixedHead,ETTh2,288,336,192,720,4,0.3863479531207177,0.43420244861948354
PatchEncoderFixedHead,ETTh2,336,384,192,720,4,0.3885227651489524,0.436624985227074
PatchEncoderFixedHead,ETTh2,384,432,192,720,4,0.39028235997611715,0.4381983139540088
PatchEncoderFixedHead,ETTh2,432,480,192,720,4,0.4317567365134483,0.4596028433331302
PatchEncoderFixedHead,ETTh2,480,528,192,720,4,0.45674326939895,0.47530120226225253
PatchEncoderFixedHead,ETTh2,528,576,192,720,4,0.48823768439366144,0.4944188668212433
PatchEncoderFixedHead,ETTh2,576,624,192,720,4,0.5381034016701132,0.5241594662370748
