model,strategy,dataset,horizon,mse,mae,baseline_model,baseline_strategy,baseline_mse,baseline_mae,relative_mse_pct,relative_mae_pct,mse_win,mae_win
PatchEncoderConditionedFutureUnitScheduling,S1_conditioned_future_unit_scheduling,ETTh2,96,0.3125349283218384,0.368257611989975,PatchEncoderFullTimeMSE720,D0_full_time_mse,0.3393581807613373,0.3825231194496155,-7.904112515962325,-3.72931902264263,True,True
PatchEncoderConditionedFutureUnitScheduling,S1_conditioned_future_unit_scheduling,ETTh2,192,0.3629845976829529,0.3989013135433197,PatchEncoderFullTimeMSE720,D0_full_time_mse,0.38873955607414246,0.41329216957092285,-6.625247672577328,-3.4820054884039164,True,True
PatchEncoderConditionedFutureUnitScheduling,S1_conditioned_future_unit_scheduling,ETTh2,336,0.3818100392818451,0.4146207571029663,PatchEncoderFullTimeMSE720,D0_full_time_mse,0.39454904198646545,0.42475733160972595,-3.2287501296372034,-2.38643897407127,True,True
PatchEncoderConditionedFutureUnitScheduling,S1_conditioned_future_unit_scheduling,ETTh2,720,0.4022766649723053,0.4370744228363037,PatchEncoderFullTimeMSE720,D0_full_time_mse,0.4192008078098297,0.44865214824676514,-4.037240034423317,-2.580557221380675,True,True
PatchEncoderConditionedFutureUnitScheduling,S1_conditioned_future_unit_scheduling,Weather,96,0.15485529601573944,0.20370763540267944,PatchEncoderFullTimeMSE720,D0_full_time_mse,0.15470075607299805,0.204793781042099,0.0998960487746281,-0.5303606554323492,False,True
PatchEncoderConditionedFutureUnitScheduling,S1_conditioned_future_unit_scheduling,Weather,192,0.2007528692483902,0.24523650109767914,PatchEncoderFullTimeMSE720,D0_full_time_mse,0.20070676505565643,0.24629350006580353,0.022970921145071266,-0.4291623481098683,False,True
PatchEncoderConditionedFutureUnitScheduling,S1_conditioned_future_unit_scheduling,Weather,336,0.2566792964935303,0.2858029007911682,PatchEncoderFullTimeMSE720,D0_full_time_mse,0.2568790018558502,0.28697192668914795,-0.07774296882079312,-0.4073659439329247,True,True
PatchEncoderConditionedFutureUnitScheduling,S1_conditioned_future_unit_scheduling,Weather,720,0.3378731608390808,0.34039199352264404,PatchEncoderFullTimeMSE720,D0_full_time_mse,0.3384815454483032,0.3417808413505554,-0.1797393735060604,-0.40635625520240026,True,True
PatchEncoderConditionedFutureUnitScheduling,S1_conditioned_future_unit_scheduling,ETTh2,96,0.3125349283218384,0.368257611989975,PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,0.30479592084884644,0.35886070132255554,2.5390784271124955,2.6185399049792224,False,False
PatchEncoderConditionedFutureUnitScheduling,S1_conditioned_future_unit_scheduling,ETTh2,192,0.3629845976829529,0.3989013135433197,PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,0.3690433204174042,0.4003613591194153,-1.6417375411641677,-0.36468194116108243,True,True
PatchEncoderConditionedFutureUnitScheduling,S1_conditioned_future_unit_scheduling,ETTh2,336,0.3818100392818451,0.4146207571029663,PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,0.3829101622104645,0.41559359431266785,-0.287305753983802,-0.23408378353628745,True,True
PatchEncoderConditionedFutureUnitScheduling,S1_conditioned_future_unit_scheduling,ETTh2,720,0.4022766649723053,0.4370744228363037,PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,0.41047340631484985,0.43929871916770935,-1.9968994864084655,-0.5063288906509422,True,True
PatchEncoderConditionedFutureUnitScheduling,S1_conditioned_future_unit_scheduling,Weather,96,0.15485529601573944,0.20370763540267944,PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,0.14802636206150055,0.19702932238578796,4.613322829214472,3.3895020984821667,False,False
PatchEncoderConditionedFutureUnitScheduling,S1_conditioned_future_unit_scheduling,Weather,192,0.2007528692483902,0.24523650109767914,PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,0.19240911304950714,0.23990498483181,4.336466223788582,2.222344929434006,False,False
PatchEncoderConditionedFutureUnitScheduling,S1_conditioned_future_unit_scheduling,Weather,336,0.2566792964935303,0.2858029007911682,PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,0.24479345977306366,0.28043317794799805,4.85545517902537,1.9147958463623382,False,False
PatchEncoderConditionedFutureUnitScheduling,S1_conditioned_future_unit_scheduling,Weather,720,0.3378731608390808,0.34039199352264404,PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,0.3208470046520233,0.3337559103965759,5.306627750981607,1.988304302441568,False,False
