strategy,baseline_strategy,settings,mse_wins,mae_wins,mean_relative_mse_pct,mean_relative_mae_pct
S1_conditioned_future_unit_scheduling,D0_full_time_mse,8,6,8,-2.741245715625916,-1.743945738647004
S1_conditioned_future_unit_scheduling,D1_r3_prefix_risk,8,3,3,2.2156259535707616,1.3785490582938738
