segment_a,segment_b,cosine
0,1,-0.10765155404806137
0,2,0.05369872227311134
0,3,0.8426548838615417
0,4,-0.24033965170383453
0,5,-0.09682471305131912
0,6,0.7102803587913513
1,2,0.14929549396038055
1,3,-0.006472853943705559
1,4,0.9355454444885254
1,5,0.11074300110340118
1,6,-0.05038733780384064
2,3,0.14467233419418335
2,4,0.13738101720809937
2,5,0.9541375041007996
2,6,0.11943688988685608
3,4,0.00161999452393502
3,5,0.10921993106603622
3,6,0.9630840420722961
4,5,0.19000685214996338
4,6,0.03335389122366905
5,6,0.15719012916088104
