dataset,horizon,n_pairs,cosine_mean,cosine_std,cosine_min,cosine_max
ETTh2,96,1,0.11898787319660187,0.0,0.11898787319660187,0.11898787319660187
ETTh2,192,6,-0.042915125687917076,0.1401524721216703,-0.18869243562221527,0.16175641119480133
ETTh2,336,21,0.05082457024781477,0.0985314078891948,-0.16263192892074585,0.3089525103569031
ETTh2,720,105,0.04701107821726639,0.10358455513147583,-0.20047388970851898,0.2810388207435608
ETTm1,96,1,-0.022599611431360245,0.0,-0.022599611431360245,-0.022599611431360245
ETTm1,192,6,-0.07550300781925519,0.1465328148760732,-0.2623996436595917,0.16857898235321045
ETTm1,336,21,0.021671906113624573,0.21644311826242577,-0.28188833594322205,0.38074183464050293
ETTm1,720,105,0.04873533727423776,0.2732211735952562,-0.40270286798477173,0.49094051122665405
Weather,96,1,-0.017395690083503723,0.0,-0.017395690083503723,-0.017395690083503723
Weather,192,6,-0.05219522677361965,0.08137363438076932,-0.16409310698509216,0.06577888876199722
Weather,336,21,0.022489250948031742,0.18293551444531272,-0.1877214014530182,0.4535754323005676
Weather,720,105,0.07868956427888146,0.1880551522541982,-0.22070057690143585,0.5267309546470642
