dataset,horizon,fixed_mse,segment_mse,delta_mse,relative_mse_change,fixed_mae,segment_mae,delta_mae,relative_mae_change,fixed_epochs,segment_epochs,fixed_parameter_count,segment_parameter_count,parameter_ratio,segment_passes_mse
ETTh2,96,0.3074484169483185,0.3540932238101959,0.04664480686187744,0.15171587912166204,0.36609065532684326,0.4041655659675598,0.03807491064071655,0.10400404950714606,13,25,921184,544432,0.5910133046166672,False
ETTh2,192,0.37734004855155945,0.4229736030101776,0.045633554458618164,0.12093482956231409,0.4069473147392273,0.44286271929740906,0.03591540455818176,0.08825566174627895,12,17,1437376,544688,0.3789460795226858,False
ETTh2,336,0.3841150403022766,0.4238976836204529,0.03978264331817627,0.10356960583180913,0.4212876260280609,0.44517290592193604,0.023885279893875122,0.056695897097827845,13,16,2211664,545072,0.24645334915249334,False
ETTh2,720,0.4074031412601471,0.4407193660736084,0.033316224813461304,0.08177704450292209,0.4438471794128418,0.465829074382782,0.021981894969940186,0.049525818771721554,11,15,4276432,546096,0.12769897896190094,False
ETTm1,96,0.29047533869743347,0.29832956194877625,0.007854223251342773,0.02703920851444099,0.3442326486110687,0.35053160786628723,0.006298959255218506,0.018298552681257685,14,25,921184,544432,0.5910133046166672,False
ETTm1,192,0.3377011716365814,0.3474285304546356,0.0097273588180542,0.028804634496567096,0.3733891248703003,0.38944458961486816,0.01605546474456787,0.04299928325482127,14,17,1437376,544688,0.3789460795226858,False
ETTm1,336,0.361540287733078,0.3933617174625397,0.03182142972946167,0.0880162759425449,0.3907651901245117,0.4202650189399719,0.029499828815460205,0.07549246852325947,11,16,2211664,545072,0.24645334915249334,False
ETTm1,720,0.412788063287735,0.4398943781852722,0.02710631489753723,0.06566642136316501,0.42070141434669495,0.4418357312679291,0.02113431692123413,0.05023590651353883,11,14,4276432,546096,0.12769897896190094,False
Weather,96,0.14708691835403442,0.15428002178668976,0.0071931034326553345,0.048903760532542535,0.1950538456439972,0.20398743450641632,0.008933588862419128,0.045800629220734676,16,17,921184,544432,0.5910133046166672,False
Weather,192,0.19520847499370575,0.2044418752193451,0.009233400225639343,0.04730020162258356,0.24188493192195892,0.2525140345096588,0.01062910258769989,0.04394280579300092,15,14,1437376,544688,0.3789460795226858,False
Weather,336,0.25078684091567993,0.25619491934776306,0.00540807843208313,0.021564442585332636,0.28711846470832825,0.2892841398715973,0.002165675163269043,0.007542793060937626,16,19,2211664,545072,0.24645334915249334,False
Weather,720,0.32312721014022827,0.33283236622810364,0.009705156087875366,0.030035093868026764,0.33546921610832214,0.34296151995658875,0.0074923038482666016,0.022333804380570515,12,14,4276432,546096,0.12769897896190094,False
