dataset,horizon,segment,fixed_mse,segment_mse,delta_mse,relative_mse_change,fixed_mae,segment_mae,delta_mae,relative_mae_change,segment_passes_mse
ETTh2,96,1-96,0.3074484169483185,0.3540932238101959,0.04664480686187744,0.15171587912166204,0.36609065532684326,0.4041655659675598,0.03807491064071655,0.10400404950714606,False
ETTh2,192,1-96,0.3041790723800659,0.36865395307540894,0.06447488069534302,0.21196356537895839,0.3596230745315552,0.4100238084793091,0.050400733947753906,0.14014877664178216,False
ETTh2,192,97-192,0.45050108432769775,0.4772932529449463,0.026792168617248535,0.059471929256800005,0.4542715549468994,0.47570163011550903,0.02143007516860962,0.047174591794801275,False
ETTh2,336,1-96,0.28333091735839844,0.35135552287101746,0.06802460551261902,0.24008889021656446,0.34809982776641846,0.3937991261482239,0.04569929838180542,0.13128216315140068,False
ETTh2,336,97-192,0.39427974820137024,0.43277254700660706,0.038492798805236816,0.09762814088431804,0.4292934834957123,0.4497334659099579,0.020439982414245605,0.04761307403924233,False
ETTh2,336,193-336,0.4445280134677887,0.4663424491882324,0.021814435720443726,0.0490732531123698,0.4647422432899475,0.47638168931007385,0.011639446020126343,0.025044949513798816,False
ETTh2,720,1-96,0.2543378472328186,0.31316322088241577,0.05882537364959717,0.2312883209857043,0.3262273371219635,0.37214142084121704,0.04591408371925354,0.140742600311537,False
ETTh2,720,97-192,0.3411703407764435,0.3744076192378998,0.0332372784614563,0.09742135962292067,0.3901240825653076,0.41680851578712463,0.026684433221817017,0.06839986151675213,False
ETTh2,720,193-336,0.35521161556243896,0.3762872815132141,0.021075665950775146,0.05933270486496935,0.41422906517982483,0.43093472719192505,0.01670566201210022,0.04032952638137058,False
ETTh2,720,337-720,0.48179948329925537,0.5133484601974487,0.03154897689819336,0.06548154988077821,0.4977897107601166,0.5145915746688843,0.0168018639087677,0.03375293531702681,False
ETTm1,96,1-96,0.29047533869743347,0.29832956194877625,0.007854223251342773,0.02703920851444099,0.3442326486110687,0.35053160786628723,0.006298959255218506,0.018298552681257685,False
ETTm1,192,1-96,0.2987188696861267,0.3158192038536072,0.01710033416748047,0.057245577373295255,0.35031452775001526,0.3702174425125122,0.019902914762496948,0.05681441443587428,False
ETTm1,192,97-192,0.37668347358703613,0.37903785705566406,0.0023543834686279297,0.006250296691298638,0.39646369218826294,0.4086717367172241,0.012208044528961182,0.030792339297400592,False
ETTm1,336,1-96,0.29374390840530396,0.33548763394355774,0.041743725538253784,0.14210924667297728,0.35131213068962097,0.3886425793170929,0.037330448627471924,0.10626006154183391,False
ETTm1,336,97-192,0.35962292551994324,0.3915362060070038,0.03191328048706055,0.08874095120860354,0.391627699136734,0.42119136452674866,0.02956366539001465,0.07548920940776639,False
ETTm1,336,193-336,0.4080162048339844,0.4331614375114441,0.025145232677459717,0.061628024523415516,0.4164922535419464,0.4407290518283844,0.02423679828643799,0.0581926748464651,False
ETTm1,720,1-96,0.29211053252220154,0.34221765398979187,0.05010712146759033,0.17153479895074306,0.35281580686569214,0.3918900787830353,0.03907427191734314,0.11074977695718068,False
ETTm1,720,97-192,0.3583531081676483,0.38710904121398926,0.028755933046340942,0.08024468712822788,0.3930736482143402,0.4174090325832367,0.024335384368896484,0.061910495601645056,False
ETTm1,720,193-336,0.41059064865112305,0.4275653064250946,0.016974657773971558,0.04134204670694983,0.4203362762928009,0.4347352385520935,0.014398962259292603,0.03425581628663063,False
ETTm1,720,337-720,0.4573901295661926,0.48213326930999756,0.02474313974380493,0.05409635701424587,0.4447166323661804,0.46309152245521545,0.018374890089035034,0.04131819849252932,False
Weather,96,1-96,0.14708691835403442,0.15428002178668976,0.0071931034326553345,0.048903760532542535,0.1950538456439972,0.20398743450641632,0.008933588862419128,0.045800629220734676,False
Weather,192,1-96,0.15198560059070587,0.1627051681280136,0.01071956753730774,0.07053015216997639,0.20113612711429596,0.21588456630706787,0.014748439192771912,0.07332565961355657,False
Weather,192,97-192,0.23843136429786682,0.24617856740951538,0.00774720311164856,0.03249238259598329,0.2826337516307831,0.28914353251457214,0.0065097808837890625,0.023032567222520103,False
Weather,336,1-96,0.15354138612747192,0.16002283990383148,0.006481453776359558,0.04221307322951075,0.2040555626153946,0.20919065177440643,0.005135089159011841,0.02516515155575785,False
Weather,336,97-192,0.2438506931066513,0.24970823526382446,0.005857542157173157,0.02402101910209164,0.2894735634326935,0.29112377762794495,0.0016502141952514648,0.005700742325767382,False
Weather,336,193-336,0.32024121284484863,0.3246340751647949,0.004392862319946289,0.013717354743077854,0.34092363715171814,0.34145334362983704,0.0005297064781188965,0.0015537393726770727,False
Weather,720,1-96,0.15367551147937775,0.170783132314682,0.01710762083530426,0.11132301217425908,0.20635920763015747,0.22412674129009247,0.017767533659934998,0.08610002850843686,False
Weather,720,97-192,0.23720782995224,0.247473806142807,0.010265976190567017,0.04327840355284222,0.2855444550514221,0.29241809248924255,0.006873637437820435,0.024072039628934835,False
Weather,720,193-336,0.31677156686782837,0.3244338035583496,0.00766223669052124,0.024188524135179964,0.3358266353607178,0.34220215678215027,0.006375521421432495,0.018984561527064184,False
Weather,720,337-720,0.38935336470603943,0.3978337347507477,0.008480370044708252,0.021780651750912452,0.3800938129425049,0.3855908215045929,0.005497008562088013,0.014462241622753067,False
