model,dataset,horizon,seed,mse,mae,epochs,parameter_count
PatchEncoderFixedHead,ETTh2,96,2021,0.3074484169483185,0.36609065532684326,13,921184
PatchEncoderFixedHead,ETTh2,192,2021,0.37734004855155945,0.4069473147392273,12,1437376
PatchEncoderFixedHead,ETTh2,336,2021,0.3841150403022766,0.4212876260280609,13,2211664
PatchEncoderFixedHead,ETTh2,720,2021,0.4074031412601471,0.4438471794128418,11,4276432
PatchEncoderFixedHead,ETTm1,96,2021,0.29047533869743347,0.3442326486110687,14,921184
PatchEncoderFixedHead,ETTm1,192,2021,0.3377011716365814,0.3733891248703003,14,1437376
PatchEncoderFixedHead,ETTm1,336,2021,0.361540287733078,0.3907651901245117,11,2211664
PatchEncoderFixedHead,ETTm1,720,2021,0.412788063287735,0.42070141434669495,11,4276432
PatchEncoderFixedHead,Weather,96,2021,0.14708691835403442,0.1950538456439972,16,921184
PatchEncoderFixedHead,Weather,192,2021,0.19520847499370575,0.24188493192195892,15,1437376
PatchEncoderFixedHead,Weather,336,2021,0.25078684091567993,0.28711846470832825,16,2211664
PatchEncoderFixedHead,Weather,720,2021,0.32312721014022827,0.33546921610832214,12,4276432
PatchEncoderSegmentQueryHead,ETTh2,96,2021,0.3540932238101959,0.4041655659675598,25,544432
PatchEncoderSegmentQueryHead,ETTh2,192,2021,0.4229736030101776,0.44286271929740906,17,544688
PatchEncoderSegmentQueryHead,ETTh2,336,2021,0.4238976836204529,0.44517290592193604,16,545072
PatchEncoderSegmentQueryHead,ETTh2,720,2021,0.4407193660736084,0.465829074382782,15,546096
PatchEncoderSegmentQueryHead,ETTm1,96,2021,0.29832956194877625,0.35053160786628723,25,544432
PatchEncoderSegmentQueryHead,ETTm1,192,2021,0.3474285304546356,0.38944458961486816,17,544688
PatchEncoderSegmentQueryHead,ETTm1,336,2021,0.3933617174625397,0.4202650189399719,16,545072
PatchEncoderSegmentQueryHead,ETTm1,720,2021,0.4398943781852722,0.4418357312679291,14,546096
PatchEncoderSegmentQueryHead,Weather,96,2021,0.15428002178668976,0.20398743450641632,17,544432
PatchEncoderSegmentQueryHead,Weather,192,2021,0.2044418752193451,0.2525140345096588,14,544688
PatchEncoderSegmentQueryHead,Weather,336,2021,0.25619491934776306,0.2892841398715973,19,545072
PatchEncoderSegmentQueryHead,Weather,720,2021,0.33283236622810364,0.34296151995658875,14,546096
