arm,dataset,profile_id,horizon,mse,mae,seed,checkpoint_sha256,decoder_parameters,test_access_date,test_tuned
v1_original,ETTm1,v1_original,96,0.3165338912338079,0.3503731457417544,2021,c2eeda8dd7ef9020f95125fd62e3d40525f1f4a7b301f4844a933a68b55e2c5e,0,2026-08-15,False
v1_original,ETTm1,v1_original,192,0.3565571855045699,0.3721032013710828,2021,c2eeda8dd7ef9020f95125fd62e3d40525f1f4a7b301f4844a933a68b55e2c5e,0,2026-08-15,False
v1_original,ETTm1,v1_original,336,0.3996746826150659,0.3965097883052288,2021,c2eeda8dd7ef9020f95125fd62e3d40525f1f4a7b301f4844a933a68b55e2c5e,0,2026-08-15,False
v1_original,ETTm1,v1_original,720,0.47325194331172343,0.4337562955833439,2021,c2eeda8dd7ef9020f95125fd62e3d40525f1f4a7b301f4844a933a68b55e2c5e,0,2026-08-15,False
v1_original,ETTm2,v1_original,96,0.18183948091531635,0.25843484554515095,2021,5348110340bc9afde9280cbf8389a2d2e1e6948ace2e704d0c52c5258e4e49ed,0,2026-08-15,False
v1_original,ETTm2,v1_original,192,0.24980449719120018,0.3020337314022608,2021,5348110340bc9afde9280cbf8389a2d2e1e6948ace2e704d0c52c5258e4e49ed,0,2026-08-15,False
v1_original,ETTm2,v1_original,336,0.31266303970431486,0.341336072521807,2021,5348110340bc9afde9280cbf8389a2d2e1e6948ace2e704d0c52c5258e4e49ed,0,2026-08-15,False
v1_original,ETTm2,v1_original,720,0.4037280090027764,0.3948283797358844,2021,5348110340bc9afde9280cbf8389a2d2e1e6948ace2e704d0c52c5258e4e49ed,0,2026-08-15,False
v1_original,ETTh1,v1_original,96,0.3740075097417885,0.38920481909557947,2021,62fd68a2d51fc0ef8dc35203b9a6386c3399466dcf9db11f14327fd9ba9493bf,0,2026-08-15,False
v1_original,ETTh1,v1_original,192,0.4150643030887375,0.4123834665399884,2021,62fd68a2d51fc0ef8dc35203b9a6386c3399466dcf9db11f14327fd9ba9493bf,0,2026-08-15,False
v1_original,ETTh1,v1_original,336,0.43896908579521343,0.42980722460243737,2021,62fd68a2d51fc0ef8dc35203b9a6386c3399466dcf9db11f14327fd9ba9493bf,0,2026-08-15,False
v1_original,ETTh1,v1_original,720,0.47005162238992354,0.4627786476306426,2021,62fd68a2d51fc0ef8dc35203b9a6386c3399466dcf9db11f14327fd9ba9493bf,0,2026-08-15,False
v1_original,ETTh2,v1_original,96,0.25898334943594276,0.3230994595694169,2021,d76ab455325480f5e49810f6712d762ca2ff84af5b0c9682d3f3b6c0244f4d34,0,2026-08-15,False
v1_original,ETTh2,v1_original,192,0.3144601445599354,0.3584289426294296,2021,d76ab455325480f5e49810f6712d762ca2ff84af5b0c9682d3f3b6c0244f4d34,0,2026-08-15,False
v1_original,ETTh2,v1_original,336,0.35720666173529153,0.39143017906127603,2021,d76ab455325480f5e49810f6712d762ca2ff84af5b0c9682d3f3b6c0244f4d34,0,2026-08-15,False
v1_original,ETTh2,v1_original,720,0.4221861896267004,0.4390573671903619,2021,d76ab455325480f5e49810f6712d762ca2ff84af5b0c9682d3f3b6c0244f4d34,0,2026-08-15,False
v1_original,Weather,v1_original,96,0.16911310379278366,0.20708266427758273,2021,3f319be4fa1a930b00b3f7720072d55115ddeb9eefed4c72d14cf01df4522337,0,2026-08-15,False
v1_original,Weather,v1_original,192,0.21550636618954924,0.25035409449209234,2021,3f319be4fa1a930b00b3f7720072d55115ddeb9eefed4c72d14cf01df4522337,0,2026-08-15,False
v1_original,Weather,v1_original,336,0.26980064037648593,0.2901720960640262,2021,3f319be4fa1a930b00b3f7720072d55115ddeb9eefed4c72d14cf01df4522337,0,2026-08-15,False
