dataset,profile_id,mean_mse,mean_mae,cell_count,decoder_parameters
ETTh1,p00_budget30,0.45305324808293107,0.45004589945173834,4,370829
ETTh1,p01_lr0p25,0.47228548553542604,0.46081314705380355,4,370829
ETTh1,p02_lr0p50,0.4465610503803149,0.4463468475969596,4,370829
ETTh1,p03_lr2p00,0.44955458358860595,0.44722423099622893,4,370829
ETTh1,p04_lr4p00,0.44479601315981365,0.4447124946952628,4,370829
ETTh1,p05_rank0p50_lr0p50,0.48374598934823637,0.46722667312669036,4,195329
ETTh1,p06_rank1p50_lr0p50,0.44673669475071937,0.4437867591357362,4,546329
ETTh1,p07_rank2p00_lr0p50,0.4415630573631977,0.43959575029590986,4,721829
ETTh1,p08_coord2_capmatch_lr0p50,0.4377243424850166,0.4378429831840439,4,413901
ETTh1,p09_coord8_capmatch_lr0p50,0.4802827917906972,0.46474980156620943,4,349485
ETTh1,p10_policy16x32_lr0p50,0.4588085570577426,0.4528207983453176,4,360765
ETTh1,p11_policy64x128_lr0p50,0.45760476527936367,0.45218187820047906,4,394029
ETTh1,p12_scopes_short_lr0p50,0.4475902954365655,0.4466673227009892,4,370829
ETTh1,p13_scopes_long_lr0p50,0.451813208163351,0.4494331098704957,4,370829
ETTh1,v1_reference,0.457611903279132,0.45282441997981754,4,370829
ETTh2,p00_budget30,0.3354307132056042,0.37711523943809533,4,91961
ETTh2,p01_lr0p25,0.3504968136530736,0.38951085957435,4,91961
ETTh2,p02_lr0p50,0.3449261374236303,0.38460826139552434,4,91961
ETTh2,p03_lr2p00,0.33697286644670643,0.37718406258014375,4,91961
ETTh2,p04_lr4p00,0.33484055254509604,0.3745145818916994,4,91961
ETTh2,p05_rank0p50_lr0p50,0.35203375690298655,0.39041271102534103,4,47741
ETTh2,p06_rank1p50_lr0p50,0.3373249538322224,0.37871606768314636,4,136181
ETTh2,p07_rank2p00_lr0p50,0.3417327675158068,0.3799365011430322,4,176381
ETTh2,p08_coord2_capmatch_lr0p50,0.3366658468496911,0.3780738269380652,4,122073
ETTh2,p09_coord8_capmatch_lr0p50,0.349989841476712,0.38840649070610306,4,73797
ETTh2,p10_policy16x32_lr0p50,0.34031069716873036,0.3814521678694187,4,88041
ETTh2,p11_policy64x128_lr0p50,0.34228214052072015,0.3829132194817316,4,102873
ETTh2,p12_scopes_short_lr0p50,0.3446973027355806,0.38457887956296233,4,91961
