dataset,profile_id,checkpoint_sha256,metrics_sha256,invariants_sha256,diagnostics_sha256,formal_invariant_pass
Weather,p00_budget30,183caa1520dd400b9a3412ede24c1905fee316439f7293606087c4b1052d11bb,92210bfe6df4d796191bfb5fc25a9616aa143197d7d505d7f4fb5d782f536542,396bd1713405c845e11ccc6dea2e01e37bde9f0012ea5affb31a06ab8872c091,028270d40d80c96a934a42a8078c7e27898afea4a0408d7ca8aeed21cd2d117c,True
Weather,p01_lr0p25,4980bab8148808358f56e98806aedafcd99090da3e7d95b24884a861b59fac8a,0dfb74d1a3ce954578b373491bc19e91287edc84433d7596f5f4569b576fd63c,17d768d9969164ed601d640233924111139d0fc4cee144a41b88b679f3af3a89,e089e9661ab64e34fd24ce095944a6d95dfa75c124965c5522d41ad885bd336f,True
Weather,p02_lr0p50,871033acf460ec51781657500a493ff683ee800459e47c4d377ec22efad2abb7,d597e09db968520964ed111ad6e12b0681e37c22733babd9e41e0cb652b706f5,31554cc6643e1997ed2a56f2ca39f1350e64d2b502895dbde00da6ea7c76f592,088ff0f393f6c45698583fa3d1eaf07b4439044e05a0eaede92470ce0eeb0601,True
Weather,p03_lr2p00,1589c6eb59c217955ea2b5d83aba2183d6fe418a4e882d70e0b028c81307d7cc,9b352952c86829c3f9b51fdb5098121f248b9fac50678387e45ec6c44a4bdb3f,305706cc280bd4c22840c41aac7eccab8d67bf0ab79724c933686476e6944c8d,e624971300bff172318c6cd23fbc855990bca2cb7dbf2f18415e5d950ae718b3,True
Weather,p04_lr4p00,a52662a3527d8e54726848dad332ea6064334ff9fe7a4aee774193986155f53a,4ce57558aadcc220fbaa644c376895bd9f2b43c65bf3514fddb07311f7880d4f,2b823ab2791ec783aa7a33de8930833ffeed5bea2d563d3c4074b355f129f119,d1bf18df3818d8eda0df801b96541481ca2d4759b8ceb405eaf2da594b3d755e,True
Weather,p05_rank0p50_lr0p50,ac2752eea6710be4f471f58bb1458c8ddff6c3dbf0dbc49107e198921f8c72ff,ef81056d8214ed51425cafe88a23537d2ac06c71ff5b5e74aa24e90a0a85a2dc,a2b2593b533abc50e09d529a83f9f814b2e5e966c1c6609eb8f2abf9c2bbffdf,3e097caf882c1d94ce5f443191222dd1644182853f6ccbd41c34c209296fb657,True
Weather,p06_rank1p50_lr0p50,17d80be4fd674b49eafb5624eedf2040718d55a3122aac011cf2a10ce51d2820,a8a3249893ff17cd3da64bd6342110052efe3c93be10bcc8714a33645628dd4e,8ad7bebdaefd65f1d5fb8a615aa042c471d952a0e998ce6f1a9155e4df4a2699,69a91693d882268a4c8817e1ee7c831dbcbce6a3e95acae3ee941477eac4a7e0,True
Weather,p07_rank2p00_lr0p50,7b0d729081f8db0d7e6714c2ed661509db507405a4451badbbe5bd7bf810f1eb,da031ea440080c4f3e2799e5076d0d92427e63cd9090773fa2186852794e46f2,21742ca330996106be8c60071c3df30d6172ab2f6cc998d53857eb3ace5f6415,1565e0b52ee7cd6a344de53b1e592cde4212ff9639f0e69beeaa7a7728bc2db4,True
Weather,p08_coord2_capmatch_lr0p50,a81e2a3110ea546b4520e6b2d4287f66a7315110137a9ec3cbdbf9540add3903,b6560afc5531133e0994efddd58332c9cb1a81bfce80b270d48612b0ee0981c5,5b4a9b2904f1d3a3eeaa7c3d8e05c5c21b2374d8cfc923335d7edcfecfc303d9,a4855c117eb134bb2841cf3977dd75ed7a9a6efee52d4ff055b974d9e113bf5a,True
Weather,p09_coord8_capmatch_lr0p50,06ef2f3340bf768933747b472f5f0737c3e2eae1a0de4cbb0d13f80d95a12f8d,e6e8ffea5e5d7a46f105546537de280a678b05ed00c9e6799ab6fdfc56a19026,3bb58ab14b740570e8f5731080b8d93840db0bd90709228837d4d96ccd214196,2a541aa094e7374e2def2e7bd0fd838dfeedfcd1ff5b9b6a75a7fcc29acfd4f4,True
Weather,p10_policy16x32_lr0p50,7168bc345bf4af62f2e751d1317fc0de7c5c6fbf32bdbf53388b668adadf8fc4,a2ead684ed2fa13c8e1ed0b8fdadfd660ee9cc47afad14ff3430a00b7f848728,318a5d9cb8ec352bf4c53060c1e5841c8ed31625bd1a13670bae00e9eb1f334a,639875bb951ae45daf5e367496897dc2f3157a93cb514aec10bd95f4086aea39,True
Weather,p11_policy64x128_lr0p50,2694dbc9ec976d4995f9558b3ac72b95f50717348ce0da07aeb3e48170dd836f,b721fd91f6c8222ebc07475698848f379ad5e313429c4027551f18e887813cd9,ff0833d3358e2dc8152b9ad867158a7ad262b6dd00e4936f6a94c07aef9059ff,6e02b70522b26f0110f7095336fb810bed02fe3a862c8abcf087de92cd721837,True
Weather,p12_scopes_short_lr0p50,04ea8a50ad647808561bd9e093b50c717527faa0b715057fbb96c596b0dc44c6,2c7d16403261c14106bf10b51292c9235fafe8a34a9ef348db05bd3f4bdd6477,35e79a3cd77cde087a23689c6d74746aa371d4575fe558716ab12dfc64dd5553,df93bfcecf87bbc64b8d7e61ee2e8950d3b7fe481ce1b5d472d6ad9ee1f56188,True
