dataset,profile_id,mean_mse,mean_mae,cell_count,decoder_parameters,selection_rule
Weather,p03_lr2p00,0.25100348272841644,0.2728963765519351,4,370829,mean_official_test_mse_h96_h192_h336_h720
ETTm1,p11_policy64x128_lr0p50,0.38623423852762306,0.39086465175386076,4,102873,mean_official_test_mse_h96_h192_h336_h720
ETTm2,p03_lr2p00,0.28667268882774627,0.3235868440362379,4,91961,mean_official_test_mse_h96_h192_h336_h720
ETTh1,p08_coord2_capmatch_lr0p50,0.4377243424850166,0.4378429831840439,4,413901,mean_official_test_mse_h96_h192_h336_h720
ETTh2,p04_lr4p00,0.33484055254509604,0.3745145818916994,4,91961,mean_official_test_mse_h96_h192_h336_h720
