epoch,train_loss,mse,mae
1,0.8203666008124917,0.6126012802124023,0.5483542084693909
2,0.7606804557776047,0.640794038772583,0.5575912594795227
3,0.7348539465564793,0.6291288137435913,0.5516917705535889
4,0.710675644167399,0.6693606972694397,0.5654551386833191
5,0.6955694152136981,0.6610245108604431,0.5599208474159241
6,0.6787335013939162,0.6622594594955444,0.562666118144989
7,0.6655656351881513,0.6735837459564209,0.564556360244751
8,0.6505764823848919,0.6897082328796387,0.5726314187049866
9,0.6420500844211902,0.7076306939125061,0.5773525834083557
10,0.6317007177967137,0.7146574258804321,0.580846905708313
11,0.6265280585167772,0.7416879534721375,0.5915132164955139
