scale,region,start_step,end_step,mse
1,1,1,60,0.45663761869072916
1,2,61,120,0.5827848037083944
1,3,121,180,0.700876921415329
1,4,181,240,0.7680717468261719
1,5,241,300,0.827700196703275
1,6,301,360,0.8775558163722356
1,7,361,420,0.9148014634847641
1,8,421,480,0.9703387022018433
1,9,481,540,1.0349025170008341
1,10,541,600,1.0522696296374003
1,11,601,660,1.100592178106308
1,12,661,720,1.1439823309580486
8,1,1,60,0.45998653347293533
8,2,61,120,0.5819396922985712
8,3,121,180,0.6995579024155935
8,4,181,240,0.7653152128060658
8,5,241,300,0.8253267139196396
8,6,301,360,0.875794318318367
8,7,361,420,0.912766041358312
8,8,421,480,0.9691608041524887
8,9,481,540,1.030452741185824
8,10,541,600,1.0511804858843485
8,11,601,660,1.0999396840731304
8,12,661,720,1.1438504020373026
32,1,1,60,0.4580505592127641
32,2,61,120,0.5805487304925918
32,3,121,180,0.6966654618581136
32,4,181,240,0.7655913124481837
32,5,241,300,0.8241647015015284
32,6,301,360,0.8748945593833923
32,7,361,420,0.9124805440505346
32,8,421,480,0.9679398149251938
32,9,481,540,1.0309258162975312
32,10,541,600,1.0513062040011087
32,11,601,660,1.0994965215524037
32,12,661,720,1.143601793050766
128,1,1,60,0.45818662966291107
128,2,61,120,0.5805119415124257
128,3,121,180,0.6931293646494547
128,4,181,240,0.7592780272165934
128,5,241,300,0.8218996336062749
128,6,301,360,0.8716839998960495
128,7,361,420,0.9076183478037516
128,8,421,480,0.9657443950573603
128,9,481,540,1.0318080723285674
128,10,541,600,1.0479042013486226
128,11,601,660,1.1026744524637857
128,12,661,720,1.1411799788475037
720,1,1,60,0.4672982486585776
720,2,61,120,0.5899648676315944
720,3,121,180,0.6960154414176941
720,4,181,240,0.7641814867655436
720,5,241,300,0.8248187969128291
720,6,301,360,0.872608803709348
720,7,361,420,0.9116774866978328
720,8,421,480,0.9710901995499929
720,9,481,540,1.0355031838019688
720,10,541,600,1.0570250233014424
720,11,601,660,1.104872969786326
720,12,661,720,1.1442064781983694
