scale,future_step,mse,mse_smooth31
1,1,0.1285720020532608,0.20078993420447075
1,2,0.15407030284404755,0.20935453186112069
1,3,0.17672649025917053,0.21842968175488134
1,4,0.19970771670341492,0.22787962950045063
1,5,0.22311441600322723,0.23761608812116808
1,6,0.24361002445220947,0.24770440738047322
1,7,0.25583234429359436,0.25803055013379744
1,8,0.27143722772598267,0.2686807546884783
1,9,0.2882366478443146,0.2795393418881201
1,10,0.2990878224372864,0.29081569035207067
1,11,0.3089664876461029,0.30231646760817493
1,12,0.3233048915863037,0.31405215830572186
1,13,0.33525389432907104,0.3260198322034651
1,14,0.3472083508968353,0.33816843311632827
1,15,0.3646301329135895,0.35050853029374146
1,16,0.37614917755126953,0.3630600432234426
1,17,0.39407452940940857,0.37575625700335347
1,18,0.4099016487598419,0.38789875613104907
1,19,0.4215203821659088,0.39950015131504296
1,20,0.4304022192955017,0.4105850568702144
1,21,0.4413098990917206,0.42095365447382777
1,22,0.44868242740631104,0.4307257033163502
1,23,0.4587283432483673,0.44036145652494124
1,24,0.465188205242157,0.44948933105314937
1,25,0.47813880443573,0.458123762761393
1,26,0.4850960969924927,0.4664474764177877
1,27,0.4923784136772156,0.47457000420939544
1,28,0.4995698928833008,0.4823899432536095
1,29,0.5051786303520203,0.4899189308766396
1,30,0.5111150145530701,0.49700874090194713
1,31,0.5176689028739929,0.5035990197812358
1,32,0.5221546292304993,0.5097616132228606
1,33,0.5304877758026123,0.5152332205926219
1,34,0.5363697409629822,0.5201916262026758
1,35,0.5433397889137268,0.5247125856338011
1,36,0.5445409417152405,0.5289282952585528
1,37,0.546543538570404,0.5327510458807792
1,38,0.5545406937599182,0.5364261759865668
1,39,0.5544013381004333,0.5396655105775403
1,40,0.5559040307998657,0.5427705953198094
1,41,0.5571229457855225,0.5454603183654048
1,42,0.5607648491859436,0.5478532621937414
1,43,0.5657230019569397,0.5499775121288915
1,44,0.5686525106430054,0.5519812260904621
1,45,0.566992461681366,0.5539412806110998
1,46,0.5689287781715393,0.5557181085309675
1,47,0.5671895742416382,0.5572792099368188
1,48,0.5636943578720093,0.559043695849757
1,49,0.5636122226715088,0.5606681377656998
