scope,mean_abs_gamma,mean_abs_beta,mean_segment_state_norm,std_segment_state_norm
all,0.7515804171562195,0.042911726981401443,7.35943078994751,1.4972299337387085
segment_0,0.6825968027114868,0.039045803248882294,8.136259078979492,1.1846591234207153
segment_1,0.7336999177932739,0.04101056605577469,7.856826305389404,1.2717045545578003
segment_2,0.7463988661766052,0.04051912575960159,7.804554462432861,1.322585105895996
segment_3,0.7353716492652893,0.042384009808301926,7.5557122230529785,1.4095014333724976
segment_4,0.74163419008255,0.04295104742050171,7.315001964569092,1.4487404823303223
segment_5,0.7512102723121643,0.04233013093471527,7.063199996948242,1.4628950357437134
segment_6,0.7497295141220093,0.04386141896247864,7.093271255493164,1.4991008043289185
segment_7,0.755469560623169,0.043569911271333694,7.260427951812744,1.5239276885986328
segment_8,0.7685672640800476,0.04251612722873688,7.157375812530518,1.4791669845581055
segment_9,0.7623388171195984,0.044333625584840775,7.143881320953369,1.5380299091339111
segment_10,0.7699900269508362,0.04414858669042587,7.131947040557861,1.5240398645401
segment_11,0.7773826718330383,0.042915962636470795,7.237549304962158,1.5651980638504028
segment_12,0.7617020010948181,0.0456949807703495,7.229044437408447,1.5792368650436401
segment_13,0.7605727314949036,0.04508744925260544,7.193440914154053,1.5690757036209106
segment_14,0.7770423889160156,0.043307140469551086,7.212977409362793,1.516749382019043
