dataset,target_horizon,best_temperature,selected_temperature,selected_is_cell_best,selected_mse,cell_best_mse
ETTh1,96,0.25,0.25,True,0.7885088094820579,0.7885088094820579
ETTh1,192,0.25,0.25,True,1.0575470449402928,1.0575470449402928
ETTh1,336,0.25,0.25,True,1.2800244272110008,1.2800244272110008
ETTh1,720,0.25,0.25,True,1.4212519250810147,1.4212519250810147
ETTh2,96,0.25,0.25,True,0.23712467037451765,0.23712467037451765
ETTh2,192,0.25,0.25,True,0.3171354324634497,0.3171354324634497
ETTh2,336,0.25,0.25,True,0.41687233757138964,0.41687233757138964
ETTh2,720,0.25,0.25,True,0.6436024544657104,0.6436024544657104
ETTm1,96,0.25,0.25,True,0.3740718396923815,0.3740718396923815
ETTm1,192,0.1,0.25,False,0.5026200518283682,0.5023415151129788
ETTm1,336,0.05,0.25,False,0.6722971521473179,0.6663835862030586
ETTm1,720,0.05,0.25,False,0.97613410144113,0.9677451532334089
ETTm2,96,0.25,0.25,True,0.11514606353982042,0.11514606353982042
ETTm2,192,0.25,0.25,True,0.15122207454017675,0.15122207454017675
ETTm2,336,0.25,0.25,True,0.19243359852892658,0.19243359852892658
ETTm2,720,0.25,0.25,True,0.2715438972072055,0.2715438972072055
Weather,96,0.25,0.25,True,0.39358825562521815,0.39358825562521815
Weather,192,0.25,0.25,True,0.4477472408519437,0.4477472408519437
Weather,336,0.25,0.25,True,0.5101344731325904,0.5101344731325904
Weather,720,0.25,0.25,True,0.594294028584328,0.594294028584328
