temperature,validation_cells,macro_mse,macro_mae,selected,selected_gain_mse_percent
0.05,20,0.569869562103986,0.4550824497861322,False,0.29911549622874584
0.1,20,0.5689698206401053,0.4543263081374896,False,0.14145332062740115
0.25,20,0.5681649939354421,0.4536789513548599,True,0.0
