dataset,arm,horizon,output_shape,expected_shape,full_prefix_max_abs,pass
ETTh1,a6,1,"[1, 1, 7]","[1, 1, 7]",2.682209014892578e-07,True
ETTh1,a6,48,"[1, 48, 7]","[1, 48, 7]",0.0,True
ETTh1,a6,96,"[1, 96, 7]","[1, 96, 7]",0.0,True
ETTh1,a6,192,"[1, 192, 7]","[1, 192, 7]",0.0,True
ETTh1,a6,336,"[1, 336, 7]","[1, 336, 7]",0.0,True
ETTh1,a6,720,"[1, 720, 7]","[1, 720, 7]",0.0,True
ETTh1,joint_geo,1,"[1, 1, 7]","[1, 1, 7]",4.76837158203125e-07,True
ETTh1,joint_geo,48,"[1, 48, 7]","[1, 48, 7]",0.0,True
ETTh1,joint_geo,96,"[1, 96, 7]","[1, 96, 7]",0.0,True
ETTh1,joint_geo,192,"[1, 192, 7]","[1, 192, 7]",0.0,True
ETTh1,joint_geo,336,"[1, 336, 7]","[1, 336, 7]",0.0,True
ETTh1,joint_geo,720,"[1, 720, 7]","[1, 720, 7]",0.0,True
ETTh1,uniform,1,"[1, 1, 7]","[1, 1, 7]",2.384185791015625e-07,True
ETTh1,uniform,48,"[1, 48, 7]","[1, 48, 7]",0.0,True
ETTh1,uniform,96,"[1, 96, 7]","[1, 96, 7]",0.0,True
ETTh1,uniform,192,"[1, 192, 7]","[1, 192, 7]",0.0,True
ETTh1,uniform,336,"[1, 336, 7]","[1, 336, 7]",0.0,True
ETTh1,uniform,720,"[1, 720, 7]","[1, 720, 7]",0.0,True
ETTh1,history,1,"[1, 1, 7]","[1, 1, 7]",3.5762786865234375e-07,True
ETTh1,history,48,"[1, 48, 7]","[1, 48, 7]",0.0,True
ETTh1,history,96,"[1, 96, 7]","[1, 96, 7]",0.0,True
ETTh1,history,192,"[1, 192, 7]","[1, 192, 7]",0.0,True
ETTh1,history,336,"[1, 336, 7]","[1, 336, 7]",0.0,True
ETTh1,history,720,"[1, 720, 7]","[1, 720, 7]",0.0,True
ETTh1,atom,1,"[1, 1, 7]","[1, 1, 7]",2.384185791015625e-07,True
ETTh1,atom,48,"[1, 48, 7]","[1, 48, 7]",0.0,True
ETTh1,atom,96,"[1, 96, 7]","[1, 96, 7]",0.0,True
ETTh1,atom,192,"[1, 192, 7]","[1, 192, 7]",0.0,True
ETTh1,atom,336,"[1, 336, 7]","[1, 336, 7]",0.0,True
ETTh1,atom,720,"[1, 720, 7]","[1, 720, 7]",0.0,True
ETTh1,joint_perm,1,"[1, 1, 7]","[1, 1, 7]",1.7881393432617188e-07,True
ETTh1,joint_perm,48,"[1, 48, 7]","[1, 48, 7]",0.0,True
ETTh1,joint_perm,96,"[1, 96, 7]","[1, 96, 7]",0.0,True
ETTh1,joint_perm,192,"[1, 192, 7]","[1, 192, 7]",0.0,True
ETTh1,joint_perm,336,"[1, 336, 7]","[1, 336, 7]",0.0,True
ETTh1,joint_perm,720,"[1, 720, 7]","[1, 720, 7]",0.0,True
ETTh1,joint_random,1,"[1, 1, 7]","[1, 1, 7]",1.1920928955078125e-07,True
ETTh1,joint_random,48,"[1, 48, 7]","[1, 48, 7]",0.0,True
ETTh1,joint_random,96,"[1, 96, 7]","[1, 96, 7]",0.0,True
ETTh1,joint_random,192,"[1, 192, 7]","[1, 192, 7]",0.0,True
ETTh1,joint_random,336,"[1, 336, 7]","[1, 336, 7]",0.0,True
ETTh1,joint_random,720,"[1, 720, 7]","[1, 720, 7]",0.0,True
ETTh2,a6,1,"[1, 1, 7]","[1, 1, 7]",3.5762786865234375e-07,True
ETTh2,a6,48,"[1, 48, 7]","[1, 48, 7]",0.0,True
ETTh2,a6,96,"[1, 96, 7]","[1, 96, 7]",0.0,True
ETTh2,a6,192,"[1, 192, 7]","[1, 192, 7]",0.0,True
ETTh2,a6,336,"[1, 336, 7]","[1, 336, 7]",0.0,True
ETTh2,a6,720,"[1, 720, 7]","[1, 720, 7]",0.0,True
ETTh2,joint_geo,1,"[1, 1, 7]","[1, 1, 7]",1.1920928955078125e-07,True
ETTh2,joint_geo,48,"[1, 48, 7]","[1, 48, 7]",0.0,True
ETTh2,joint_geo,96,"[1, 96, 7]","[1, 96, 7]",0.0,True
ETTh2,joint_geo,192,"[1, 192, 7]","[1, 192, 7]",0.0,True
ETTh2,joint_geo,336,"[1, 336, 7]","[1, 336, 7]",0.0,True
ETTh2,joint_geo,720,"[1, 720, 7]","[1, 720, 7]",0.0,True
ETTh2,uniform,1,"[1, 1, 7]","[1, 1, 7]",5.960464477539063e-08,True
ETTh2,uniform,48,"[1, 48, 7]","[1, 48, 7]",0.0,True
