dataset,arm,active_parameter_tensors,missing_gradient_tensors,nonfinite_gradient_tensors,zero_gradient_tensors,flatten_block_sum_max_abs,pass
ETTh1,a6,18,0,0,0,,True
ETTh1,joint_geo,25,0,0,0,3.6954879760742188e-06,True
ETTh1,uniform,20,0,0,0,3.6954879760742188e-06,True
ETTh1,history,23,0,0,0,3.6954879760742188e-06,True
ETTh1,atom,23,0,0,0,3.6954879760742188e-06,True
ETTh1,joint_perm,25,0,0,0,3.6954879760742188e-06,True
ETTh1,joint_random,25,0,0,0,3.6954879760742188e-06,True
ETTh2,a6,18,0,0,0,,True
ETTh2,joint_geo,25,0,0,0,1.9073486328125e-06,True
ETTh2,uniform,20,0,0,0,1.9073486328125e-06,True
ETTh2,history,23,0,0,0,1.9073486328125e-06,True
ETTh2,atom,23,0,0,0,1.9073486328125e-06,True
ETTh2,joint_perm,25,0,0,0,1.9073486328125e-06,True
ETTh2,joint_random,25,0,0,0,1.9073486328125e-06,True
ETTm1,a6,18,0,0,0,,True
ETTm1,joint_geo,25,0,0,0,2.384185791015625e-06,True
ETTm1,uniform,20,0,0,0,2.384185791015625e-06,True
ETTm1,history,23,0,0,0,2.384185791015625e-06,True
ETTm1,atom,23,0,0,0,2.384185791015625e-06,True
ETTm1,joint_perm,25,0,0,0,2.384185791015625e-06,True
ETTm1,joint_random,25,0,0,0,2.384185791015625e-06,True
ETTm2,a6,18,0,0,0,,True
ETTm2,joint_geo,25,0,0,0,5.7220458984375e-06,True
ETTm2,uniform,20,0,0,0,5.7220458984375e-06,True
ETTm2,history,23,0,0,0,5.7220458984375e-06,True
ETTm2,atom,23,0,0,0,5.7220458984375e-06,True
ETTm2,joint_perm,25,0,0,0,5.7220458984375e-06,True
ETTm2,joint_random,25,0,0,0,5.7220458984375e-06,True
Weather,a6,18,0,0,0,,True
Weather,joint_geo,25,0,0,0,2.86102294921875e-06,True
Weather,uniform,20,0,0,0,2.86102294921875e-06,True
Weather,history,23,0,0,0,2.86102294921875e-06,True
Weather,atom,23,0,0,0,2.86102294921875e-06,True
Weather,joint_perm,25,0,0,0,2.86102294921875e-06,True
Weather,joint_random,25,0,0,0,2.86102294921875e-06,True
