future_step,exact_d0,exact_d1,exact_d2,exact_d3,design_d0,design_d1,design_d2,design_d3
1,1.0,1.41421019679563,1.414200100079254,1.4141832722720233,1.0,0.9965348490722065,0.9889605638781962,0.9754993999246417
2,1.0,1.4141832722720233,1.4140924032663345,1.4139409592485548,1.0,0.9959691213206231,0.9862238610231696,0.9649745841507489
3,1.0,1.4141294237374136,1.413877017842025,1.4134563747207072,1.0,0.9953607295667249,0.9831867448263103,0.9526128844103552
4,1.0,1.4140486522169995,1.4135539602087595,1.4127296017195443,1.0,0.9947096998719898,0.9798501404226331,0.9384378319015093
5,1.0,1.4139409592485548,1.4131232549686272,1.4117607647738786,1.0,0.994016060124363,0.9762150641741616,0.9224764096423195
6,1.0,1.4138063468823978,1.4125849349215003,1.4105500298889333,1.0,0.9932798400370629,0.972282623360335,0.9047590011072437
7,1.0,1.413644817681354,1.4119390410625339,1.4090976045178978,1.0,0.9925010711473076,0.9680540158407196,0.8853193323904205
8,1.0,1.4134563747207072,1.4111856225790462,1.4074037375263826,1.0,0.9916797868149644,0.9635305296901293,0.8641944080061306
9,1.0,1.4132410215881388,1.4103247368467722,1.4054687191497763,1.0,0.9908160222211205,0.9587135428062655,0.8414244404486019
10,1.0,1.4129987623836624,1.4093564494254929,1.4032928809435166,1.0,0.9899098143665765,0.9536045224899964,0.8170527736452403
11,1.0,1.4127296017195443,1.4082808340540445,1.4008765957262788,1.0,0.9889612020702606,0.9482050249984023,0.7911258004490012
12,1.0,1.4124335447202152,1.4070979726447017,1.3982202775160955,1.0,0.9879702259675666,0.9425166950707254,0.7636928743269562
13,1.0,1.4121105970221737,1.405807955276941,1.3953243814594174,1.0,0.9869369285086123,0.9365412654273657,0.7348062154131646
14,1.0,1.4117607647738786,1.404410880190579,1.392189403753126,1.0,0.9858613539564217,0.930280556242078,0.7045208111046789
15,1.0,1.4113840546356315,1.4029068537782927,1.388815881559512,1.0,0.9847435483850291,0.9237364745875286,0.6728943113899101
16,1.0,1.4109804737794505,1.4012959905775164,1.3852043929142366,1.0,0.9835835596775045,0.9169110138543839,0.6399869191085982
17,1.0,1.4105500298889333,1.3995784132617197,1.3813555566272868,1.0,0.9823814375239037,0.9098062531441026,0.6058612753522845
18,1.0,1.410092731159111,1.397754252631065,1.3772700321769469,1.0,0.9811372334191386,0.9024243566356226,0.5705823402234339
19,1.0,1.4096085862962926,1.3958236476024468,1.372948519596799,1.0,0.9798510006607721,0.8947675729261303,0.5342172691801879
20,1.0,1.4090976045178978,1.3937867451989128,1.3683917593557764,1.0,0.9785227943467346,0.8868382343461165,0.4968352852021324
21,1.0,1.4085597955522837,1.3916437005384668,1.3636005322312883,1.0,0.977152671372964,0.8786387562489262,0.4585075470204233
22,1.0,1.4079951696385573,1.3893946768222574,1.358575659175437,1.0,0.9757406904309684,0.8701716362750176,0.4193070136630954
23,1.0,1.4074037375263826,1.3870398453221475,1.3533180011743526,1.0,0.9742869120053119,0.8614394535911577,0.37930830557340717
24,1.0,1.406785510475774,1.3845793853676733,1.3478284591006673,1.0,0.9727913983710237,0.8524448681047826,0.3385875625655849
25,1.0,1.4061405002568836,1.3820134843323866,1.3421079735591548,1.0,0.9712542135909304,0.8431906196537639,0.2972222988883605
26,1.0,1.4054687191497763,1.3793423376195848,1.3361575247255637,1.0,0.9696754235129118,0.8336795271718277,0.2552912556721906
27,1.0,1.4047701799441958,1.3765661486474325,1.3299781321786686,1.0,0.9680550957670804,0.8239144878298801,0.21287425104104235
28,1.0,1.4040448959393221,1.3736851288334682,1.3235708547255707,1.0,0.9663932997628838,0.8138984761535005,0.17005202817405582
29,1.0,1.4032928809435166,1.370699497578505,1.3169367902202769,1.0,0.964690106686132,0.8036345431168731,0.12690610160631496
30,1.0,1.4025141492740612,1.367609482249922,1.3100770753755882,1.0,0.9629455894959477,0.7931258152134297,0.08351860206129476
31,1.0,1.4017087157568842,1.3644153181643506,1.302992885568329,1.0,0.9611598229216411,0.78237549350349,0.039972120110364065
