start,end,baseline_horizon,mse_gain,mae_gain
1,96,96,0.3689389546705042,0.1936475786381714
1,96,192,0.3835516839012848,0.2574932680786346
1,96,336,0.20145667096309083,0.2080643555489391
1,96,720,0.5850881079790167,0.44269390017064636
97,192,192,0.3630767613200332,0.18717601475970036
97,192,336,0.31870598661099503,0.17819926143511566
97,192,720,0.23594280500009313,0.0911923825569112
193,336,336,0.23627575383501886,0.14746223171187867
193,336,720,0.1323044051644705,0.06269925321240011
337,720,720,0.22938061964091883,0.13604361439091295
