system,dataset,horizon,mse,mae,checkpoint_repetitions,prefix_identity,matrix_complete,system_role,checkpoint_sha256
AMD,ECL,96,0.13213013112545013,0.23002633452415466,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
AMD,ECL,192,0.15150485932826996,0.2456037849187851,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
AMD,ECL,336,0.16618286073207855,0.2614060342311859,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
AMD,ECL,720,0.2002936750650406,0.29212602972984314,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
AMD,ETTh1,96,0.3777333199977875,0.40336301922798157,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
AMD,ETTh1,192,0.4104018211364746,0.42385467886924744,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
AMD,ETTh1,336,0.4259102940559387,0.43256884813308716,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
AMD,ETTh1,720,0.4515272080898285,0.46108269691467285,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
AMD,ETTh2,96,0.2846989333629608,0.3509899973869324,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
AMD,ETTh2,192,0.37352919578552246,0.4045051038265228,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
AMD,ETTh2,336,0.37890109419822693,0.42096009850502014,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
AMD,ETTh2,720,0.44193533062934875,0.4665042757987976,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
AMD,ETTm1,96,0.29420745372772217,0.3476948142051697,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
AMD,ETTm1,192,0.3325335383415222,0.3683796226978302,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
AMD,ETTm1,336,0.36572909355163574,0.3867592513561249,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
AMD,ETTm1,720,0.42269816994667053,0.41704830527305603,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
AMD,ETTm2,96,0.17029543220996857,0.2604783773422241,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
AMD,ETTm2,192,0.22205166518688202,0.29496702551841736,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
AMD,ETTm2,336,0.27078890800476074,0.3273058533668518,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
AMD,ETTm2,720,0.3553587794303894,0.3814344108104706,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
AMD,Solar,96,0.1895732432603836,0.24191011488437653,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
AMD,Solar,192,0.20229825377464294,0.24884508550167084,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
AMD,Solar,336,0.21040301024913788,0.25388479232788086,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
AMD,Solar,720,0.21470476686954498,0.25669339299201965,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
AMD,Weather,96,0.14944301545619965,0.2039853185415268,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
AMD,Weather,192,0.1940152943134308,0.24430035054683685,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
AMD,Weather,336,0.2435646802186966,0.281747967004776,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
AMD,Weather,720,0.31507608294487,0.3323940336704254,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
DLinear,ECL,96,0.14012464148972925,0.23776855976491637,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
DLinear,ECL,192,0.1538377250181711,0.25087453456710185,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
DLinear,ECL,336,0.16948389213787135,0.2684113914520788,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
DLinear,ECL,720,0.2039015201867136,0.3011989567696192,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
DLinear,ETTh1,96,0.41564803281431095,0.43648761481461207,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
DLinear,ETTh1,192,0.4571752560448183,0.46517454421001136,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
DLinear,ETTh1,336,0.48368501816896425,0.48093434105797106,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
DLinear,ETTh1,720,0.5377904354270716,0.5380031065415222,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
DLinear,ETTh2,96,0.3219902483114497,0.38153110657911904,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
DLinear,ETTh2,192,0.3665346716659934,0.40830364373660716,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
DLinear,ETTh2,336,0.3853026592179365,0.4248351392504992,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
DLinear,ETTh2,720,0.5843532290643734,0.543314874418708,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
DLinear,ETTm1,96,0.3010358628576427,0.34588065616805086,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
DLinear,ETTm1,192,0.33613560276897547,0.3667610351388911,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
