system,dataset,new_h720_mse,previous_same_checkpoint_h720_mse,mse_delta,mse_tolerance,new_h720_mae,previous_same_checkpoint_h720_mae,mae_delta,mae_tolerance,pass
TimeAlign,ETTh1,0.4589570479260551,0.4589570351474607,1.277859434933859e-08,1.1920928955078125e-07,0.4613145207779275,0.46131452034960285,4.2832465352304894e-10,1.1920928955078125e-07,True
TimeAlign,ETTh2,0.4059744637666477,0.40597445770895824,6.0576894611585885e-09,1.1920928955078125e-07,0.43642706974513,0.43642709509069244,-2.534556242661523e-08,1.1920928955078125e-07,True
TimeAlign,ETTm1,0.40624309921533697,0.4062431097581435,-1.054280651668904e-08,1.1920928955078125e-07,0.40543912779539826,0.405439138169616,-1.037421776262093e-08,1.1920928955078125e-07,True
TimeAlign,ETTm2,0.3429375028444661,0.3429375012622404,1.582225739316101e-09,1.1920928955078125e-07,0.37138505656686094,0.3713850704641027,-1.3897241746274602e-08,1.1920928955078125e-07,True
TimeAlign,Weather,0.30730863438608746,0.3073086361568076,-1.770720126081926e-09,1.1920928955078125e-07,0.317576495397629,0.317576510436919,-1.5039289980034454e-08,1.1920928955078125e-07,True
TimeAlign,ECL,0.19012547761408818,0.1901254733898172,4.22427098856204e-09,5.960464477539063e-08,0.27789375096973445,0.2778937604756498,-9.505915332663761e-09,1.1920928955078125e-07,True
TimeAlign,Solar,0.20081911921345938,0.20081911921345938,0.0,5.960464477539063e-08,0.22318663704726432,0.22318663704726432,0.0,5.960464477539063e-08,True
QDF,ETTh1,0.4989432990550995,0.4989433100957877,-1.104068819701709e-08,1.1920928955078125e-07,0.49280020594596863,0.4928002053705171,5.754515197686771e-10,1.1920928955078125e-07,True
QDF,ETTh2,0.40693315863609314,0.40693315863609314,0.0,1.1920928955078125e-07,0.43962326645851135,0.43962326645851135,0.0,1.1920928955078125e-07,True
QDF,ETTm1,0.4228467643260956,0.4228467643260956,0.0,1.1920928955078125e-07,0.4241206645965576,0.4241206645965576,0.0,1.1920928955078125e-07,True
QDF,ETTm2,0.3638134300708771,0.3638134300708771,0.0,1.1920928955078125e-07,0.3853282332420349,0.3853282332420349,0.0,1.1920928955078125e-07,True
QDF,Weather,0.3410804271697998,0.3410804271697998,0.0,1.1920928955078125e-07,0.35111936926841736,0.35111936926841736,0.0,1.1920928955078125e-07,True
QDF,ECL,0.22251303493976593,0.22251303493976593,0.0,5.960464477539063e-08,0.31353291869163513,0.31353291869163513,0.0,1.1920928955078125e-07,True
QDF,Solar,0.22260445356369019,0.22260445356369019,0.0,5.960464477539063e-08,0.27768146991729736,0.27768146991729736,0.0,1.1920928955078125e-07,True
AMD,ETTh1,0.4515272080898285,0.4515272080898285,0.0,1.1920928955078125e-07,0.46108269691467285,0.46108269691467285,0.0,1.1920928955078125e-07,True
AMD,ETTh2,0.44193533062934875,0.44193533062934875,0.0,1.1920928955078125e-07,0.4665042757987976,0.4665042757987976,0.0,1.1920928955078125e-07,True
AMD,ETTm1,0.42269816994667053,0.42269816994667053,0.0,1.1920928955078125e-07,0.41704830527305603,0.41704830527305603,0.0,1.1920928955078125e-07,True
AMD,ETTm2,0.3553587794303894,0.3553587794303894,0.0,1.1920928955078125e-07,0.3814344108104706,0.3814344108104706,0.0,1.1920928955078125e-07,True
AMD,Weather,0.31507608294487,0.31507608294487,0.0,1.1920928955078125e-07,0.3323940336704254,0.3323940336704254,0.0,1.1920928955078125e-07,True
AMD,ECL,0.2002936750650406,0.2002936750650406,0.0,5.960464477539063e-08,0.29212602972984314,0.29212602972984314,0.0,1.1920928955078125e-07,True
AMD,Solar,0.21470476686954498,0.21470476686954498,0.0,5.960464477539063e-08,0.25669339299201965,0.25669339299201965,0.0,1.1920928955078125e-07,True
SimpleTM,ETTh1,0.469748079416951,0.469748079416951,0.0,1.1920928955078125e-07,0.46545722247915283,0.46545722247915283,0.0,1.1920928955078125e-07,True
SimpleTM,ETTh2,0.41443220475293713,0.41443220475293713,0.0,1.1920928955078125e-07,0.4364249857033586,0.4364249857033586,0.0,1.1920928955078125e-07,True
SimpleTM,ETTm1,0.4542526424651314,0.4542526424651314,0.0,1.1920928955078125e-07,0.43794770642892394,0.43794770642892394,0.0,1.1920928955078125e-07,True
SimpleTM,ETTm2,0.40076594485542777,0.40076594485542777,0.0,1.1920928955078125e-07,0.39915149955402335,0.3991514995540233,5.551115123125783e-17,1.1920928955078125e-07,True
SimpleTM,Weather,0.3457577038919015,0.3457577038919015,0.0,1.1920928955078125e-07,0.34370551336397764,0.34370551336397764,0.0,1.1920928955078125e-07,True
SimpleTM,ECL,0.20076404152045482,0.20076404152045482,0.0,5.960464477539063e-08,0.29349028521337694,0.293490285213377,-5.551115123125783e-17,1.1920928955078125e-07,True
SimpleTM,Solar,0.19978683358714652,0.19978683358714652,0.0,5.960464477539063e-08,0.254363545820319,0.254363545820319,0.0,1.1920928955078125e-07,True
iTransformer,ETTh1,0.5093046218759189,0.5093046218759192,-3.3306690738754696e-16,2.384185791015625e-07,0.49383628933681967,0.49383628933682067,-9.992007221626409e-16,1.1920928955078125e-07,True
iTransformer,ETTh2,0.42967171498841433,0.42967171498841433,0.0,1.1920928955078125e-07,0.44647563936350315,0.4464756393635063,-3.164135620181696e-15,1.1920928955078125e-07,True
iTransformer,ETTm1,0.4869880086753686,0.4869880086753695,-8.881784197001252e-16,1.1920928955078125e-07,0.4564844291059642,0.45648442910596215,2.0539125955565396e-15,1.1920928955078125e-07,True
iTransformer,ETTm2,0.41576249517614683,0.4157624951761465,3.3306690738754696e-16,1.1920928955078125e-07,0.40863125172281883,0.4086312517228196,-7.771561172376096e-16,1.1920928955078125e-07,True
iTransformer,Weather,0.3588743374916398,0.358874337491641,-1.1657341758564144e-15,1.1920928955078125e-07,0.35073530336167746,0.35073530336167696,4.996003610813204e-16,1.1920928955078125e-07,True
iTransformer,ECL,0.21074225625845952,0.21074225625845938,1.3877787807814457e-16,5.960464477539063e-08,0.300736639988131,0.30073663998813077,2.220446049250313e-16,1.1920928955078125e-07,True
iTransformer,Solar,0.24967725044717176,0.2496772504471715,2.498001805406602e-16,5.960464477539063e-08,0.2756049366806625,0.27560493668066155,9.43689570931383e-16,1.1920928955078125e-07,True
PatchTST,ETTh1,0.4552059014759845,0.4552059014759845,0.0,1.1920928955078125e-07,0.46912057278761454,0.4691205727876147,-1.6653345369377348e-16,1.1920928955078125e-07,True
PatchTST,ETTh2,0.3782814496619074,0.3782814496619074,0.0,1.1920928955078125e-07,0.42092310585845294,0.42092310585845294,0.0,1.1920928955078125e-07,True
PatchTST,ETTm1,0.41523681128568213,0.4152368112856822,-5.551115123125783e-17,1.1920928955078125e-07,0.4211011790213876,0.42110117902138766,-5.551115123125783e-17,1.1920928955078125e-07,True
PatchTST,ETTm2,0.3648001207539759,0.3648001207539756,2.7755575615628914e-16,1.1920928955078125e-07,0.38292765482199786,0.382927654821998,-1.1102230246251565e-16,1.1920928955078125e-07,True
PatchTST,Weather,0.31945801049238853,0.3194580104923887,-1.6653345369377348e-16,1.1920928955078125e-07,0.3354899132304421,0.335489913230442,5.551115123125783e-17,1.1920928955078125e-07,True
PatchTST,ECL,0.20113193420649367,0.2011319342064936,5.551115123125783e-17,5.960464477539063e-08,0.29123891046088796,0.291238910460888,-5.551115123125783e-17,1.1920928955078125e-07,True
PatchTST,Solar,0.20603524980251248,0.20603524980251256,-8.326672684688674e-17,5.960464477539063e-08,0.2574213268835299,0.2574213268835301,-1.6653345369377348e-16,1.1920928955078125e-07,True
DLinear,ETTh1,0.5377904354270716,0.537790435427071,6.661338147750939e-16,2.384185791015625e-07,0.5380031065415222,0.5380031065415225,-3.3306690738754696e-16,2.384185791015625e-07,True
DLinear,ETTh2,0.5843532290643734,0.5843532290643729,4.440892098500626e-16,2.384185791015625e-07,0.543314874418708,0.5433148744187083,-3.3306690738754696e-16,2.384185791015625e-07,True
DLinear,ETTm1,0.4271246087250689,0.4271246087250689,0.0,1.1920928955078125e-07,0.42267383501247413,0.42267383501247413,0.0,1.1920928955078125e-07,True
DLinear,ETTm2,0.4029211847615785,0.4029211847615784,1.1102230246251565e-16,1.1920928955078125e-07,0.42797941925492533,0.427979419254925,3.3306690738754696e-16,1.1920928955078125e-07,True
DLinear,Weather,0.32820864097883984,0.3282086409788405,-6.661338147750939e-16,1.1920928955078125e-07,0.36948836082227016,0.36948836082227016,0.0,1.1920928955078125e-07,True
DLinear,ECL,0.2039015201867136,0.20390152018671379,-1.942890293094024e-16,5.960464477539063e-08,0.3011989567696192,0.3011989567696195,-2.7755575615628914e-16,1.1920928955078125e-07,True
DLinear,Solar,0.27086608348467806,0.2708660834846778,2.7755575615628914e-16,1.1920928955078125e-07,0.3274722590788683,0.3274722590788681,1.6653345369377348e-16,1.1920928955078125e-07,True
