system,dataset,repeat,checkpoint_sha256,horizon,origin_count,drop_last,non_increasing_as_h_grows
AMD,ECL,0,af65985faea71b7550bd06f742a8976fbe159d0371c6a65cfe8fcd484f68bea8,96,5165,False,True
AMD,ECL,0,af65985faea71b7550bd06f742a8976fbe159d0371c6a65cfe8fcd484f68bea8,192,5069,False,True
AMD,ECL,0,af65985faea71b7550bd06f742a8976fbe159d0371c6a65cfe8fcd484f68bea8,336,4925,False,True
AMD,ECL,0,af65985faea71b7550bd06f742a8976fbe159d0371c6a65cfe8fcd484f68bea8,720,4541,False,True
AMD,ETTh1,0,2ea37ac6627e648840380d0f39c3a75887e57ae1efe0452337ef6a4b70eceba3,96,2785,False,True
AMD,ETTh1,0,2ea37ac6627e648840380d0f39c3a75887e57ae1efe0452337ef6a4b70eceba3,192,2689,False,True
AMD,ETTh1,0,2ea37ac6627e648840380d0f39c3a75887e57ae1efe0452337ef6a4b70eceba3,336,2545,False,True
AMD,ETTh1,0,2ea37ac6627e648840380d0f39c3a75887e57ae1efe0452337ef6a4b70eceba3,720,2161,False,True
AMD,ETTh2,0,f28b3db1d695569650594035e807a94642c8435866866b449dc6ca890ded45ee,96,2785,False,True
AMD,ETTh2,0,f28b3db1d695569650594035e807a94642c8435866866b449dc6ca890ded45ee,192,2689,False,True
AMD,ETTh2,0,f28b3db1d695569650594035e807a94642c8435866866b449dc6ca890ded45ee,336,2545,False,True
AMD,ETTh2,0,f28b3db1d695569650594035e807a94642c8435866866b449dc6ca890ded45ee,720,2161,False,True
AMD,ETTm1,0,fcc2b0f22e296c143457c9d3ba0f86679670f7f2e543803304ed089cb880be2e,96,11425,False,True
AMD,ETTm1,0,fcc2b0f22e296c143457c9d3ba0f86679670f7f2e543803304ed089cb880be2e,192,11329,False,True
AMD,ETTm1,0,fcc2b0f22e296c143457c9d3ba0f86679670f7f2e543803304ed089cb880be2e,336,11185,False,True
AMD,ETTm1,0,fcc2b0f22e296c143457c9d3ba0f86679670f7f2e543803304ed089cb880be2e,720,10801,False,True
AMD,ETTm2,0,2d6e760e9b58e9e17289536e74b38cf4ed28bf23d3bdc523451bf40bf31bdf94,96,11425,False,True
AMD,ETTm2,0,2d6e760e9b58e9e17289536e74b38cf4ed28bf23d3bdc523451bf40bf31bdf94,192,11329,False,True
AMD,ETTm2,0,2d6e760e9b58e9e17289536e74b38cf4ed28bf23d3bdc523451bf40bf31bdf94,336,11185,False,True
AMD,ETTm2,0,2d6e760e9b58e9e17289536e74b38cf4ed28bf23d3bdc523451bf40bf31bdf94,720,10801,False,True
AMD,Solar,0,8f5195731cebb4f17cad8c5c6663259a21a16432d4705aa00b5a8f887bebf4d7,96,10416,False,True
AMD,Solar,0,8f5195731cebb4f17cad8c5c6663259a21a16432d4705aa00b5a8f887bebf4d7,192,10320,False,True
AMD,Solar,0,8f5195731cebb4f17cad8c5c6663259a21a16432d4705aa00b5a8f887bebf4d7,336,10176,False,True
AMD,Solar,0,8f5195731cebb4f17cad8c5c6663259a21a16432d4705aa00b5a8f887bebf4d7,720,9792,False,True
AMD,Weather,0,8e0dcb62be4466f0e4d802534aec7647b7015f9f33940bb164b0cc4ba0efa372,96,10444,False,True
AMD,Weather,0,8e0dcb62be4466f0e4d802534aec7647b7015f9f33940bb164b0cc4ba0efa372,192,10348,False,True
AMD,Weather,0,8e0dcb62be4466f0e4d802534aec7647b7015f9f33940bb164b0cc4ba0efa372,336,10204,False,True
AMD,Weather,0,8e0dcb62be4466f0e4d802534aec7647b7015f9f33940bb164b0cc4ba0efa372,720,9820,False,True
DLinear,ECL,0,c49661eb9bd64e87fcaf4fbb1aae4974a820c5d081176d514435848c82b404cd,96,5165,False,True
DLinear,ECL,0,c49661eb9bd64e87fcaf4fbb1aae4974a820c5d081176d514435848c82b404cd,192,5069,False,True
DLinear,ECL,0,c49661eb9bd64e87fcaf4fbb1aae4974a820c5d081176d514435848c82b404cd,336,4925,False,True
DLinear,ECL,0,c49661eb9bd64e87fcaf4fbb1aae4974a820c5d081176d514435848c82b404cd,720,4541,False,True
DLinear,ETTh1,0,4fe933c04f6cffdd68781fc2c6a9f3d1fe27bc344ad73d66faf035a51fcdd32b,96,2785,False,True
DLinear,ETTh1,0,4fe933c04f6cffdd68781fc2c6a9f3d1fe27bc344ad73d66faf035a51fcdd32b,192,2689,False,True
DLinear,ETTh1,0,4fe933c04f6cffdd68781fc2c6a9f3d1fe27bc344ad73d66faf035a51fcdd32b,336,2545,False,True
DLinear,ETTh1,0,4fe933c04f6cffdd68781fc2c6a9f3d1fe27bc344ad73d66faf035a51fcdd32b,720,2161,False,True
DLinear,ETTh2,0,01b9b886ee850ec90aa91c0490075c8630fde81c615b8003d40b199b35de9a43,96,2785,False,True
DLinear,ETTh2,0,01b9b886ee850ec90aa91c0490075c8630fde81c615b8003d40b199b35de9a43,192,2689,False,True
DLinear,ETTh2,0,01b9b886ee850ec90aa91c0490075c8630fde81c615b8003d40b199b35de9a43,336,2545,False,True
DLinear,ETTh2,0,01b9b886ee850ec90aa91c0490075c8630fde81c615b8003d40b199b35de9a43,720,2161,False,True
DLinear,ETTm1,0,3eb5b1ee7c999decc473f3e81745a803d2548d93bae98e83e1f50fa00bfc86fe,96,11425,False,True
DLinear,ETTm1,0,3eb5b1ee7c999decc473f3e81745a803d2548d93bae98e83e1f50fa00bfc86fe,192,11329,False,True
DLinear,ETTm1,0,3eb5b1ee7c999decc473f3e81745a803d2548d93bae98e83e1f50fa00bfc86fe,336,11185,False,True
DLinear,ETTm1,0,3eb5b1ee7c999decc473f3e81745a803d2548d93bae98e83e1f50fa00bfc86fe,720,10801,False,True
DLinear,ETTm2,0,bfaa451d2d6f42ac63f6c3b60edd919d77a92cde4c55fe8827e916f727cfab05,96,11425,False,True
DLinear,ETTm2,0,bfaa451d2d6f42ac63f6c3b60edd919d77a92cde4c55fe8827e916f727cfab05,192,11329,False,True
DLinear,ETTm2,0,bfaa451d2d6f42ac63f6c3b60edd919d77a92cde4c55fe8827e916f727cfab05,336,11185,False,True
DLinear,ETTm2,0,bfaa451d2d6f42ac63f6c3b60edd919d77a92cde4c55fe8827e916f727cfab05,720,10801,False,True
DLinear,Solar,0,de7bb49c7ae3600c300b5cb3aef31bc6ae4afe55e0955229a9ea6e2abdf8bee3,96,10417,False,True
DLinear,Solar,0,de7bb49c7ae3600c300b5cb3aef31bc6ae4afe55e0955229a9ea6e2abdf8bee3,192,10321,False,True
DLinear,Solar,0,de7bb49c7ae3600c300b5cb3aef31bc6ae4afe55e0955229a9ea6e2abdf8bee3,336,10177,False,True
DLinear,Solar,0,de7bb49c7ae3600c300b5cb3aef31bc6ae4afe55e0955229a9ea6e2abdf8bee3,720,9793,False,True
DLinear,Weather,0,a25d567686dd8daa9ad2ed12b43d8ca1362a665977b32c4fe0a1fea224000911,96,10444,False,True
DLinear,Weather,0,a25d567686dd8daa9ad2ed12b43d8ca1362a665977b32c4fe0a1fea224000911,192,10348,False,True
DLinear,Weather,0,a25d567686dd8daa9ad2ed12b43d8ca1362a665977b32c4fe0a1fea224000911,336,10204,False,True
DLinear,Weather,0,a25d567686dd8daa9ad2ed12b43d8ca1362a665977b32c4fe0a1fea224000911,720,9820,False,True
PatchTST,ECL,0,6d4629f5f7676851b3872c89afa750fbff5f384dc106c3eeb25f052bc87b8edc,96,5152,True,True
PatchTST,ECL,0,6d4629f5f7676851b3872c89afa750fbff5f384dc106c3eeb25f052bc87b8edc,192,5056,True,True
PatchTST,ECL,0,6d4629f5f7676851b3872c89afa750fbff5f384dc106c3eeb25f052bc87b8edc,336,4896,True,True
PatchTST,ECL,0,6d4629f5f7676851b3872c89afa750fbff5f384dc106c3eeb25f052bc87b8edc,720,4512,True,True
PatchTST,ETTh1,0,d9eac710012953526373f5229798d4fb4bbe97e8ef33eaa1537df76a7f5a8511,96,2688,True,True
PatchTST,ETTh1,0,d9eac710012953526373f5229798d4fb4bbe97e8ef33eaa1537df76a7f5a8511,192,2688,True,True
PatchTST,ETTh1,0,d9eac710012953526373f5229798d4fb4bbe97e8ef33eaa1537df76a7f5a8511,336,2432,True,True
PatchTST,ETTh1,0,d9eac710012953526373f5229798d4fb4bbe97e8ef33eaa1537df76a7f5a8511,720,2048,True,True
PatchTST,ETTh2,0,a55f3c8f27f45e6428d7ff2face1d37407697100e6cc5a2b550490ed892d5360,96,2688,True,True
PatchTST,ETTh2,0,a55f3c8f27f45e6428d7ff2face1d37407697100e6cc5a2b550490ed892d5360,192,2688,True,True
PatchTST,ETTh2,0,a55f3c8f27f45e6428d7ff2face1d37407697100e6cc5a2b550490ed892d5360,336,2432,True,True
PatchTST,ETTh2,0,a55f3c8f27f45e6428d7ff2face1d37407697100e6cc5a2b550490ed892d5360,720,2048,True,True
PatchTST,ETTm1,0,33d5d5caac7f6eaff065a2785bff04e1fcd7e543de7b575c97bc7da01be3cc83,96,11392,True,True
PatchTST,ETTm1,0,33d5d5caac7f6eaff065a2785bff04e1fcd7e543de7b575c97bc7da01be3cc83,192,11264,True,True
PatchTST,ETTm1,0,33d5d5caac7f6eaff065a2785bff04e1fcd7e543de7b575c97bc7da01be3cc83,336,11136,True,True
PatchTST,ETTm1,0,33d5d5caac7f6eaff065a2785bff04e1fcd7e543de7b575c97bc7da01be3cc83,720,10752,True,True
