system,dataset,repeat,horizon,mse,mae,global_elementwise_mse,global_elementwise_mae,native_batch_mean_mse,native_batch_mean_mae,metric_semantics,origin_count,channel_count,checkpoint_sha256,prediction_prefix_sha256,target_prefix_sha256,prefix_identity,test_role,loader_horizon,loader_drop_last,input_only_inference,test_tuned,matrix_complete,source_metric_file,global_elementwise_float64_mse,global_elementwise_float64_mae
AMD,ETTh2,0,720,0.44193533062934875,0.4665042757987976,0.4408647376291709,0.46578389938820314,0.44193533062934875,0.4665042757987976,official_unweighted_batch_mean,2161,7,f28b3db1d695569650594035e807a94642c8435866866b449dc6ca890ded45ee,55ef752116a8b546648e355bcddb3981ed485a02f8dc65cf233820a94343238d,54e79c2d71f454b925b06f24fc07424541665f1167519ad75267a2d907554822,False,formal_horizon_specific_loader_H720_checkpoint_prefix,720,False,True,False,False,/home/yingch/exp_outputs/r-2026-fatst/main_ii_horizon_loader_20260813/formal/AMD__ETTh2__r0__H720/prefix_metrics.csv,,
AMD,ETTh2,0,96,0.2846989333629608,0.3509899973869324,0.2840250514479497,0.3502428473773059,0.2846989333629608,0.3509899973869324,official_unweighted_batch_mean,2785,7,f28b3db1d695569650594035e807a94642c8435866866b449dc6ca890ded45ee,89dd62e38fe6250a668decad66ef269bd62205c33d2e7dfa4d9728ee94fc4c3a,f96ac8c63af7b3298a8a30bab921707e95145eca30fba9a72fff7a2aa0aa1eef,False,formal_horizon_specific_loader_H720_checkpoint_prefix,96,False,True,False,False,/home/yingch/exp_outputs/r-2026-fatst/main_ii_horizon_loader_20260813/formal/AMD__ETTh2__r0__H96/prefix_metrics.csv,,
AMD,ETTm1,0,192,0.3325335383415222,0.3683796226978302,0.332913862657257,0.3688126268837165,0.3325335383415222,0.3683796226978302,official_unweighted_batch_mean,11329,7,fcc2b0f22e296c143457c9d3ba0f86679670f7f2e543803304ed089cb880be2e,1345f939dbfc3efb268a0401d7d449f05415af23291c3a2630815dd32969fbc4,fde46e5b466612e9fd1787fc529f31641d6a358bd07cbaab9f267e2fde9850cf,False,formal_horizon_specific_loader_H720_checkpoint_prefix,192,False,True,False,False,/home/yingch/exp_outputs/r-2026-fatst/main_ii_horizon_loader_20260813/formal/AMD__ETTm1__r0__H192/prefix_metrics.csv,,
AMD,ETTm1,0,336,0.36572909355163574,0.3867592513561249,0.3649494705977653,0.3867889161939058,0.36572909355163574,0.3867592513561249,official_unweighted_batch_mean,11185,7,fcc2b0f22e296c143457c9d3ba0f86679670f7f2e543803304ed089cb880be2e,8f3d1c6a57a4aae9fe209446745d8421c48e97b6a6d03fb03c57acb3ab25b45d,703f9efab78a24f16b87e528924abe07f2c7c1b6ba1c875437e2e1bb09f3efb4,False,formal_horizon_specific_loader_H720_checkpoint_prefix,336,False,True,False,False,/home/yingch/exp_outputs/r-2026-fatst/main_ii_horizon_loader_20260813/formal/AMD__ETTm1__r0__H336/prefix_metrics.csv,,
AMD,ETTm1,0,720,0.42269816994667053,0.41704830527305603,0.42194554330913,0.4169217236074283,0.42269816994667053,0.41704830527305603,official_unweighted_batch_mean,10801,7,fcc2b0f22e296c143457c9d3ba0f86679670f7f2e543803304ed089cb880be2e,fd51c37d2036abf3796a3400cc998a863d9534bf82fbcdf277e16ad2493500f8,2c8b00914335e50e8b8e33e30a5d610e52c58564b7deaa0ec7c1eca1e8868b96,False,formal_horizon_specific_loader_H720_checkpoint_prefix,720,False,True,False,False,/home/yingch/exp_outputs/r-2026-fatst/main_ii_horizon_loader_20260813/formal/AMD__ETTm1__r0__H720/prefix_metrics.csv,,
AMD,ETTm1,0,96,0.29420745372772217,0.3476948142051697,0.2960283134595615,0.3489599146427973,0.29420745372772217,0.3476948142051697,official_unweighted_batch_mean,11425,7,fcc2b0f22e296c143457c9d3ba0f86679670f7f2e543803304ed089cb880be2e,f5954898dc962eca156428c5858a95747d6a64dfc24e4e46606eda328d6eaaa6,0f34948780407a9d9c4b5e02d2758f8019195b9f48122ee8a6623ea6b8b87698,False,formal_horizon_specific_loader_H720_checkpoint_prefix,96,False,True,False,False,/home/yingch/exp_outputs/r-2026-fatst/main_ii_horizon_loader_20260813/formal/AMD__ETTm1__r0__H96/prefix_metrics.csv,,
AMD,ETTm2,0,192,0.22205166518688202,0.29496702551841736,0.22273510592755874,0.29535120057279735,0.22205166518688202,0.29496702551841736,official_unweighted_batch_mean,11329,7,2d6e760e9b58e9e17289536e74b38cf4ed28bf23d3bdc523451bf40bf31bdf94,cc050c03e2e15250b4593c4f77df816e0c80c2ec1afc54513557f2fae6c75d98,b1e848581badd337315a220534f0bcd570dd219e08bc89598dcb1fa8823b835f,False,formal_horizon_specific_loader_H720_checkpoint_prefix,192,False,True,False,False,/home/yingch/exp_outputs/r-2026-fatst/main_ii_horizon_loader_20260813/formal/AMD__ETTm2__r0__H192/prefix_metrics.csv,,
AMD,ETTm2,0,336,0.27078890800476074,0.3273058533668518,0.2720219888178654,0.32809874595314037,0.27078890800476074,0.3273058533668518,official_unweighted_batch_mean,11185,7,2d6e760e9b58e9e17289536e74b38cf4ed28bf23d3bdc523451bf40bf31bdf94,de6df174d466a4f945b737e5fd6fd9c2219cdb1b301fbd0c53bf23a115e48078,ce9c9b983c60722f44374ce8d73b07e3d2ff856b9adcfe45ae5a6c8402f92b48,False,formal_horizon_specific_loader_H720_checkpoint_prefix,336,False,True,False,False,/home/yingch/exp_outputs/r-2026-fatst/main_ii_horizon_loader_20260813/formal/AMD__ETTm2__r0__H336/prefix_metrics.csv,,
AMD,ETTm2,0,720,0.3553587794303894,0.3814344108104706,0.353034903546015,0.3803590773949089,0.3553587794303894,0.3814344108104706,official_unweighted_batch_mean,10801,7,2d6e760e9b58e9e17289536e74b38cf4ed28bf23d3bdc523451bf40bf31bdf94,c88c86c1228bff2b34e6cc732fa6c430410a49765b7bdd18171d8b562015f54b,0a83b0ed00734af6a442fb364d4ef6f5fa179f0363661fb5e1a5b5098244aeaf,False,formal_horizon_specific_loader_H720_checkpoint_prefix,720,False,True,False,False,/home/yingch/exp_outputs/r-2026-fatst/main_ii_horizon_loader_20260813/formal/AMD__ETTm2__r0__H720/prefix_metrics.csv,,
AMD,ETTm2,0,96,0.17029543220996857,0.2604783773422241,0.17104534769209717,0.26088949764733693,0.17029543220996857,0.2604783773422241,official_unweighted_batch_mean,11425,7,2d6e760e9b58e9e17289536e74b38cf4ed28bf23d3bdc523451bf40bf31bdf94,3d7de567b93cc6f817abec88e4c7b26951c5ba504f07bb9bf48234110f3f3fb8,661b99a20ed6afbdb99e45c4f0a666fca3822b97a18906fe534ae46976d55818,False,formal_horizon_specific_loader_H720_checkpoint_prefix,96,False,True,False,False,/home/yingch/exp_outputs/r-2026-fatst/main_ii_horizon_loader_20260813/formal/AMD__ETTm2__r0__H96/prefix_metrics.csv,,
AMD,Solar,0,192,0.20229825377464294,0.24884508550167084,0.2008330830822495,0.24796204507461983,0.20229825377464294,0.24884508550167084,official_unweighted_batch_mean,10320,137,8f5195731cebb4f17cad8c5c6663259a21a16432d4705aa00b5a8f887bebf4d7,39be65eef4b66ba6da4220128fbddeb46b83927bbc30b8306780106721f22f82,7e865536c4a570b092d43ea042b37d5d2414d077bdb054150e02223eff4257c0,False,formal_horizon_specific_loader_H720_checkpoint_prefix,192,False,True,False,False,/home/yingch/exp_outputs/r-2026-fatst/main_ii_horizon_loader_20260813/formal/AMD__Solar__r0__H192/prefix_metrics.csv,,
