system,dataset,horizon,mse,mae,mse_display,mae_display,mse_style,mae_style,checkpoint_repetitions,system_role
TimeAlign,ETTm1,Avg.,0.3431413731990024,0.3685915900288993,0.343,0.369,second,second,1,four_horizon_arithmetic_mean
QDF,ETTm1,Avg.,0.35219911485910416,0.3835964798927307,0.352,0.384,normal,normal,1,four_horizon_arithmetic_mean
AMD,ETTm1,Avg.,0.35379206389188766,0.3799704983830452,0.354,0.380,normal,normal,1,four_horizon_arithmetic_mean
SimpleTM,ETTm1,Avg.,0.3836986561945108,0.39906982868878366,0.384,0.399,normal,normal,3,four_horizon_arithmetic_mean
iTransformer,ETTm1,Avg.,0.40896533507213206,0.41450009407033284,0.409,0.415,normal,normal,1,four_horizon_arithmetic_mean
PatchTST,ETTm1,Avg.,0.3537964998848449,0.38375032146117793,0.354,0.384,normal,normal,1,four_horizon_arithmetic_mean
DLinear,ETTm1,Avg.,0.35872839642840787,0.38058154878005224,0.359,0.381,normal,normal,1,four_horizon_arithmetic_mean
ISCF-BSCA-MAIN-v1,ETTm2,96,0.1608811102009066,0.24576577725389895,0.161,0.246,best,best,1,frozen_current_ISCF_fixed_H_formal_scorecard
TimeAlign,ETTm2,96,0.1644388890514771,0.25123884389176965,0.164,0.251,second,second,1,source_native_H720_model_on_official_fixed_H_loader
QDF,ETTm2,96,0.16547861695289612,0.2548772692680359,0.165,0.255,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
AMD,ETTm2,96,0.17029543220996857,0.2604783773422241,0.170,0.260,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
SimpleTM,ETTm2,96,0.18579112799708106,0.2699776897706165,0.186,0.270,normal,normal,3,source_native_H720_model_on_official_fixed_H_loader
iTransformer,ETTm2,96,0.1900337958975665,0.2765221044223506,0.190,0.277,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
PatchTST,ETTm2,96,0.16853032059285641,0.25826431132803346,0.169,0.258,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
DLinear,ETTm2,96,0.1885020115245895,0.2889760772752121,0.189,0.289,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
ISCF-BSCA-MAIN-v1,ETTm2,192,0.2184282369628787,0.28477006837910346,0.218,0.285,second,best,1,frozen_current_ISCF_fixed_H_formal_scorecard
