system,dataset,horizon,mse,mae,mse_display,mae_display,mse_style,mae_style,checkpoint_repetitions,system_role
AMD,Weather,Avg.,0.22552476823329926,0.26560691744089127,0.226,0.266,normal,normal,1,four_horizon_arithmetic_mean
SimpleTM,Weather,Avg.,0.2540739446158757,0.2804583434302415,0.254,0.280,normal,normal,3,four_horizon_arithmetic_mean
iTransformer,Weather,Avg.,0.26228862900644917,0.2838376380045231,0.262,0.284,normal,normal,1,four_horizon_arithmetic_mean
PatchTST,Weather,Avg.,0.23070044415770297,0.26776491398222624,0.231,0.268,normal,normal,1,four_horizon_arithmetic_mean
DLinear,Weather,Avg.,0.24697827707189335,0.3012047579371146,0.247,0.301,normal,normal,1,four_horizon_arithmetic_mean
ISCF-BSCA-MAIN-v1,ECL,96,0.11560674492106635,0.21298760784961648,0.116,0.213,best,best,1,frozen_current_ISCF_fixed_H_formal_scorecard
TimeAlign,ECL,96,0.12705392534068474,0.21873712027445436,0.127,0.219,second,second,1,source_native_H720_model_on_official_fixed_H_loader
QDF,ECL,96,0.15535767376422882,0.25786373019218445,0.155,0.258,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
AMD,ECL,96,0.13213013112545013,0.23002633452415466,0.132,0.230,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
SimpleTM,ECL,96,0.14994026789138531,0.2455434945275692,0.150,0.246,normal,normal,3,source_native_H720_model_on_official_fixed_H_loader
iTransformer,ECL,96,0.1521984951334859,0.24542618316207215,0.152,0.245,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
PatchTST,ECL,96,0.13244178673497767,0.2277300278777698,0.132,0.228,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
DLinear,ECL,96,0.14012464148972925,0.23776855976491637,0.140,0.238,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
ISCF-BSCA-MAIN-v1,ECL,192,0.1364249151642799,0.2314900814116122,0.136,0.231,best,best,1,frozen_current_ISCF_fixed_H_formal_scorecard
TimeAlign,ECL,192,0.14329121921521923,0.23360685406563184,0.143,0.234,second,second,1,source_native_H720_model_on_official_fixed_H_loader
QDF,ECL,192,0.16865991055965424,0.2689284086227417,0.169,0.269,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
AMD,ECL,192,0.15150485932826996,0.2456037849187851,0.152,0.246,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
SimpleTM,ECL,192,0.15213771109975957,0.25149413354883254,0.152,0.251,normal,normal,3,source_native_H720_model_on_official_fixed_H_loader
iTransformer,ECL,192,0.16442002570138575,0.25736214155609294,0.164,0.257,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
PatchTST,ECL,192,0.1481864305342746,0.24274339117796648,0.148,0.243,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
DLinear,ECL,192,0.1538377250181711,0.25087453456710185,0.154,0.251,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
ISCF-BSCA-MAIN-v1,ECL,336,0.15739958110177807,0.25054194646589767,0.157,0.251,best,second,1,frozen_current_ISCF_fixed_H_formal_scorecard
TimeAlign,ECL,336,0.15815850576784993,0.24919938180773032,0.158,0.249,second,best,1,source_native_H720_model_on_official_fixed_H_loader
QDF,ECL,336,0.1847771257162094,0.2839362621307373,0.185,0.284,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
AMD,ECL,336,0.16618286073207855,0.2614060342311859,0.166,0.261,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
SimpleTM,ECL,336,0.17262895318537794,0.2687000928735612,0.173,0.269,normal,normal,3,source_native_H720_model_on_official_fixed_H_loader
iTransformer,ECL,336,0.17869366368973505,0.2731038877740756,0.179,0.273,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
PatchTST,ECL,336,0.16402228231563026,0.2593081046663553,0.164,0.259,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
DLinear,ECL,336,0.16948389213787135,0.2684113914520788,0.169,0.268,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
ISCF-BSCA-MAIN-v1,ECL,720,0.19796025827910826,0.28308850146793535,0.198,0.283,second,second,1,frozen_current_ISCF_fixed_H_formal_scorecard
TimeAlign,ECL,720,0.19012547761408818,0.27789375096973445,0.190,0.278,best,best,1,source_native_H720_model_on_official_fixed_H_loader
QDF,ECL,720,0.22251303493976593,0.31353291869163513,0.223,0.314,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
AMD,ECL,720,0.2002936750650406,0.29212602972984314,0.200,0.292,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
SimpleTM,ECL,720,0.20076404152045482,0.29349028521337694,0.201,0.293,normal,normal,3,source_native_H720_model_on_official_fixed_H_loader
iTransformer,ECL,720,0.21074225625845952,0.300736639988131,0.211,0.301,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
PatchTST,ECL,720,0.20113193420649367,0.29123891046088796,0.201,0.291,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
DLinear,ECL,720,0.2039015201867136,0.3011989567696192,0.204,0.301,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
ISCF-BSCA-MAIN-v1,ECL,Avg.,0.15184787486655815,0.24452703429876543,0.152,0.245,best,best,1,four_horizon_arithmetic_mean
TimeAlign,ECL,Avg.,0.15465728198446052,0.24485927677938776,0.155,0.245,second,best,1,four_horizon_arithmetic_mean
QDF,ECL,Avg.,0.1828269362449646,0.28106532990932465,0.183,0.281,normal,normal,1,four_horizon_arithmetic_mean
AMD,ECL,Avg.,0.1625278815627098,0.2572905458509922,0.163,0.257,normal,normal,1,four_horizon_arithmetic_mean
SimpleTM,ECL,Avg.,0.1688677434242444,0.264807001540835,0.169,0.265,normal,normal,3,four_horizon_arithmetic_mean
iTransformer,ECL,Avg.,0.17651361019576656,0.26915721312009294,0.177,0.269,normal,normal,1,four_horizon_arithmetic_mean
PatchTST,ECL,Avg.,0.16144560844784406,0.25525510854574485,0.161,0.255,normal,second,1,four_horizon_arithmetic_mean
DLinear,ECL,Avg.,0.16683694470812133,0.26456336063842906,0.167,0.265,normal,normal,1,four_horizon_arithmetic_mean
ISCF-BSCA-MAIN-v1,Solar,96,0.16593113466767656,0.19540053302962504,0.166,0.195,best,best,1,frozen_current_ISCF_fixed_H_formal_scorecard
TimeAlign,Solar,96,0.1776400640180024,0.2091890804003924,0.178,0.209,normal,second,1,source_native_H720_model_on_official_fixed_H_loader
QDF,Solar,96,0.18649043142795563,0.2555790841579437,0.186,0.256,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
AMD,Solar,96,0.1895732432603836,0.24191011488437653,0.190,0.242,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
SimpleTM,Solar,96,0.1678306520796625,0.2317548178353235,0.168,0.232,second,normal,3,source_native_H720_model_on_official_fixed_H_loader
iTransformer,Solar,96,0.19727682364458468,0.2385637905683262,0.197,0.239,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
PatchTST,Solar,96,0.1808792562219136,0.23466925357038732,0.181,0.235,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
DLinear,Solar,96,0.2223858711251819,0.29151030730347394,0.222,0.292,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
ISCF-BSCA-MAIN-v1,Solar,192,0.18483823718649336,0.20649918386066013,0.185,0.206,second,best,1,frozen_current_ISCF_fixed_H_formal_scorecard
TimeAlign,Solar,192,0.18986076562820622,0.21682588713398823,0.190,0.217,normal,second,1,source_native_H720_model_on_official_fixed_H_loader
QDF,Solar,192,0.20511923730373383,0.26704972982406616,0.205,0.267,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
AMD,Solar,192,0.20229825377464294,0.24884508550167084,0.202,0.249,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
SimpleTM,Solar,192,0.18398084854303018,0.24361009944414924,0.184,0.244,best,normal,3,source_native_H720_model_on_official_fixed_H_loader
iTransformer,Solar,192,0.22793137717319992,0.25930349970744665,0.228,0.259,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
PatchTST,Solar,192,0.19025828394999694,0.2445174065802909,0.190,0.245,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
DLinear,Solar,192,0.2500897077361259,0.30946052830112136,0.250,0.309,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
ISCF-BSCA-MAIN-v1,Solar,336,0.19627804966282963,0.2139648905717176,0.196,0.214,second,best,1,frozen_current_ISCF_fixed_H_formal_scorecard
TimeAlign,Solar,336,0.1974118018933084,0.22123100947854774,0.197,0.221,normal,second,1,source_native_H720_model_on_official_fixed_H_loader
QDF,Solar,336,0.2149670422077179,0.2720291018486023,0.215,0.272,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
AMD,Solar,336,0.21040301024913788,0.25388479232788086,0.210,0.254,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
SimpleTM,Solar,336,0.18762622936701132,0.24743871173182352,0.188,0.247,best,normal,3,source_native_H720_model_on_official_fixed_H_loader
iTransformer,Solar,336,0.24295637450293875,0.27100612234387667,0.243,0.271,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
PatchTST,Solar,336,0.1980246214213938,0.2511802644882433,0.198,0.251,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
DLinear,Solar,336,0.269021961847894,0.3241492832855003,0.269,0.324,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
ISCF-BSCA-MAIN-v1,Solar,720,0.20615282297339788,0.21971453196986784,0.206,0.220,normal,best,1,frozen_current_ISCF_fixed_H_formal_scorecard
TimeAlign,Solar,720,0.20081911921345938,0.22318663704726432,0.201,0.223,second,second,1,source_native_H720_model_on_official_fixed_H_loader
QDF,Solar,720,0.22260445356369019,0.27768146991729736,0.223,0.278,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
AMD,Solar,720,0.21470476686954498,0.25669339299201965,0.215,0.257,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
SimpleTM,Solar,720,0.19978683358714652,0.254363545820319,0.200,0.254,best,normal,3,source_native_H720_model_on_official_fixed_H_loader
iTransformer,Solar,720,0.24967725044717176,0.2756049366806625,0.250,0.276,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
PatchTST,Solar,720,0.20603524980251248,0.2574213268835299,0.206,0.257,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
DLinear,Solar,720,0.27086608348467806,0.3274722590788683,0.271,0.327,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
ISCF-BSCA-MAIN-v1,Solar,Avg.,0.18830006112259937,0.20889478485796764,0.188,0.209,second,best,1,four_horizon_arithmetic_mean
TimeAlign,Solar,Avg.,0.1914329376882441,0.2176081535150482,0.191,0.218,normal,second,1,four_horizon_arithmetic_mean
QDF,Solar,Avg.,0.20729529112577438,0.2680848464369774,0.207,0.268,normal,normal,1,four_horizon_arithmetic_mean
AMD,Solar,Avg.,0.20424481853842735,0.25033334642648697,0.204,0.250,normal,normal,1,four_horizon_arithmetic_mean
SimpleTM,Solar,Avg.,0.18480614089421263,0.24429179370790383,0.185,0.244,best,normal,3,four_horizon_arithmetic_mean
iTransformer,Solar,Avg.,0.22946045644197377,0.261119587325078,0.229,0.261,normal,normal,1,four_horizon_arithmetic_mean
PatchTST,Solar,Avg.,0.19379935284895422,0.24694706288061286,0.194,0.247,normal,normal,1,four_horizon_arithmetic_mean
DLinear,Solar,Avg.,0.25309090604846995,0.31314809449224096,0.253,0.313,normal,normal,1,four_horizon_arithmetic_mean
