dataset,batch_idx,rank,coeff_vectors,coeff_norm_mean,projection_share_mean,projection_share_min,projection_share_max,projection_pair_cosine_mean,output_energy_entropy_mean,output_energy_max_stage_share_mean,projection_cos_early_0_96_vs_mid_96_192,projection_cos_early_0_96_vs_late_192_336,projection_cos_early_0_96_vs_tail_336_720,projection_cos_mid_96_192_vs_late_192_336,projection_cos_mid_96_192_vs_tail_336_720,projection_cos_late_192_336_vs_tail_336_720
ETTh2,0,32,112,7.496704578399658,0.2817441336810589,0.21069785952568054,0.41445890069007874,0.25684086481730145,0.7785572409629822,0.5766456723213196,0.20171645283699036,0.16061365604400635,0.2357700765132904,0.29828253388404846,0.2660468518733978,0.3786156177520752
ETTh2,0,64,112,7.496704578399658,0.3737046495079994,0.2930946350097656,0.5361531972885132,0.36184463898340863,0.7785572409629822,0.5766456723213196,0.31461241841316223,0.30018994212150574,0.35474255681037903,0.394325315952301,0.3631088137626648,0.44408878684043884
ETTh2,1,32,112,7.040168285369873,0.2836787551641464,0.20768092572689056,0.3864068388938904,0.2686094318826993,0.7768163681030273,0.5814136266708374,0.20308712124824524,0.16515372693538666,0.24132132530212402,0.318261057138443,0.29475465416908264,0.38907870650291443
ETTh2,1,64,112,7.040168285369873,0.3834874927997589,0.2954038977622986,0.5249709486961365,0.3796750456094742,0.7768163681030273,0.5814136266708374,0.32507556676864624,0.31208768486976624,0.37004759907722473,0.4223966896533966,0.3904644846916199,0.4579782485961914
ETTh2,2,32,112,6.873531818389893,0.28458256274461746,0.2180233746767044,0.37629058957099915,0.2745687315861384,0.7876726388931274,0.5774148106575012,0.2011643648147583,0.17566820979118347,0.2553365230560303,0.3320484757423401,0.2961118221282959,0.3870829939842224
ETTh2,2,64,112,6.873531818389893,0.3899100124835968,0.3139755427837372,0.5149616599082947,0.38994479676087695,0.7876726388931274,0.5774148106575012,0.32438093423843384,0.32874754071235657,0.3934490382671356,0.4347708523273468,0.3962341845035553,0.4620862305164337
ETTh2,3,32,112,7.021514892578125,0.2836914323270321,0.22673413157463074,0.3775891959667206,0.2700534438093503,0.804046630859375,0.5495501160621643,0.20525093376636505,0.1694115698337555,0.25846803188323975,0.31412220001220703,0.2847137749195099,0.3883541524410248
ETTh2,3,64,112,7.021514892578125,0.38350801169872284,0.3148811161518097,0.5107459425926208,0.38101252416769665,0.804046630859375,0.5495501160621643,0.3231537640094757,0.3212938606739044,0.3865716755390167,0.41300100088119507,0.3859125077724457,0.4561423361301422
ETTh2,4,32,112,6.8443498611450195,0.2870846353471279,0.24146027863025665,0.35825827717781067,0.264859897394975,0.8031438589096069,0.5494126081466675,0.195840984582901,0.15976457297801971,0.24559739232063293,0.311101496219635,0.2869487404823303,0.3899061977863312
ETTh2,4,64,112,6.8443498611450195,0.3895658552646637,0.3323638439178467,0.496817409992218,0.3798486640055974,0.8031438589096069,0.5494126081466675,0.3151531219482422,0.31546035408973694,0.3848198354244232,0.4144198000431061,0.38744673132896423,0.46179214119911194
ETTh2,5,32,112,7.012587547302246,0.2912343852221966,0.24533142149448395,0.3665178716182709,0.2626286695400874,0.8059833645820618,0.5436395406723022,0.19776056706905365,0.1556544303894043,0.2365713268518448,0.31929296255111694,0.2890840470790863,0.3774086833000183
ETTh2,5,64,112,7.012587547302246,0.39036059379577637,0.3367627263069153,0.49741047620773315,0.37438995639483136,0.8059833645820618,0.5436395406723022,0.31606894731521606,0.3008030951023102,0.3691820204257965,0.41681796312332153,0.3883621096611023,0.45510560274124146
ETTh2,6,32,112,7.096325874328613,0.2955923080444336,0.27549609541893005,0.32796987891197205,0.26229983071486157,0.8092817664146423,0.5401777625083923,0.20867054164409637,0.15386168658733368,0.23909422755241394,0.31669336557388306,0.2803536057472229,0.37512555718421936
ETTh2,6,64,112,7.096325874328613,0.3968190625309944,0.367897093296051,0.4617006778717041,0.37440121670564014,0.8092817664146423,0.5401777625083923,0.3290335237979889,0.30436691641807556,0.3708520829677582,0.41616085171699524,0.3784772455692291,0.44751667976379395
ETTh2,7,32,112,7.28591775894165,0.3032752424478531,0.2865055203437805,0.33533647656440735,0.26370439926783246,0.809933602809906,0.5328992605209351,0.21088062226772308,0.15804529190063477,0.23995433747768402,0.30981865525245667,0.27924543619155884,0.38428205251693726
ETTh2,7,64,112,7.28591775894165,0.398135244846344,0.375189870595932,0.45710429549217224,0.36631934344768524,0.809933602809906,0.5328992605209351,0.3175925612449646,0.299408495426178,0.3662625253200531,0.40013960003852844,0.3686276972293854,0.44588518142700195
ETTm1,0,32,112,8.141985893249512,0.36763469874858856,0.308375746011734,0.4558258652687073,0.34706812103589374,0.8873868584632874,0.4989106357097626,0.23222887516021729,0.27792882919311523,0.34199801087379456,0.3149104714393616,0.4650833010673523,0.4502592384815216
ETTm1,0,64,112,8.141985893249512,0.4796285703778267,0.40886348485946655,0.5361987948417664,0.45608436067899066,0.8873868584632874,0.4989106357097626,0.344853013753891,0.41221290826797485,0.47574642300605774,0.3955453038215637,0.5592957139015198,0.548852801322937
ETTm1,1,32,112,8.280047416687012,0.37677326053380966,0.2998669445514679,0.45784956216812134,0.3531715249021848,0.8926226496696472,0.4918402135372162,0.22314579784870148,0.30081358551979065,0.3334029018878937,0.3330576419830322,0.4503624737262726,0.4782467484474182
ETTm1,1,64,112,8.280047416687012,0.4853321239352226,0.4039321541786194,0.5337361097335815,0.45973192155361176,0.8926226496696472,0.4918402135372162,0.33760592341423035,0.441913902759552,0.46098384261131287,0.4102923572063446,0.5405440330505371,0.5670514702796936
ETTm1,2,32,112,8.9463529586792,0.39696744084358215,0.3081720173358917,0.4726426303386688,0.3733050500353177,0.9098371863365173,0.4668300151824951,0.23215614259243011,0.33646515011787415,0.3444111943244934,0.37213751673698425,0.4362568259239197,0.5184034705162048
ETTm1,2,64,112,8.9463529586792,0.5004856958985329,0.4160081446170807,0.5408554077148438,0.47697079678376514,0.9098371863365173,0.4668300151824951,0.3333717882633209,0.46515747904777527,0.4697391986846924,0.4500215947628021,0.5382592082023621,0.6052755117416382
ETTm1,3,32,112,8.953484535217285,0.3800301179289818,0.3347589671611786,0.4721747934818268,0.3657761365175247,0.8994030356407166,0.48302406072616577,0.22217467427253723,0.31922608613967896,0.34809058904647827,0.3549749255180359,0.45628026127815247,0.4939102828502655
ETTm1,3,64,112,8.953484535217285,0.49388280510902405,0.455618292093277,0.554984450340271,0.47741518914699554,0.8994030356407166,0.48302406072616577,0.34779447317123413,0.45122113823890686,0.47440123558044434,0.43774551153182983,0.5588658452033997,0.5944629311561584
ETTm1,4,32,112,9.06299114227295,0.395847350358963,0.3499615788459778,0.49426501989364624,0.37367935727039975,0.8908334374427795,0.495170533657074,0.2489720731973648,0.3159013092517853,0.3680814802646637,0.3438558876514435,0.48560830950737,0.4796570837497711
