dataset,checkpoint_policy,patch_num,patch_len,attenuation,first_patch,second_patch,target_horizon,interaction_to_main_mean,interaction_to_main_median,interaction_to_main_q25,interaction_to_main_q75,main_effect_rms_mean,examples
ETTm1,official-last,5,144,0.25,0,1,96,0.07553924941385048,0.07060897722840309,0.05847046431154013,0.08848129026591778,0.03107340295355243,4096
ETTm1,official-last,5,144,0.25,0,1,192,0.07353794316895801,0.06852837651968002,0.05703756492584944,0.08605296909809113,0.0295730319426184,4096
ETTm1,official-last,5,144,0.25,0,1,336,0.07388656882403666,0.06916868314146996,0.057450839318335056,0.08643212169408798,0.02724474367187213,4096
ETTm1,official-last,5,144,0.25,0,1,720,0.07395256971358322,0.06940659508109093,0.05756302457302809,0.08560340479016304,0.024618706395813206,4096
ETTm1,official-last,5,144,0.25,0,2,96,0.07064291570441128,0.06780074536800385,0.05707140825688839,0.08079596795141697,0.03454484570556815,4096
ETTm1,official-last,5,144,0.25,0,2,192,0.07223361332944478,0.06911208853125572,0.05767012666910887,0.08348482102155685,0.0318494114949317,4096
ETTm1,official-last,5,144,0.25,0,2,336,0.07101732420278495,0.06776540726423264,0.05697539355605841,0.08145425841212273,0.02922241841633877,4096
ETTm1,official-last,5,144,0.25,0,2,720,0.07139359705479364,0.06814970448613167,0.057240608148276806,0.08162428438663483,0.02606481350676404,4096
ETTm1,official-last,5,144,0.25,0,3,96,0.07381051010042938,0.07352807372808456,0.05887348297983408,0.08579209074378014,0.03949082389635805,4096
ETTm1,official-last,5,144,0.25,0,3,192,0.0716872682887697,0.07128975540399551,0.058055976405739784,0.08348590694367886,0.03616412125302304,4096
ETTm1,official-last,5,144,0.25,0,3,336,0.06964210576234109,0.06904728710651398,0.057155012153089046,0.08031119965016842,0.03363420282903462,4096
ETTm1,official-last,5,144,0.25,0,3,720,0.06913061288196332,0.06830010935664177,0.05734263174235821,0.07931801304221153,0.030120634751710895,4096
ETTm1,official-last,5,144,0.25,0,4,96,0.07032418340168078,0.06700652092695236,0.05227973964065313,0.08629302307963371,0.08242836776480544,4096
ETTm1,official-last,5,144,0.25,0,4,192,0.06777402369266383,0.06414643302559853,0.05027770157903433,0.08197253756225109,0.07568410231760936,4096
ETTm1,official-last,5,144,0.25,0,4,336,0.06803885918861852,0.06417392194271088,0.05061497259885073,0.08185723796486855,0.0673727610574133,4096
ETTm1,official-last,5,144,0.25,0,4,720,0.06767679230642898,0.06399456411600113,0.05076043587177992,0.08080828934907913,0.05944113445957555,4096
ETTm1,official-last,5,144,0.25,1,2,96,0.06329934277300708,0.060564812272787094,0.04987892135977745,0.07283496111631393,0.03013056278041404,4096
ETTm1,official-last,5,144,0.25,1,2,192,0.06443136244661218,0.06088489107787609,0.05065925791859627,0.07355174235999584,0.027400707133438118,4096
ETTm1,official-last,5,144,0.25,1,2,336,0.06316529987861941,0.05958717130124569,0.050118270330131054,0.0721235889941454,0.025670992802588444,4096
ETTm1,official-last,5,144,0.25,1,2,720,0.06288617401651209,0.05928513780236244,0.050423706881701946,0.0711327102035284,0.02334132929831867,4096
ETTm1,official-last,5,144,0.25,1,3,96,0.06182986009071101,0.059592923149466515,0.050676590763032436,0.07058839686214924,0.035076541028502106,4096
ETTm1,official-last,5,144,0.25,1,3,192,0.06325458931041794,0.061164163053035736,0.05271064769476652,0.07121148891746998,0.03171541690107915,4096
ETTm1,official-last,5,144,0.25,1,3,336,0.06324008478623,0.06111377663910389,0.05324663873761892,0.07054289616644382,0.030082777195275412,4096
ETTm1,official-last,5,144,0.25,1,3,720,0.06377824388891895,0.06167589873075485,0.054577392525970936,0.07082210667431355,0.027397150569413498,4096
ETTm1,official-last,5,144,0.25,1,4,96,0.0527275552753963,0.050463585183024406,0.04136938787996769,0.06077344808727503,0.07801408486557193,4096
