dataset,attenuation,target_horizon,pair_median_mean,pair_median_min,pair_median_max,pairs_ge_0_05,pair_count,material_interaction
ETTm1,0.25,96,0.064606698974967,0.050463585183024406,0.07352807372808456,10,10,1
ETTm1,0.25,192,0.06403285525739193,0.04994315840303898,0.07128975540399551,9,10,1
ETTm1,0.25,336,0.06357372216880322,0.049633294343948364,0.06916868314146996,9,10,1
ETTm1,0.25,720,0.06337912566959858,0.04887778498232365,0.06940659508109093,9,10,1
ETTm1,0.5,96,0.12942180894315242,0.10248316451907158,0.14209545403718948,10,10,1
ETTm1,0.5,192,0.1285468775779009,0.10126382857561111,0.13905343413352966,10,10,1
ETTm1,0.5,336,0.12833327166736125,0.10052407160401344,0.14331822097301483,10,10,1
ETTm1,0.5,720,0.12815541513264178,0.09899696335196495,0.14382784068584442,10,10,1
