comparison,selector,segment_start,segment_end,candidate_mse,baseline_mse,relative_mse_pct
patch_matched_d09,last,0,96,0.286356121301651,0.27276551723480225,4.982522792699529
patch_matched_d09,last,96,192,0.3592011034488678,0.3455267548561096,3.9575368334219707
patch_matched_d09,last,192,288,0.40250495076179504,0.38637006282806396,4.176019181100776
patch_matched_d09,last,288,384,0.43513187766075134,0.42008230090141296,3.582530548667484
patch_matched_d09,last,384,480,0.45255833864212036,0.4394981265068054,2.9716195240965915
patch_matched_d09,last,480,576,0.47728922963142395,0.467785507440567,2.0316410063354606
patch_matched_d09,last,576,672,0.4933313727378845,0.4828062057495117,2.17999828151203
patch_matched_d09,last,672,720,0.51023268699646,0.49587884545326233,2.8946267167492046
patch_matched_d09,best_val,0,96,0.285847008228302,0.272219717502594,5.005989592057425
patch_matched_d09,best_val,96,192,0.35820329189300537,0.34527429938316345,3.744556873459648
patch_matched_d09,best_val,192,288,0.40204691886901855,0.3860675096511841,4.1390194249373735
patch_matched_d09,best_val,288,384,0.43464788794517517,0.4195733964443207,3.5928139459278086
patch_matched_d09,best_val,384,480,0.4519338011741638,0.43912261724472046,2.917450257931886
patch_matched_d09,best_val,480,576,0.4765068590641022,0.4669840633869171,2.039212132448087
patch_matched_d09,best_val,576,672,0.4922434687614441,0.48203667998313904,2.1174298973808625
patch_matched_d09,best_val,672,720,0.5086665749549866,0.49452170729637146,2.860312793132458
patch_matched_d02,last,0,96,0.2762729525566101,0.27105167508125305,1.9263033418966513
patch_matched_d02,last,96,192,0.36077919602394104,0.35460641980171204,1.7407401213098916
patch_matched_d02,last,192,288,0.40123119950294495,0.3905813992023468,2.726653220646802
patch_matched_d02,last,288,384,0.43375125527381897,0.4250556230545044,2.045763365468889
patch_matched_d02,last,384,480,0.4542352557182312,0.4473164677619934,1.5467322253646776
patch_matched_d02,last,480,576,0.48088592290878296,0.4768095016479492,0.8549370863510042
patch_matched_d02,last,576,672,0.49813663959503174,0.49013617634773254,1.6322939691811644
patch_matched_d02,last,672,720,0.5097509622573853,0.49942120909690857,2.068344910532671
patch_matched_d02,best_val,0,96,0.2764359712600708,0.2725082039833069,1.4413390934111092
patch_matched_d02,best_val,96,192,0.360198050737381,0.3467671871185303,3.8731645085726685
patch_matched_d02,best_val,192,288,0.4013523757457733,0.38810300827026367,3.4138790973460287
patch_matched_d02,best_val,288,384,0.433672159910202,0.42106005549430847,2.995321985859567
patch_matched_d02,best_val,384,480,0.4540748596191406,0.44301915168762207,2.495537244699997
patch_matched_d02,best_val,480,576,0.4805828034877777,0.4712936580181122,1.9709888541102671
patch_matched_d02,best_val,576,672,0.4975835382938385,0.48595112562179565,2.3937412753512355
patch_matched_d02,best_val,672,720,0.5087825655937195,0.49622613191604614,2.5303854170658058
