comparison,candidate,baseline,selector,target_horizon,candidate_mse,baseline_mse,relative_mse_pct,relative_mae_pct
dropout_d02_vs_d09_p1,p1_d256_f256_d02,p1_d256_f256_d09,last,96,0.27105167508125305,0.27276551723480225,-0.628320680313077,0.07749547732862627
dropout_d02_vs_d09_p1,p1_d256_f256_d02,p1_d256_f256_d09,last,192,0.31282907724380493,0.3091461658477783,1.1913171835487235,1.020992903943907
dropout_d02_vs_d09_p1,p1_d256_f256_d02,p1_d256_f256_d09,last,336,0.35111433267593384,0.34693026542663574,1.206025436885061,1.1738764054127993
dropout_d02_vs_d09_p1,p1_d256_f256_d02,p1_d256_f256_d09,last,720,0.4140356779098511,0.40836983919143677,1.3874283001978238,1.0262968909704018
dropout_d02_vs_d09_p1,p1_d256_f256_d02,p1_d256_f256_d09,last,MEAN,,,0.7891125600796328,0.8246654194139336
dropout_d02_vs_d09_p1,p1_d256_f256_d02,p1_d256_f256_d09,best_val,96,0.2725082039833069,0.272219717502594,0.10597560065066514,0.8479564625928804
dropout_d02_vs_d09_p1,p1_d256_f256_d02,p1_d256_f256_d09,best_val,192,0.30963772535324097,0.30874696373939514,0.28850862306704084,0.9072487990419376
dropout_d02_vs_d09_p1,p1_d256_f256_d02,p1_d256_f256_d09,best_val,336,0.3477168381214142,0.3464335501194,0.37042832646314583,0.8765433831942282
dropout_d02_vs_d09_p1,p1_d256_f256_d02,p1_d256_f256_d09,best_val,720,0.41024208068847656,0.4078052043914795,0.597558900856443,0.758640955933787
dropout_d02_vs_d09_p1,p1_d256_f256_d02,p1_d256_f256_d09,best_val,MEAN,,,0.3406178627593237,0.8475974001907083
dropout_d02_vs_d09_p5,p5_d52_f2048_d02,p5_d52_f2048_d09,last,96,0.2762729525566101,0.286356121301651,-3.5211989529705834,-1.0800143958284991
dropout_d02_vs_d09_p5,p5_d52_f2048_d02,p5_d52_f2048_d09,last,192,0.31852608919143677,0.3227786123752594,-1.3174736555588984,-0.04607392206861238
dropout_d02_vs_d09_p5,p5_d52_f2048_d02,p5_d52_f2048_d09,last,336,0.3587334454059601,0.36167505383491516,-0.8133290913389213,0.3548903534907444
dropout_d02_vs_d09_p5,p5_d52_f2048_d02,p5_d52_f2048_d09,last,720,0.4213557243347168,0.42153188586235046,-0.041790795321039464,0.6340764072068739
dropout_d02_vs_d09_p5,p5_d52_f2048_d02,p5_d52_f2048_d09,last,MEAN,,,-1.4234481237973606,-0.034280389299873315
dropout_d02_vs_d09_p5,p5_d52_f2048_d02,p5_d52_f2048_d09,best_val,96,0.2764359712600708,0.285847008228302,-3.292333555128457,-1.073175665466608
dropout_d02_vs_d09_p5,p5_d52_f2048_d02,p5_d52_f2048_d09,best_val,192,0.3183169960975647,0.3220251798629761,-1.1515198181052955,-0.048345153624984594
dropout_d02_vs_d09_p5,p5_d52_f2048_d02,p5_d52_f2048_d09,best_val,336,0.35851961374282837,0.3609731197357178,-0.6796921595396688,0.35437514125058467
dropout_d02_vs_d09_p5,p5_d52_f2048_d02,p5_d52_f2048_d09,best_val,720,0.4211054742336273,0.4207683503627777,0.08012101446293052,0.6645475949850432
dropout_d02_vs_d09_p5,p5_d52_f2048_d02,p5_d52_f2048_d09,best_val,MEAN,,,-1.2608561295776228,-0.02564952071399118
p5_f2048_vs_f256_d09,p5_d52_f2048_d09,p5_d52_f256_d09,last,96,0.286356121301651,0.29142117500305176,-1.7380527346194774,-0.899056792392916
p5_f2048_vs_f256_d09,p5_d52_f2048_d09,p5_d52_f256_d09,last,192,0.3227786123752594,0.32468029856681824,-0.5857103741597869,-0.25891066864279777
p5_f2048_vs_f256_d09,p5_d52_f2048_d09,p5_d52_f256_d09,last,336,0.36167505383491516,0.3610735833644867,0.16657836467126597,0.06722274438311082
p5_f2048_vs_f256_d09,p5_d52_f2048_d09,p5_d52_f256_d09,last,720,0.42153188586235046,0.4175892472267151,0.9441427579419681,0.2711091025161094
p5_f2048_vs_f256_d09,p5_d52_f2048_d09,p5_d52_f256_d09,last,MEAN,,,-0.30326049654150755,-0.2049089035341234
p5_f2048_vs_f256_d09,p5_d52_f2048_d09,p5_d52_f256_d09,best_val,96,0.285847008228302,0.2911374866962433,-1.8171752899210358,-0.9168857403405339
p5_f2048_vs_f256_d09,p5_d52_f2048_d09,p5_d52_f256_d09,best_val,192,0.3220251798629761,0.32433462142944336,-0.7120552089964538,-0.28320370406460516
p5_f2048_vs_f256_d09,p5_d52_f2048_d09,p5_d52_f256_d09,best_val,336,0.3609731197357178,0.36059996485710144,0.10348167359477412,0.05075197429826872
p5_f2048_vs_f256_d09,p5_d52_f2048_d09,p5_d52_f256_d09,best_val,720,0.4207683503627777,0.4169935882091522,0.9052326607315031,0.2610561907532505
p5_f2048_vs_f256_d09,p5_d52_f2048_d09,p5_d52_f256_d09,best_val,MEAN,,,-0.3801290411478031,-0.22207031983840497
