comparison,candidate,baseline,selector,target_horizon,status,candidate_mse,baseline_mse,relative_mse_pct,candidate_mae,baseline_mae,relative_mae_pct,mse_win
global_width_d09,p1_d384_f96_d09,p1_d256_f256_d09,official-last,96,ok,0.27905893325805664,0.27276551723480225,2.307262328117843,0.3339996039867401,0.33084431290626526,0.9537087256412446,0
global_width_d09,p1_d384_f96_d09,p1_d256_f256_d09,official-last,192,ok,0.3133968412876129,0.3091461658477783,1.3749727182214455,0.3546369671821594,0.35286661982536316,0.501704399716929,0
global_width_d09,p1_d384_f96_d09,p1_d256_f256_d09,official-last,336,ok,0.3507470488548279,0.34693026542663574,1.1001586798714325,0.3752951920032501,0.3737157881259918,0.4226216626218138,0
global_width_d09,p1_d384_f96_d09,p1_d256_f256_d09,official-last,720,ok,0.41079574823379517,0.40836983919143677,0.5940470645828366,0.4065838158130646,0.4053221046924591,0.31128603794328136,0
global_width_d09,p1_d384_f96_d09,p1_d256_f256_d09,best-val,96,ok,0.27910512685775757,0.272219717502594,2.5293573214798304,0.3350331783294678,0.3307173252105713,1.3049975885443876,0
global_width_d09,p1_d384_f96_d09,p1_d256_f256_d09,best-val,192,ok,0.3134625256061554,0.30874696373939514,1.5273225069641683,0.3555455505847931,0.35277652740478516,0.7849227385898772,0
global_width_d09,p1_d384_f96_d09,p1_d256_f256_d09,best-val,336,ok,0.3504621982574463,0.3464335501194,1.162892028401341,0.3759424090385437,0.3736240863800049,0.6204960394820214,0
global_width_d09,p1_d384_f96_d09,p1_d256_f256_d09,best-val,720,ok,0.41003066301345825,0.4078052043914795,0.5457160914117187,0.4069060981273651,0.4052598476409912,0.40622097055917905,0
patch_low_capacity_d09,p5_d52_f256_d09,p1_d256_f256_d09,official-last,96,ok,0.29142117500305176,0.27276551723480225,6.8394487534105375,0.34000346064567566,0.33084431290626526,2.768416255655981,0
patch_low_capacity_d09,p5_d52_f256_d09,p1_d256_f256_d09,official-last,192,ok,0.32468029856681824,0.3091461658477783,5.024850518990043,0.35921311378479004,0.35286661982536316,1.798553221771959,0
patch_low_capacity_d09,p5_d52_f256_d09,p1_d256_f256_d09,official-last,336,ok,0.3610735833644867,0.34693026542663574,4.07670340333619,0.37834370136260986,0.3737157881259918,1.238351009954597,0
patch_low_capacity_d09,p5_d52_f256_d09,p1_d256_f256_d09,official-last,720,ok,0.4175892472267151,0.40836983919143677,2.2576123774303625,0.40727007389068604,0.4053221046924591,0.4805978197771843,0
patch_low_capacity_d09,p5_d52_f256_d09,p1_d256_f256_d09,best-val,96,ok,0.2911374866962433,0.272219717502594,6.949448543700365,0.34020811319351196,0.3307173252105713,2.8697583281728,0
patch_low_capacity_d09,p5_d52_f256_d09,p1_d256_f256_d09,best-val,192,ok,0.32433462142944336,0.30874696373939514,5.048683718621216,0.3593595325946808,0.35277652740478516,1.8660553292260573,0
patch_low_capacity_d09,p5_d52_f256_d09,p1_d256_f256_d09,best-val,336,ok,0.36059996485710144,0.3464335501194,4.089215589199968,0.37840136885643005,0.3736240863800049,1.278633431455578,0
patch_low_capacity_d09,p5_d52_f256_d09,p1_d256_f256_d09,best-val,720,ok,0.4169935882091522,0.4078052043914795,2.253130592431618,0.40721073746681213,0.4052598476409912,0.4813923306680845,0
patch_matched_d09,p5_d52_f2048_d09,p1_d256_f256_d09,official-last,96,ok,0.286356121301651,0.27276551723480225,4.982522792699529,0.33694663643836975,0.33084431290626526,1.844469828874895,0
patch_matched_d09,p5_d52_f2048_d09,p1_d256_f256_d09,official-last,192,ok,0.3227786123752594,0.3091461658477783,4.409709074054513,0.35828307271003723,0.35286661982536316,1.5349859069567762,0
patch_matched_d09,p5_d52_f2048_d09,p1_d256_f256_d09,official-last,336,ok,0.36167505383491516,0.34693026542663574,4.250072673869232,0.37859803438186646,0.3737157881259918,1.306406207871702,0
patch_matched_d09,p5_d52_f2048_d09,p1_d256_f256_d09,official-last,720,ok,0.42153188586235046,0.40836983919143677,3.223070219136237,0.40837422013282776,0.4053221046924591,0.7530098667291929,0
patch_matched_d09,p5_d52_f2048_d09,p1_d256_f256_d09,best-val,96,ok,0.285847008228302,0.272219717502594,5.005989592057425,0.33708879351615906,0.3307173252105713,1.9265601829389967,0
patch_matched_d09,p5_d52_f2048_d09,p1_d256_f256_d09,best-val,192,ok,0.3220251798629761,0.30874696373939514,4.300679094220561,0.3583418130874634,0.35277652740478516,1.57756688734918,0
patch_matched_d09,p5_d52_f2048_d09,p1_d256_f256_d09,best-val,336,ok,0.3609731197357178,0.3464335501194,4.196928851523363,0.37859341502189636,0.3736240863800049,1.3300343374643475,0
patch_matched_d09,p5_d52_f2048_d09,p1_d256_f256_d09,best-val,720,ok,0.4207683503627777,0.4078052043914795,3.1787593271747516,0.4082737863063812,0.4052598476409912,0.7437052259023691,0
patch_matched_d02,p5_d52_f2048_d02,p1_d256_f256_d02,official-last,96,ok,0.2762729525566101,0.27105167508125305,1.9263033418966513,0.33330756425857544,0.3311007022857666,0.6665228909433552,0
patch_matched_d02,p5_d52_f2048_d02,p1_d256_f256_d02,official-last,192,ok,0.31852608919143677,0.31282907724380493,1.821126091546743,0.3581179976463318,0.35646936297416687,0.46248986404040515,0
patch_matched_d02,p5_d52_f2048_d02,p1_d256_f256_d02,official-last,336,ok,0.3587334454059601,0.35111433267593384,2.1699805507678915,0.3799416422843933,0.37810274958610535,0.4863473487830783,0
patch_matched_d02,p5_d52_f2048_d02,p1_d256_f256_d02,official-last,720,ok,0.4213557243347168,0.4140356779098511,1.767974794302507,0.41096362471580505,0.4094819128513336,0.3618503816576135,0
patch_matched_d02,p5_d52_f2048_d02,p1_d256_f256_d02,best-val,96,ok,0.2764359712600708,0.2725082039833069,1.4413390934111092,0.33347123861312866,0.33352166414260864,-0.015119116657569265,0
patch_matched_d02,p5_d52_f2048_d02,p1_d256_f256_d02,best-val,192,ok,0.3183169960975647,0.30963772535324097,2.8030404675083664,0.3581685721874237,0.3559770882129669,0.6156250070638469,0
patch_matched_d02,p5_d52_f2048_d02,p1_d256_f256_d02,best-val,336,ok,0.35851961374282837,0.3477168381214142,3.106773798984719,0.37993505597114563,0.3768990635871887,0.8055186858416219,0
patch_matched_d02,p5_d52_f2048_d02,p1_d256_f256_d02,best-val,720,ok,0.4211054742336273,0.41024208068847656,2.6480446683869063,0.4109869599342346,0.40833431482315063,0.6496258126708954,0
