arm_id,table_label,dataset,horizon,seed,mse,mae,source,checkpoint_sha256,test_role,test_tuned
without_bsca_prefix_loss_only,w/o BSCA,ETTm1,192,2021,0.32953655090064987,0.36700682697483117,new_end_to_end_training,dba4a60192e6a44839782be1fd675f6ba8762f6446db21f27308cdc2d2aa2ea2,primary-mechanism-effectiveness-and-paper-benchmark,False
without_bsca_prefix_loss_only,w/o BSCA,ETTm1,336,2021,0.3679489870824065,0.38555796012326854,new_end_to_end_training,dba4a60192e6a44839782be1fd675f6ba8762f6446db21f27308cdc2d2aa2ea2,primary-mechanism-effectiveness-and-paper-benchmark,False
without_bsca_prefix_loss_only,w/o BSCA,ETTm1,720,2021,0.4257427551209157,0.41465762488469404,new_end_to_end_training,dba4a60192e6a44839782be1fd675f6ba8762f6446db21f27308cdc2d2aa2ea2,primary-mechanism-effectiveness-and-paper-benchmark,False
without_bsca_prefix_loss_only,w/o BSCA,ETTm2,96,2021,0.16987023713854352,0.2552864596283848,new_end_to_end_training,539437d6ec4af5e6a5eaa1a85708a25f20d547d5e92cdfccf56dd7dc5d15570f,primary-mechanism-effectiveness-and-paper-benchmark,False
without_bsca_prefix_loss_only,w/o BSCA,ETTm2,192,2021,0.22461668135456647,0.2914652055761353,new_end_to_end_training,539437d6ec4af5e6a5eaa1a85708a25f20d547d5e92cdfccf56dd7dc5d15570f,primary-mechanism-effectiveness-and-paper-benchmark,False
without_bsca_prefix_loss_only,w/o BSCA,ETTm2,336,2021,0.2759884032982046,0.3252719130095705,new_end_to_end_training,539437d6ec4af5e6a5eaa1a85708a25f20d547d5e92cdfccf56dd7dc5d15570f,primary-mechanism-effectiveness-and-paper-benchmark,False
without_bsca_prefix_loss_only,w/o BSCA,ETTm2,720,2021,0.3531173717427977,0.3775748853466406,new_end_to_end_training,539437d6ec4af5e6a5eaa1a85708a25f20d547d5e92cdfccf56dd7dc5d15570f,primary-mechanism-effectiveness-and-paper-benchmark,False
without_bsca_prefix_loss_only,w/o BSCA,ETTh1,96,2021,0.3905993406054458,0.41907429215065883,new_end_to_end_training,a1c2f9bd4f1ae5525546a25c8784fbb0f2473775494d1633f4b18c8945601827,primary-mechanism-effectiveness-and-paper-benchmark,False
without_bsca_prefix_loss_only,w/o BSCA,ETTh1,192,2021,0.41070242724642186,0.4327502157348873,new_end_to_end_training,a1c2f9bd4f1ae5525546a25c8784fbb0f2473775494d1633f4b18c8945601827,primary-mechanism-effectiveness-and-paper-benchmark,False
without_bsca_prefix_loss_only,w/o BSCA,ETTh1,336,2021,0.4281894492836699,0.44837516889689166,new_end_to_end_training,a1c2f9bd4f1ae5525546a25c8784fbb0f2473775494d1633f4b18c8945601827,primary-mechanism-effectiveness-and-paper-benchmark,False
without_bsca_prefix_loss_only,w/o BSCA,ETTh1,720,2021,0.5067194119476236,0.5013980934987713,new_end_to_end_training,a1c2f9bd4f1ae5525546a25c8784fbb0f2473775494d1633f4b18c8945601827,primary-mechanism-effectiveness-and-paper-benchmark,False
without_bsca_prefix_loss_only,w/o BSCA,ETTh2,96,2021,0.24921741231472624,0.32273786365212215,new_end_to_end_training,60ae26206eb29b42755a1a781f1b8dac0592793f0f7d2af807969009542bf550,primary-mechanism-effectiveness-and-paper-benchmark,False
without_bsca_prefix_loss_only,w/o BSCA,ETTh2,192,2021,0.29097621754059105,0.3531850808800469,new_end_to_end_training,60ae26206eb29b42755a1a781f1b8dac0592793f0f7d2af807969009542bf550,primary-mechanism-effectiveness-and-paper-benchmark,False
without_bsca_prefix_loss_only,w/o BSCA,ETTh2,336,2021,0.32199143631576826,0.3802619045061704,new_end_to_end_training,60ae26206eb29b42755a1a781f1b8dac0592793f0f7d2af807969009542bf550,primary-mechanism-effectiveness-and-paper-benchmark,False
without_bsca_prefix_loss_only,w/o BSCA,ETTh2,720,2021,0.41484499638290717,0.4443902302527349,new_end_to_end_training,60ae26206eb29b42755a1a781f1b8dac0592793f0f7d2af807969009542bf550,primary-mechanism-effectiveness-and-paper-benchmark,False
without_bsca_prefix_loss_only,w/o BSCA,Weather,96,2021,0.14300983143073487,0.1846825153972913,new_end_to_end_training,12d77785fe797c98582f245f314653e5755987bc9417a8793de39aa7e753cbae,primary-mechanism-effectiveness-and-paper-benchmark,False
without_bsca_prefix_loss_only,w/o BSCA,Weather,192,2021,0.18537727650520716,0.22801181157098468,new_end_to_end_training,12d77785fe797c98582f245f314653e5755987bc9417a8793de39aa7e753cbae,primary-mechanism-effectiveness-and-paper-benchmark,False
without_bsca_prefix_loss_only,w/o BSCA,Weather,336,2021,0.2356883890939148,0.26868591611472004,new_end_to_end_training,12d77785fe797c98582f245f314653e5755987bc9417a8793de39aa7e753cbae,primary-mechanism-effectiveness-and-paper-benchmark,False
without_bsca_prefix_loss_only,w/o BSCA,Weather,720,2021,0.3080601666524127,0.3196074175621957,new_end_to_end_training,12d77785fe797c98582f245f314653e5755987bc9417a8793de39aa7e753cbae,primary-mechanism-effectiveness-and-paper-benchmark,False
without_target_adaptive_allocation,w/o Target-Adaptive Allocation,ETTm1,96,2021,0.27600298933911815,0.32981341585388724,new_end_to_end_training,3bf2f9aba22ba2792a27c1b901cec8aeb494823e69b8ce5a52db556926046e6e,primary-mechanism-effectiveness-and-paper-benchmark,False
without_target_adaptive_allocation,w/o Target-Adaptive Allocation,ETTm1,192,2021,0.319758282970427,0.3550043759936406,new_end_to_end_training,3bf2f9aba22ba2792a27c1b901cec8aeb494823e69b8ce5a52db556926046e6e,primary-mechanism-effectiveness-and-paper-benchmark,False
without_target_adaptive_allocation,w/o Target-Adaptive Allocation,ETTm1,336,2021,0.36132422678394727,0.3770137293565089,new_end_to_end_training,3bf2f9aba22ba2792a27c1b901cec8aeb494823e69b8ce5a52db556926046e6e,primary-mechanism-effectiveness-and-paper-benchmark,False
without_target_adaptive_allocation,w/o Target-Adaptive Allocation,ETTm1,720,2021,0.421333667314081,0.4086977199436119,new_end_to_end_training,3bf2f9aba22ba2792a27c1b901cec8aeb494823e69b8ce5a52db556926046e6e,primary-mechanism-effectiveness-and-paper-benchmark,False
without_target_adaptive_allocation,w/o Target-Adaptive Allocation,ETTm2,96,2021,0.16606748175683644,0.24976467564379326,new_end_to_end_training,11cae3870e81e4a39557c629abd32a525619e3a2e5c3467aad3ab3a83f0423b8,primary-mechanism-effectiveness-and-paper-benchmark,False
without_target_adaptive_allocation,w/o Target-Adaptive Allocation,ETTm2,192,2021,0.2265167791297707,0.2902469833585279,new_end_to_end_training,11cae3870e81e4a39557c629abd32a525619e3a2e5c3467aad3ab3a83f0423b8,primary-mechanism-effectiveness-and-paper-benchmark,False
without_target_adaptive_allocation,w/o Target-Adaptive Allocation,ETTm2,336,2021,0.28149278198819977,0.32737115159396996,new_end_to_end_training,11cae3870e81e4a39557c629abd32a525619e3a2e5c3467aad3ab3a83f0423b8,primary-mechanism-effectiveness-and-paper-benchmark,False
without_target_adaptive_allocation,w/o Target-Adaptive Allocation,ETTm2,720,2021,0.35326010561952925,0.37917542533945164,new_end_to_end_training,11cae3870e81e4a39557c629abd32a525619e3a2e5c3467aad3ab3a83f0423b8,primary-mechanism-effectiveness-and-paper-benchmark,False
without_target_adaptive_allocation,w/o Target-Adaptive Allocation,ETTh1,96,2021,0.3659092553817218,0.4033324036954672,new_end_to_end_training,b2d3bc40c851b5330c402b34696494b1d4db7f28593d20fb9346b62665ef0667,primary-mechanism-effectiveness-and-paper-benchmark,False
without_target_adaptive_allocation,w/o Target-Adaptive Allocation,ETTh1,192,2021,0.39196871073794615,0.4185451691550402,new_end_to_end_training,b2d3bc40c851b5330c402b34696494b1d4db7f28593d20fb9346b62665ef0667,primary-mechanism-effectiveness-and-paper-benchmark,False
without_target_adaptive_allocation,w/o Target-Adaptive Allocation,ETTh1,336,2021,0.4131662413996497,0.4351238582005219,new_end_to_end_training,b2d3bc40c851b5330c402b34696494b1d4db7f28593d20fb9346b62665ef0667,primary-mechanism-effectiveness-and-paper-benchmark,False
without_target_adaptive_allocation,w/o Target-Adaptive Allocation,ETTh1,720,2021,0.4715738701025473,0.48108075537819145,new_end_to_end_training,b2d3bc40c851b5330c402b34696494b1d4db7f28593d20fb9346b62665ef0667,primary-mechanism-effectiveness-and-paper-benchmark,False
without_target_adaptive_allocation,w/o Target-Adaptive Allocation,ETTh2,96,2021,0.2413558602885983,0.31446573100929176,new_end_to_end_training,eed5803c6f017fb1ed712d7067d09839cf4171ff80a2d9572a7a2afd43bf0b4f,primary-mechanism-effectiveness-and-paper-benchmark,False
without_target_adaptive_allocation,w/o Target-Adaptive Allocation,ETTh2,192,2021,0.2862199315995521,0.3482160230388467,new_end_to_end_training,eed5803c6f017fb1ed712d7067d09839cf4171ff80a2d9572a7a2afd43bf0b4f,primary-mechanism-effectiveness-and-paper-benchmark,False
without_target_adaptive_allocation,w/o Target-Adaptive Allocation,ETTh2,336,2021,0.3211632707548724,0.3778405700749496,new_end_to_end_training,eed5803c6f017fb1ed712d7067d09839cf4171ff80a2d9572a7a2afd43bf0b4f,primary-mechanism-effectiveness-and-paper-benchmark,False
without_target_adaptive_allocation,w/o Target-Adaptive Allocation,ETTh2,720,2021,0.4033277654552292,0.4357834718938481,new_end_to_end_training,eed5803c6f017fb1ed712d7067d09839cf4171ff80a2d9572a7a2afd43bf0b4f,primary-mechanism-effectiveness-and-paper-benchmark,False
without_target_adaptive_allocation,w/o Target-Adaptive Allocation,Weather,96,2021,0.14144205035204876,0.18255602733904996,new_end_to_end_training,c5788926c534debd2494e4bb001b4ac1296c8de9671f992863dd6a32c4e8ddf3,primary-mechanism-effectiveness-and-paper-benchmark,False
without_target_adaptive_allocation,w/o Target-Adaptive Allocation,Weather,192,2021,0.18417812087777363,0.22600630785921488,new_end_to_end_training,c5788926c534debd2494e4bb001b4ac1296c8de9671f992863dd6a32c4e8ddf3,primary-mechanism-effectiveness-and-paper-benchmark,False
without_target_adaptive_allocation,w/o Target-Adaptive Allocation,Weather,336,2021,0.2352228723763543,0.26750128897314623,new_end_to_end_training,c5788926c534debd2494e4bb001b4ac1296c8de9671f992863dd6a32c4e8ddf3,primary-mechanism-effectiveness-and-paper-benchmark,False
without_target_adaptive_allocation,w/o Target-Adaptive Allocation,Weather,720,2021,0.3072917675338053,0.3180743883621874,new_end_to_end_training,c5788926c534debd2494e4bb001b4ac1296c8de9671f992863dd6a32c4e8ddf3,primary-mechanism-effectiveness-and-paper-benchmark,False
shared_scope_projection,Shared Scope Projection,ETTm1,96,2021,0.28992636517925724,0.3440425674721648,new_end_to_end_training,c88d438ebdaf96180abf3010f5444430b8c8f8ccf61dc2b50c988bd8fa14f002,primary-mechanism-effectiveness-and-paper-benchmark,False
shared_scope_projection,Shared Scope Projection,ETTm1,192,2021,0.3313115447333154,0.3649804731649592,new_end_to_end_training,c88d438ebdaf96180abf3010f5444430b8c8f8ccf61dc2b50c988bd8fa14f002,primary-mechanism-effectiveness-and-paper-benchmark,False
