carrier,dataset,seed_count,function_separation_seed_count,carrier_skill_seed_count,stable_crossing,stable_crossing_pairs,strict_oracle_macro_gain,sample_over_bin_policy_macro_gain,contiguity_seed_count,contiguity_macro_gain,invariants_pass,train_selected_vs_a6_lbf_h720_macro_gain
neutral_raw,ETTh1,3,3,3,True,s144_vs_s720;s1_vs_s144;s1_vs_s360;s1_vs_s48;s1_vs_s720;s360_vs_s720;s48_vs_s144;s48_vs_s360;s48_vs_s720,0.11660419416846052,0.10474426799414412,3,0.004738932835883058,True,
neutral_raw,ETTh2,3,3,3,True,s360_vs_s720;s48_vs_s144;s48_vs_s360;s48_vs_s720,0.055069621221812366,0.053733580694382665,1,-0.004173980551244312,True,
neutral_raw,ETTm1,3,3,3,True,s144_vs_s360;s1_vs_s48;s48_vs_s144,0.04745586157492119,0.046449430102120826,3,0.006836234289279557,True,
neutral_raw,ETTm2,3,3,3,True,s1_vs_s48;s48_vs_s144,0.0850714231365444,0.08424137529816661,3,0.010831411441295093,True,
neutral_raw,Weather,3,3,3,True,s360_vs_s720;s48_vs_s144;s48_vs_s360;s48_vs_s720,0.051334539559471475,0.05056918629700356,2,0.0029176091758197115,True,
a6_natural,ETTh1,3,3,3,True,s144_vs_s360;s144_vs_s720;s1_vs_s144;s1_vs_s360;s1_vs_s720;s360_vs_s720,0.08270631893035424,0.08214741940436308,1,0.0011408792947754118,True,-0.010389818268048644
a6_natural,ETTh2,3,3,3,True,s144_vs_s360;s144_vs_s720;s1_vs_s144;s1_vs_s360;s1_vs_s48;s1_vs_s720;s360_vs_s720;s48_vs_s144;s48_vs_s360;s48_vs_s720,0.08474489754993589,0.07312016716711334,3,0.012143376460750229,True,-0.05523564346656855
a6_natural,ETTm1,3,3,3,True,s144_vs_s360;s144_vs_s720;s1_vs_s144;s1_vs_s360;s1_vs_s720;s360_vs_s720;s48_vs_s144;s48_vs_s360;s48_vs_s720,0.08625704791229782,0.07875438233102233,3,0.0024670840472130907,True,-0.022873343507307194
a6_natural,ETTm2,3,3,3,True,s144_vs_s360;s1_vs_s360;s1_vs_s48;s1_vs_s720;s360_vs_s720;s48_vs_s360;s48_vs_s720,0.13879235243625762,0.13471962113755506,2,0.0009362262674514173,True,-0.04284139432302534
a6_natural,Weather,3,3,3,True,s144_vs_s360;s144_vs_s720;s1_vs_s144;s1_vs_s48;s1_vs_s720;s48_vs_s360;s48_vs_s720,0.0637952956413662,0.0612089937081257,3,0.00664872240369166,True,-0.0030886379470610043
