epoch,train_loss,train_pred_loss,train_alignment_loss,train_reconstruction_loss,mse,mae
1,0.3929960678208549,0.3191265308632041,0.764056101834999,0.71333466149726,0.5183854699134827,0.48647546768188477
2,0.32486337389586106,0.28957189068479355,0.4334203223012528,0.27240933416024693,0.5141580104827881,0.48422813415527344
3,0.3066769869822376,0.2803609238480622,0.3443333659531935,0.18198788008599912,0.5318290591239929,0.49224287271499634
4,0.29385704566847604,0.2720957563170847,0.30257777515447365,0.132648001273848,0.5306370854377747,0.48915624618530273
5,0.2822408954489906,0.26367286128817863,0.27166784529416066,0.09969283066830545,0.5338768362998962,0.48781582713127136
6,0.2725524054383332,0.2562751552968655,0.24804135313573875,0.07750363472216534,0.5595683455467224,0.4974645674228668
7,0.26305239093753524,0.24852148423779685,0.2286960394877308,0.061922101212560005,0.5890485048294067,0.506679117679596
8,0.2551074965382522,0.24191899963144986,0.21313973170406414,0.05063020331117342,0.6040365099906921,0.51438969373703
9,0.24809153597309905,0.23600116996270307,0.19973547368679406,0.04207185981268028,0.5962356328964233,0.5077985525131226
10,0.24149406951553418,0.23029415202590656,0.18854559682450203,0.03545273866434142,0.599858820438385,0.5097156167030334
11,0.23603685745653116,0.2255769578353414,0.1790512240157937,0.03014677807969867,0.6355284452438354,0.5241846442222595
12,0.23081299381436043,0.22098135363380864,0.17068476969341062,0.025948037656972994,0.6149966716766357,0.5188837051391602
