origin,channel,timemixer_full_r2_h96,timemixer_prefix_r2_h96,timemixer_full_r2_h192,timemixer_prefix_r2_h192,timemixer_full_r2_h336,timemixer_prefix_r2_h336,timemixer_full_r2_h720,timemixer_prefix_r2_h720,timemixer_tail_r2_h720,timemixer_last192_r2_h720,baseline_competent,balanced_gain,balanced_prefix,balanced_eligible
0,0,0.5412189508987217,0.5412189508987217,0.6587637538600151,0.6369973987421322,0.5997845683607066,0.6686933658574967,0.5284898781804033,0.5375408769894081,0.13331734830371156,-0.052256475351173615,False,True,False,False
1,0,0.5268076833443427,0.5268076833443427,0.632246397687942,0.604196651048924,0.5921334832012777,0.6742940063576963,0.5535945037230985,0.4893827004144803,0.08186301588588774,-0.03275214749905797,False,True,False,False
2,0,0.5497444080509688,0.5497444080509688,0.6394102475995531,0.640275683036686,0.651448626437803,0.6760480352224982,0.5580581475857349,0.6273647328124808,0.12442534390447746,0.062401673970417515,False,True,False,False
3,0,0.5260402629517815,0.5260402629517815,0.7625460584701063,0.6599228078957515,0.6796231493290161,0.7113208286225432,0.5675658768472953,0.6485072223632918,-0.006421678251495422,0.0028010033588844463,False,True,False,False
4,0,0.5841424843266052,0.5841424843266052,0.7362688342757244,0.6988938781330243,0.6641434872763758,0.638900800795583,0.5929021214226833,0.5834031346443331,0.14240598828937812,0.24665588102563518,False,True,False,False
5,0,0.5879106158717127,0.5879106158717127,0.7171037799662882,0.6561519497091379,0.660311661666036,0.6206234087477898,0.5291212602625486,0.6465615115308773,0.26626964771169437,0.30802723366885376,False,True,False,False
6,0,0.5299752216303993,0.5299752216303993,0.7285123754098671,0.6950378466864878,0.5631159977009945,0.6687294755929767,0.5434979781972324,0.7134493349734701,0.13294601725331823,0.19262957321651653,False,True,False,False
7,0,0.5572685349244284,0.5572685349244284,0.7327233869584171,0.7038772548240002,0.6383531802516093,0.7190488900112715,0.5678877364524089,0.6775124359488793,0.2524637127967635,0.33474666883058035,False,True,False,False
8,0,0.5251867984461556,0.5251867984461556,0.7538394348266353,0.7037986511133599,0.6815436932737183,0.7080392460288631,0.5725416509814173,0.6972119651365616,0.2424380569096154,0.3344158536938815,False,True,False,False
9,0,0.5810898308733539,0.5810898308733539,0.6576968597482138,0.694181961131102,0.5842361151439408,0.6210620426814478,0.559634362525042,0.6626788043962086,0.11216146617256151,0.2670875357128666,False,True,False,False
10,0,0.5811332065112835,0.5811332065112835,0.6553545088471324,0.7129502493212638,0.6483783884124961,0.6315292925515139,0.5543418726634718,0.6422408145685976,0.043847647033471326,0.21286087045609725,False,True,False,False
11,0,0.6070883424715867,0.6070883424715867,0.7434785577168249,0.7150539232593152,0.701830575161815,0.6129164341927222,0.560238092688868,0.693068131852155,0.04838929640221479,0.22675843572457055,False,True,False,False
12,0,0.6445929900795281,0.6445929900795281,0.7509932331987561,0.6274526294993571,0.6740007557650819,0.6462638072836362,0.542652805480822,0.7591567575867436,-0.018378271089158682,0.25467606387012653,False,True,False,False
13,0,0.6228534968716662,0.6228534968716662,0.7408370355491829,0.593629689024119,0.6794710962593964,0.5671592758451256,0.5340446764072431,0.7468858220769645,0.048982057001750845,0.280337769062708,False,True,False,False
14,0,0.6542549738680665,0.6542549738680665,0.6333015702546465,0.6620694286688155,0.6770185515452604,0.6404222980460199,0.5619906275266645,0.6766318488083494,0.055340557307377525,0.301721606661706,False,True,False,False
15,0,0.6607624149574961,0.6607624149574961,0.6884478219655064,0.658158151795369,0.7145071065904585,0.655206572430117,0.5626598789500216,0.6712631553724878,0.05388284148877165,0.32541034515503364,False,True,False,False
16,0,0.6332751749867072,0.6332751749867072,0.7563887053312747,0.6267284859389268,0.6465040196940076,0.6087008414998313,0.5343878525058858,0.6327292377561917,-0.03409582122339372,0.25744669588600566,False,True,False,False
17,0,0.6474919936475705,0.6474919936475705,0.7537703285244843,0.6093471352487373,0.6075216532452302,0.5936618717527685,0.5331859098550911,0.6513968625604074,0.04734939711735431,0.26582735426704196,False,True,False,False
18,0,0.5926421752021553,0.5926421752021553,0.7400055026332845,0.6449892063947056,0.6210232197017573,0.6093400497048375,0.5524924073662206,0.7079430444803538,0.04539297008040866,0.3311998422298964,False,True,False,False
19,0,0.5834576551981369,0.5834576551981369,0.7357747166238577,0.6815059554295055,0.5680355997588118,0.6076499353788597,0.5267060139570002,0.6800594589320157,0.006961741641477115,0.2983655258919259,False,True,False,False
