dataset,horizon,candidate_mse,candidate_mae,r3_mse,r3_mae,relative_mse_vs_r3_pct,relative_mae_vs_r3_pct,candidate_wins_mse_vs_r3,candidate_wins_mae_vs_r3,is_specialist_gap
ETTh2,96,0.3067552149295807,0.3632796108722687,0.30479592084884644,0.35886070132255554,0.6428216215222493,1.2313718201596213,False,False,False
ETTh2,192,0.36660856008529663,0.4022342562675476,0.3690433204174042,0.4003613591194153,-0.6597491940387168,0.46780167602880063,True,False,False
ETTh2,336,0.37926289439201355,0.41659340262413025,0.3829101622104645,0.41559359431266785,-0.9525126722665145,0.24057356156221843,True,False,False
ETTh2,720,0.4130260944366455,0.4443231523036957,0.41047340631484985,0.43929871916770935,0.6218887953578278,1.1437395368476322,False,False,True
ETTm1,96,0.3057831823825836,0.3571726381778717,0.2986849546432495,0.35228273272514343,2.3764932344222833,1.388062768476206,False,False,True
ETTm1,192,0.3351779580116272,0.37664276361465454,0.32966214418411255,0.3730504512786865,1.6731717380428446,0.9629561695086553,False,False,False
ETTm1,336,0.3643193542957306,0.39501267671585083,0.36072883009910583,0.3924419581890106,0.9953527129057838,0.6550570022388014,False,False,False
ETTm1,720,0.4187183976173401,0.4257816970348358,0.41729286313056946,0.4242476224899292,0.3416148735629232,0.36159885491002797,False,False,True
Weather,96,0.15000879764556885,0.19945767521858215,0.14802636206150055,0.19702932238578796,1.3392449537094286,1.2324829641546575,False,False,True
Weather,192,0.19435086846351624,0.2414572536945343,0.19240911304950714,0.23990498483181,1.0091805856978775,0.6470348516570246,False,False,False
Weather,336,0.24709753692150116,0.281923770904541,0.24479345977306366,0.28043317794799805,0.9412331320344469,0.5315323127776939,False,False,False
Weather,720,0.3235003650188446,0.33559462428092957,0.3208470046520233,0.3337559103965759,0.8269861735810791,0.5509157522240793,False,False,False
