dataset,horizon,candidate_mse,candidate_mae,fixed_mse,fixed_mae,relative_mse_vs_fixed_pct,relative_mae_vs_fixed_pct,candidate_wins_mse_vs_fixed,candidate_wins_mae_vs_fixed
ETTh2,96,0.3067552149295807,0.3632796108722687,0.3074484169483185,0.36609065532684326,-0.22546937324263716,-0.7678547413522252,True,True
ETTh2,192,0.36660856008529663,0.4022342562675476,0.37734004855155945,0.4069473147392273,-2.8439834328363056,-1.1581495444194845,True,True
ETTh2,336,0.37926289439201355,0.41659340262413025,0.3841150403022766,0.4212876260280609,-1.2632012291017514,-1.1142561788933247,True,True
ETTh2,720,0.4130260944366455,0.4443231523036957,0.4074031412601471,0.4438471794128418,1.3801938686839543,0.10723801184981951,False,False
ETTm1,96,0.3057831823825836,0.3571726381778717,0.29047533869743347,0.3442326486110687,5.269928853097983,3.75908259109472,False,False
ETTm1,192,0.3351779580116272,0.37664276361465454,0.3377011716365814,0.3733891248703003,-0.7471734885390324,0.8713801574923741,True,False
ETTm1,336,0.3643193542957306,0.39501267671585083,0.361540287733078,0.3907651901245117,0.768674102705913,1.0869664695531522,False,False
ETTm1,720,0.4187183976173401,0.4257816970348358,0.412788063287735,0.42070141434669495,1.4366535413770753,1.2075744256838439,False,False
Weather,96,0.15000879764556885,0.19945767521858215,0.14708691835403442,0.1950538456439972,1.9864984080375736,2.2577507047067513,False,False
Weather,192,0.19435086846351624,0.2414572536945343,0.19520847499370575,0.24188493192195892,-0.43932853336268174,-0.17681061156905598,True,True
Weather,336,0.24709753692150116,0.281923770904541,0.25078684091567993,0.28711846470832825,-1.4710915376214606,-1.809251038265447,True,True
Weather,720,0.3235003650188446,0.33559462428092957,0.32312721014022827,0.33546921610832214,0.11548234469465068,0.037382915208206136,False,False
