dataset,horizon,candidate_mse,candidate_mae,uniform_mse,uniform_mae,relative_mse_vs_uniform_pct,relative_mae_vs_uniform_pct,candidate_wins_mse_vs_uniform,candidate_wins_mae_vs_uniform
ETTh2,96,0.3067552149295807,0.3632796108722687,0.3089098036289215,0.36455273628234863,-0.6974814894282311,-0.34922942097845855,True,True
ETTh2,192,0.36660856008529663,0.4022342562675476,0.3691662549972534,0.4034823477268219,-0.6928300941200116,-0.3093298793134136,True,True
ETTh2,336,0.37926289439201355,0.41659340262413025,0.38080111145973206,0.417312890291214,-0.4039423786926566,-0.17240964365650147,True,True
ETTh2,720,0.4130260944366455,0.4443231523036957,0.41340693831443787,0.444231241941452,-0.09212324286214102,0.020689756497538347,True,False
ETTm1,96,0.3057831823825836,0.3571726381778717,0.30681994557380676,0.35803118348121643,-0.3379060605998796,-0.23979623646099846,True,True
ETTm1,192,0.3351779580116272,0.37664276361465454,0.3365926444530487,0.3774348795413971,-0.4202963031828322,-0.20986823679491895,True,True
ETTm1,336,0.3643193542957306,0.39501267671585083,0.3652816712856293,0.39549145102500916,-0.2634451891636802,-0.12105806785898121,True,True
ETTm1,720,0.4187183976173401,0.4257816970348358,0.4194723963737488,0.42629995942115784,-0.1797493143593787,-0.12157223449557053,True,True
Weather,96,0.15000879764556885,0.19945767521858215,0.15020199120044708,0.19952069222927094,-0.12862249916542057,-0.03158419810230795,True,True
Weather,192,0.19435086846351624,0.2414572536945343,0.19452537596225739,0.241441011428833,-0.08970937487097208,0.006727219044178057,True,False
Weather,336,0.24709753692150116,0.281923770904541,0.24724797904491425,0.2818574905395508,-0.06084665443747417,0.02351555917969872,True,False
Weather,720,0.3235003650188446,0.33559462428092957,0.32365867495536804,0.3355359435081482,-0.04891261961239568,0.017488669669130097,True,False
