dataset,short_horizon,long_horizon,prefix_mismatch_mse,prefix_mismatch_mae,truth_alignment_mse
ETTh2,96,720,1.48701699147517e-14,6.663800178330348e-08,0.0
ETTh2,192,720,1.2885031312314527e-14,6.161589283237845e-08,0.0
ETTh2,336,720,8.56962545088373e-15,4.431876021726566e-08,0.0
ETTm1,96,720,5.182444710459706e-14,1.293184652695345e-07,0.0
ETTm1,192,720,4.924833869705825e-14,1.258292314787468e-07,0.0
ETTm1,336,720,3.261071425918194e-14,9.465227890359529e-08,0.0
Weather,96,720,1.0190885475444035e-14,5.6319940711091476e-08,0.0
Weather,192,720,0.0,0.0,0.0
Weather,336,720,0.0,0.0,0.0
