dataset,segment,candidate_mse,r3_mse,relative_mse_vs_r3_pct,candidate_wins_mse_vs_r3,is_stability_region
ETTh2,1-96,0.25423088669776917,0.2497519701719284,1.7933458233612587,False,False
ETTh2,97-192,0.33559510111808777,0.33811911940574646,-0.7464878922241125,True,False
ETTh2,193-336,0.36506128311157227,0.36967068910598755,-1.2468951773165093,True,True
ETTh2,337-720,0.4900694489479065,0.4840433597564697,1.2449482200248774,False,True
ETTm1,1-96,0.29136696457862854,0.2841739356517792,2.5312064283276037,False,False
ETTm1,97-192,0.356276273727417,0.3520488142967224,1.2008162672382916,False,False
ETTm1,193-336,0.4071424603462219,0.40565091371536255,0.3676921659557575,False,False
ETTm1,337-720,0.4705077111721039,0.4712492525577545,-0.1573565117877318,True,True
Weather,1-96,0.149128720164299,0.14746259152889252,1.1298652886349458,False,False
Weather,97-192,0.2339877188205719,0.2326873242855072,0.5588592069025289,False,False
Weather,193-336,0.31525251269340515,0.3130928874015808,0.6897714316500325,False,False
Weather,337-720,0.3925643861293793,0.3891408443450928,0.879769326205837,False,True
