epoch,train_loss,val_mean_mse,train_steps_h96,train_steps_h192,train_steps_h336,train_steps_h720,val_mse_h96,val_mae_h96,val_mse_h192,val_mae_h192,val_mse_h336,val_mae_h336,val_mse_h720,val_mae_h720
1,0.7401306333561097,0.374531764537096,55,66,65,62,0.2157071977853775,0.32015541195869446,0.2857223153114319,0.36401981115341187,0.3735114336013794,0.41672948002815247,0.6231861114501953,0.5500537157058716
2,0.6160435106965804,0.3777812160551548,66,64,52,66,0.21510730683803558,0.32047250866889954,0.2869907319545746,0.363916277885437,0.37516117095947266,0.41572168469429016,0.6338656544685364,0.5536407232284546
3,0.5477607769350852,0.40294498950242996,67,53,65,63,0.2297230064868927,0.3291189670562744,0.30744338035583496,0.37327226996421814,0.39895063638687134,0.42536965012550354,0.6756629347801208,0.5676525831222534
4,0.4966296158250301,0.41755637899041176,67,58,74,49,0.24300022423267365,0.3405248820781708,0.31788209080696106,0.3831631541252136,0.4100939929485321,0.4333791136741638,0.6992492079734802,0.5730277299880981
5,0.4584401903613921,0.4221099205315113,66,63,63,56,0.24832718074321747,0.3430003523826599,0.3218245506286621,0.38611021637916565,0.4161929786205292,0.43823590874671936,0.7020949721336365,0.5756115913391113
6,0.43701879235525287,0.43034277856349945,64,47,53,84,0.25101926922798157,0.3456970155239105,0.3296709656715393,0.39147746562957764,0.4271833598613739,0.4451110363006592,0.713497519493103,0.5784891247749329
7,0.4115763096319091,0.4433640390634537,56,58,58,76,0.2588357627391815,0.3511316478252411,0.3372633457183838,0.395937442779541,0.43832364678382874,0.45037534832954407,0.7390334010124207,0.5875679850578308
8,0.3932949519686161,0.43073637038469315,64,53,65,66,0.25559282302856445,0.3499564826488495,0.3314748704433441,0.3946995437145233,0.4277186989784241,0.4476131498813629,0.7081590890884399,0.5784501433372498
9,0.37452355952512834,0.45008350908756256,60,56,67,65,0.27187418937683105,0.35989323258399963,0.3503912687301636,0.40597066283226013,0.4512835144996643,0.4598260521888733,0.7267850637435913,0.5854091644287109
10,0.3594260100395449,0.44885019958019257,65,65,53,65,0.2709723711013794,0.35917675495147705,0.35102778673171997,0.40561643242836,0.44940948486328125,0.45834314823150635,0.7239911556243896,0.5839216113090515
11,0.346416768888312,0.44357161223888397,57,57,60,74,0.2633843421936035,0.35567817091941833,0.35121843218803406,0.40550941228866577,0.4440329968929291,0.4572814404964447,0.7156506776809692,0.5851839780807495
