segment,base_mse,shared_control_mse,pooled_multihead_control_mse,target_set_aware_mse,wrong_target_control_mse,target_vs_pooled_multihead_reduction_pct,target_vs_wrong_target_reduction_pct,stabilized_target_set_mse,stabilized_vs_pooled_multihead_reduction_pct,stabilized_vs_wrong_target_reduction_pct,dataset,feature_source
early_0_96,0.41147863141698193,8.055262886572525,7.970353684148968,0.629176449801049,1.4399024952667778,92.10604102735964,56.304232274805635,6.774335973397797,15.005829830735744,-10.06265160046743,ETTh2,coeff_late
mid_96_192,0.5154046660253341,7.767648938039858,7.66989178351796,1.7218691937351454,14.153147972004612,77.5502804689459,87.83401970260569,5.924325733354847,22.758678993544702,28.219403223451206,ETTh2,coeff_late
late_192_336,0.6638969932489792,5.939345965344433,5.915847964833977,10.398116776970822,41.77977882176505,-75.76714004114262,75.11208275819317,6.283344111551099,-6.21206205605109,21.303410631087264,ETTh2,coeff_late
tail_336_720,1.2996417173250168,3.563477003047553,3.5326593311728374,17.509269736795012,1.3990086659305703,-395.6399158642326,-1151.548340134725,4.380884620534413,-24.01095633186816,-36.37204624592609,ETTh2,coeff_late
early_0_96,0.41147863141698193,9.932840498278422,7.901470752023869,0.6341347608617537,1.4992079851963322,91.97447183235694,57.7020155226355,8.290305391903752,-4.921041310951989,-8.372573449269707,ETTh2,memory_pool
mid_96_192,0.5154046660253341,9.981278463373739,7.687149044180063,1.7528957036947233,14.071776145063142,77.19706364973058,87.54318086342144,7.718781642751969,-0.41149974314411075,23.848561823481898,ETTh2,memory_pool
late_192_336,0.6638969932489792,7.498275218938677,5.958006869878086,10.416482516527223,41.66757202203203,-74.83166340726908,75.00098515214796,7.620606712105755,-27.905302537217278,18.715046317906722,ETTh2,memory_pool
tail_336_720,1.2996417173250168,4.523856954438847,3.66028782953447,17.78388485691915,1.408265170886221,-385.8602843585931,-1162.822174727772,5.272348558184225,-44.041911557943884,-30.693517833766194,ETTh2,memory_pool
early_0_96,0.41147863141698193,10.440326683354963,8.07173794560096,0.6288060848162641,1.446600671071561,92.20978073056796,56.53215863984913,8.692299977473047,-7.688084475169176,-7.7819292927128725,ETTh2,memory_plus_coeff
mid_96_192,0.5154046660253341,10.470602317941621,7.86099106695876,1.7261733873648861,14.521610500815322,78.04127529644042,88.11307198145848,8.119915294150568,-3.2937860504652616,23.478501298378283,ETTh2,memory_plus_coeff
late_192_336,0.6638969932489792,7.8226682495313735,6.059776323810316,10.685591686866832,42.71872173122458,-76.33640444583041,74.98616238075222,7.932682690135938,-30.90718644129692,18.642974931860373,ETTh2,memory_plus_coeff
tail_336_720,1.2996417173250168,4.674265071245573,3.7090987426067588,18.211851523035364,1.4054971939571572,-391.0047638752279,-1195.7586540432826,5.44234292758468,-46.729523942514284,-30.96187672764792,ETTh2,memory_plus_coeff
early_0_96,0.5357079979701087,0.546454334991613,0.5414968902604238,0.5443899221462973,0.5445586495401337,-0.5342656509961076,0.03098424641291038,0.549687659132315,-1.512616049918952,0.29905776777618176,ETTm1,coeff_late
mid_96_192,0.6448965642119215,0.6522382882248199,0.6470681307961218,0.6477070146729722,0.6473556788243198,-0.09873517894697616,-0.05427245950641923,0.6579584097397677,-1.6830189009999665,0.0749180963039655,ETTm1,coeff_late
late_192_336,0.7766681279197979,0.7801593123999243,0.7773524171881021,0.7800351560245562,0.8033490964378013,-0.34511230390950554,2.9020933136818616,0.7826612840546298,-0.6829420928195329,2.08437914277498,ETTm1,coeff_late
tail_336_720,0.8027841695627156,0.7995174955202776,0.8007247317718652,0.8022367821458812,0.8031813097384976,-0.1888352281401527,0.11759830329267001,0.798363227347414,0.29492087989158955,0.18480499793754224,ETTm1,coeff_late
early_0_96,0.5357079979701087,0.5435741759609888,0.5390764748513225,0.5525551346022033,0.5490821310342899,-2.500324235925566,-0.6325107614358826,0.5525551346022033,-2.500324235925566,-0.6325107614358826,ETTm1,memory_pool
mid_96_192,0.6448965642119215,0.6541593351194628,0.6486582579744008,0.659193254454066,0.652570327629496,-1.6241212302705197,-1.0148985548620035,0.659193254454066,-1.6241212302705197,-1.0148985548620035,ETTm1,memory_pool
late_192_336,0.7766681279197979,0.7799963968102319,0.7774436422619123,0.7822871714945716,0.8247099723402239,-0.6230071183767635,5.143966032722022,0.7822871714945716,-0.6230071183767635,5.143966032722036,ETTm1,memory_pool
tail_336_720,0.8027841695627156,0.7991457656004054,0.8013022150009286,0.7978967224754137,0.8041792914244731,0.42499477247931644,0.7812398324670707,0.7978967224754137,0.42499477247931644,0.7812398324670707,ETTm1,memory_pool
early_0_96,0.5357079979701087,0.5447204368798347,0.5398081501773334,0.5537701812709711,0.5504363342398535,-2.58648023173622,-0.6056735036798788,0.5499019470864964,-1.8698859781659611,0.03205696313397183,ETTm1,memory_plus_coeff
