target_horizon,mse,mae,num_samples,num_channels,eval_prefix_steps,mode,run_name,dataset,pred_len,checkpoint_policy,evaluation_split,official_test_mode,protocol_class,protocol_profile,profile_hash
96,0.2600782613735646,0.35526825534179807,2161,7,96,unified,SIFF_FCC_a6_full_seed2022,ETTh2,720,best-val,val,1,method_screening,stage_c_siff_v2_fcc_v1,80912741f9da5560234c400a36e2ec48461cef70bf96701b19fcb90ea278990a
192,0.33715819059095037,0.4006438819536318,2161,7,192,unified,SIFF_FCC_a6_full_seed2022,ETTh2,720,best-val,val,1,method_screening,stage_c_siff_v2_fcc_v1,80912741f9da5560234c400a36e2ec48461cef70bf96701b19fcb90ea278990a
336,0.43508448241101133,0.45503535782474847,2161,7,336,unified,SIFF_FCC_a6_full_seed2022,ETTh2,720,best-val,val,1,method_screening,stage_c_siff_v2_fcc_v1,80912741f9da5560234c400a36e2ec48461cef70bf96701b19fcb90ea278990a
720,0.654636920750555,0.560999489761889,2161,7,720,unified,SIFF_FCC_a6_full_seed2022,ETTh2,720,best-val,val,1,method_screening,stage_c_siff_v2_fcc_v1,80912741f9da5560234c400a36e2ec48461cef70bf96701b19fcb90ea278990a
