effect,candidate,reference,dataset,gain_fraction,gain_percent,dataset_wins
ordered_over_independent,siff_mcca,independent_scope_matched_mcca,ETTh2,0.01643522058363489,1.643522058363489,
ordered_over_independent,siff_mcca,independent_scope_matched_mcca,ETTm1,0.010804792464381374,1.0804792464381374,
ordered_over_independent,siff_mcca,independent_scope_matched_mcca,ETTm2,-0.12008891012750467,-12.008891012750468,
ordered_over_independent,siff_mcca,independent_scope_matched_mcca,Weather,-0.002481833504769826,-0.2481833504769826,
ordered_over_independent,siff_mcca,independent_scope_matched_mcca,macro,-0.02141980785373405,-2.141980785373405,2
ordered_over_dense,siff_mcca,dense_siff_matched,ETTh1,0.06078322578493789,6.078322578493789,
ordered_over_dense,siff_mcca,dense_siff_matched,ETTh2,0.11332482565201418,11.332482565201419,
ordered_over_dense,siff_mcca,dense_siff_matched,ETTm1,0.030937946956805518,3.0937946956805518,
ordered_over_dense,siff_mcca,dense_siff_matched,ETTm2,-0.0972317460640364,-9.723174606403639,
ordered_over_dense,siff_mcca,dense_siff_matched,Weather,0.008414243705347602,0.8414243705347602,
ordered_over_dense,siff_mcca,dense_siff_matched,macro,0.02324569920701376,2.324569920701376,4
transport_over_pointwise,pcsd_mcca,pcsd_pointwise_mcca,ETTh1,0.006643532730413293,0.6643532730413293,
transport_over_pointwise,pcsd_mcca,pcsd_pointwise_mcca,ETTh2,0.010902953317189601,1.09029533171896,
transport_over_pointwise,pcsd_mcca,pcsd_pointwise_mcca,ETTm1,0.006059757615771599,0.6059757615771599,
transport_over_pointwise,pcsd_mcca,pcsd_pointwise_mcca,ETTm2,0.003207188307981057,0.3207188307981057,
transport_over_pointwise,pcsd_mcca,pcsd_pointwise_mcca,Weather,-0.0031351075649366233,-0.31351075649366233,
transport_over_pointwise,pcsd_mcca,pcsd_pointwise_mcca,macro,0.004735664881283785,0.47356648812837854,4
capability_over_uniform_ot,pcsd_mcca,pcsd_uniform_balanced_ot,ETTh1,0.0031087978897874624,0.31087978897874624,
capability_over_uniform_ot,pcsd_mcca,pcsd_uniform_balanced_ot,ETTh2,0.0011934832013711372,0.11934832013711372,
capability_over_uniform_ot,pcsd_mcca,pcsd_uniform_balanced_ot,ETTm1,0.00031972144755032517,0.03197214475503252,
capability_over_uniform_ot,pcsd_mcca,pcsd_uniform_balanced_ot,ETTm2,0.0009605863148478555,0.09605863148478555,
capability_over_uniform_ot,pcsd_mcca,pcsd_uniform_balanced_ot,Weather,0.00032764218941394585,0.032764218941394585,
capability_over_uniform_ot,pcsd_mcca,pcsd_uniform_balanced_ot,macro,0.0011820462085941452,0.11820462085941452,5
