dataset,arm,status,protocol_pass,dense_mse_auc,dense_mae_auc,h720_mse,h720_mae,readout_mode,objective_mode,mode_rank,encoder_initialization_hash,decoder_initialization_hash,run_dir,minimum_pairwise_probe_nrmse,mean_pairwise_probe_nrmse,policy_normalized_entropy,policy_usage_max
ETTm2,pcsd_mcca,ok,True,0.1956036226484229,0.29437169232198995,0.27921602416576613,0.35317882175246873,pcsd-coupling-field,mcca_transport_full,256,db0f79f320db76b3967efd6827230dddba88e722979c7a5389bce1fae851aeb5,da7cd257bc064f00e577611e6b1f2d905647dc81a82eab6a20c45496764aad7c,/home/yingch/exp_outputs/r-2026-fatst/stage_c_post_pcc_step7b/pcsd_mcca/ETTm2/h720_full/seed2021,0.021703934943597247,0.10042745614074948,0.9836656534256497,0.27092110355229776
ETTm2,siff_equal,ok,True,0.21397898251661748,0.3199195586685324,0.27689436684466073,0.35916488690094817,siff-coupling-field,equal_skill,256,db0f79f320db76b3967efd6827230dddba88e722979c7a5389bce1fae851aeb5,5905b2fbe5378c2b8e27f3f70487ab645eec0947098b69458cc57b2808bbc8a8,/home/yingch/exp_outputs/r-2026-fatst/stage_c_post_pcc_step7b/siff_equal/ETTm2/h720_full/seed2021,0.0911084510905571,0.2134033236537881,0.8987491852541697,0.4198772128686091
ETTm2,siff_pcc,ok,True,0.2137860542076077,0.31898840959377434,0.27730606428037086,0.35926844761189486,siff-coupling-field,pcc_transport_full,256,db0f79f320db76b3967efd6827230dddba88e722979c7a5389bce1fae851aeb5,5905b2fbe5378c2b8e27f3f70487ab645eec0947098b69458cc57b2808bbc8a8,/home/yingch/exp_outputs/r-2026-fatst/stage_c_post_pcc_step7b/siff_pcc/ETTm2/h720_full/seed2021,0.09944882348437656,0.21236387413613628,0.9617374428341472,0.2813564498762
ETTm2,siff_mcca,ok,True,0.21440244793686777,0.3206841729658391,0.2775372374544127,0.3600683128875163,siff-coupling-field,mcca_transport_full,256,db0f79f320db76b3967efd6827230dddba88e722979c7a5389bce1fae851aeb5,5905b2fbe5378c2b8e27f3f70487ab645eec0947098b69458cc57b2808bbc8a8,/home/yingch/exp_outputs/r-2026-fatst/stage_c_post_pcc_step7b/siff_mcca/ETTm2/h720_full/seed2021,0.09631260854786533,0.2137037817369645,0.986443840449198,0.2574748915667708
ETTm2,siff_const_mcca,ok,True,0.19822440860227217,0.2976152764453675,0.2821183379066901,0.3551718060962028,siff-constant-control,mcca_transport_full,256,db0f79f320db76b3967efd6827230dddba88e722979c7a5389bce1fae851aeb5,5905b2fbe5378c2b8e27f3f70487ab645eec0947098b69458cc57b2808bbc8a8,/home/yingch/exp_outputs/r-2026-fatst/stage_c_post_pcc_step7b/siff_const_mcca/ETTm2/h720_full/seed2021,0.029824788527737785,0.1350911850966525,0.9848084472211787,0.25378410114876315
ETTm2,siff_permuted_mcca,ok,True,0.22148513357153987,0.3271208405434854,0.28071869804213445,0.3626921145659354,siff-permuted-scale-control,mcca_transport_full,256,db0f79f320db76b3967efd6827230dddba88e722979c7a5389bce1fae851aeb5,5905b2fbe5378c2b8e27f3f70487ab645eec0947098b69458cc57b2808bbc8a8,/home/yingch/exp_outputs/r-2026-fatst/stage_c_post_pcc_step7b/siff_permuted_mcca/ETTm2/h720_full/seed2021,0.06700361082368643,0.20337436565229744,0.9844695131562378,0.2526356161258535
ETTm2,pcsd_q1_wide_mcca,ok,True,0.19593392573847776,0.2959517882969762,0.2789013918903139,0.3539499516081479,siff-q1-wide-control,mcca_transport_full,485,db0f79f320db76b3967efd6827230dddba88e722979c7a5389bce1fae851aeb5,7333ea8b23efe2d0600086a116ff899c10dad253eae55dbfe4cd907694b1fe69,/home/yingch/exp_outputs/r-2026-fatst/stage_c_post_pcc_step7b/pcsd_q1_wide_mcca/ETTm2/h720_full/seed2021,0.03131739727249828,0.16066278142565868,0.976673917266323,0.2626403028058887
ETTm2,independent_scope_matched_mcca,ok,True,0.1914155617454166,0.29261790744234756,0.27409752543705207,0.3536602142887811,siff-independent-scope-control,mcca_transport_full,106,db0f79f320db76b3967efd6827230dddba88e722979c7a5389bce1fae851aeb5,7ead6adc8f088e65b12010691cd6acd7ecf269004e61194c3d95adb2d2503174,/home/yingch/exp_outputs/r-2026-fatst/stage_c_post_pcc_step7b/independent_scope_matched_mcca/ETTm2/h720_full/seed2021,0.17486725811577214,0.32611464818077573,0.9714240307813485,0.21783370539102573
ETTm2,dense_siff_matched,ok,True,0.1954030665864045,0.2947393125559754,0.28385189229415525,0.35569715197715496,siff-dense-nonlinear-matched,measure_only,256,db0f79f320db76b3967efd6827230dddba88e722979c7a5389bce1fae851aeb5,16f0dbb469c645fadd13071eb3aff9f660cf86ed1541be3a00d386a8d1df4626,/home/yingch/exp_outputs/r-2026-fatst/stage_c_post_pcc_step7b/dense_siff_matched/ETTm2/h720_full/seed2021,,,,
ETTm2,pcsd_pointwise_mcca,ok,True,0.19623297876355367,0.2947906882620398,0.28028329097044963,0.3536665559021963,pcsd-coupling-field,mcca_pointwise_full,256,db0f79f320db76b3967efd6827230dddba88e722979c7a5389bce1fae851aeb5,da7cd257bc064f00e577611e6b1f2d905647dc81a82eab6a20c45496764aad7c,/home/yingch/exp_outputs/r-2026-fatst/stage_c_post_pcc_step7b/pcsd_pointwise_mcca/ETTm2/h720_full/seed2021,0.02840085941168643,0.12226261973728143,0.9831057592191157,0.27325253606932287
ETTm2,pcsd_uniform_balanced_ot,ok,True,0.19579169747357686,0.29461311195811546,0.27935332590196693,0.353295430354774,pcsd-coupling-field,mcca_uniform_balanced,256,db0f79f320db76b3967efd6827230dddba88e722979c7a5389bce1fae851aeb5,da7cd257bc064f00e577611e6b1f2d905647dc81a82eab6a20c45496764aad7c,/home/yingch/exp_outputs/r-2026-fatst/stage_c_post_pcc_step7b/pcsd_uniform_balanced_ot/ETTm2/h720_full/seed2021,0.021655042597590973,0.10039201160213947,0.9876435165314128,0.2562454287311407
Weather,pcsd_mcca,ok,True,0.4914988509276444,0.32112289430348856,0.5888220781874326,0.38797602756983707,pcsd-coupling-field,mcca_transport_full,256,3b8977b5bc25ce41e6d0d7dfa6abdabb4baa41d4420a9d94b2bb3fdb625ef41e,17707fc94e12839db1bc4454b5eb5bd3639d884d4cfa01a22c3ed19a876c396b,/home/yingch/exp_outputs/r-2026-fatst/stage_c_post_pcc_step7b/pcsd_mcca/Weather/h720_full/seed2021,0.051859475413044684,0.44767102451909396,0.973316835830877,0.22828442161449203
Weather,siff_equal,ok,True,0.4968444786953036,0.32903780228660695,0.5943726208888822,0.3953280484510793,siff-coupling-field,equal_skill,256,3b8977b5bc25ce41e6d0d7dfa6abdabb4baa41d4420a9d94b2bb3fdb625ef41e,77d20cf4ecaf11332eb36e113f44f1c25473f3405384682be835cda9dc80413c,/home/yingch/exp_outputs/r-2026-fatst/stage_c_post_pcc_step7b/siff_equal/Weather/h720_full/seed2021,0.0714040536463717,0.1266632115724003,0.5212131208774223,0.4257633354899482
Weather,siff_pcc,ok,True,0.4932373723229173,0.3232804271107991,0.5900374377146363,0.38963150534157953,siff-coupling-field,pcc_transport_full,256,3b8977b5bc25ce41e6d0d7dfa6abdabb4baa41d4420a9d94b2bb3fdb625ef41e,77d20cf4ecaf11332eb36e113f44f1c25473f3405384682be835cda9dc80413c,/home/yingch/exp_outputs/r-2026-fatst/stage_c_post_pcc_step7b/siff_pcc/Weather/h720_full/seed2021,0.16687855711198246,0.41866146659701786,0.9682486498956153,0.21294720086992372
Weather,siff_mcca,ok,True,0.49307064776209325,0.3234279951079375,0.5903671332531505,0.39000405446729725,siff-coupling-field,mcca_transport_full,256,3b8977b5bc25ce41e6d0d7dfa6abdabb4baa41d4420a9d94b2bb3fdb625ef41e,77d20cf4ecaf11332eb36e113f44f1c25473f3405384682be835cda9dc80413c,/home/yingch/exp_outputs/r-2026-fatst/stage_c_post_pcc_step7b/siff_mcca/Weather/h720_full/seed2021,0.20393955978854614,0.4952253861824707,0.9693848677261153,0.21193247906852541
Weather,siff_const_mcca,ok,True,0.493815065896795,0.32435878580381206,0.5897360973267092,0.3901616288142072,siff-constant-control,mcca_transport_full,256,3b8977b5bc25ce41e6d0d7dfa6abdabb4baa41d4420a9d94b2bb3fdb625ef41e,77d20cf4ecaf11332eb36e113f44f1c25473f3405384682be835cda9dc80413c,/home/yingch/exp_outputs/r-2026-fatst/stage_c_post_pcc_step7b/siff_const_mcca/Weather/h720_full/seed2021,0.052237913135935246,0.43727979509796927,0.969004257665257,0.2267022910776719
Weather,siff_permuted_mcca,ok,True,0.49435055305101827,0.3245868012825922,0.5914628492047389,0.3911982604198986,siff-permuted-scale-control,mcca_transport_full,256,3b8977b5bc25ce41e6d0d7dfa6abdabb4baa41d4420a9d94b2bb3fdb625ef41e,77d20cf4ecaf11332eb36e113f44f1c25473f3405384682be835cda9dc80413c,/home/yingch/exp_outputs/r-2026-fatst/stage_c_post_pcc_step7b/siff_permuted_mcca/Weather/h720_full/seed2021,0.19681481330542533,0.4799921140937758,0.9740702096669123,0.2189513313703706
