dataset,short_horizon,long_horizon,aligned_origins,nchpd_l1,chpd_l2,relative_disagreement_amplitude
ETTh2,96,192,2161,0.016577934846282005,0.00064289994770661,0.05316406488418579
ETTh2,96,336,2161,0.01484205387532711,0.0005075433873571455,0.04727859050035477
ETTh2,96,720,2161,0.04058973491191864,0.003443595487624407,0.1218176931142807
ETTh2,192,336,2161,0.01497859600931406,0.0004775095439981669,0.039010774344205856
ETTh2,192,720,2161,0.036493271589279175,0.0026446031406521797,0.09114906191825867
ETTh2,336,720,2161,0.036601971834897995,0.0025980877690017223,0.07801638543605804
