dataset,carrier,seed,train_selected_arm,carrier_skill_relative_gain,prediction_disagreement_min,prediction_disagreement_median,prediction_disagreement_max,crossing,crossing_pairs,canonical_oracle_relative_gain,validation_best_fixed_arm,oracle_vs_validation_best_fixed_gain,validation_bin_policy_vs_fixed_gain,sample_oracle_vs_validation_bin_policy_gain,canonical_vs_random_oracle_relative_gain,a6_lbf_h720_mse,train_selected_vs_a6_lbf_h720_gain,validation_best_vs_a6_lbf_h720_gain,maximum_parameter_relative_gap,severe_degradation,invariants_pass
ETTh1,a6_natural,2021,c_s720,0.4553971895141936,0.09224236838938758,0.15041672475067763,0.17955708273450174,True,s1_vs_s144;s1_vs_s360;s1_vs_s720;s48_vs_s144;s144_vs_s720;s360_vs_s720,0.09911423747942691,c_s48,0.08589415159990856,0.0018308916057705432,0.08421745302193524,0.004035023399806023,1.4085524039963881,-0.0034033054715183223,0.00683572260760925,0.0016455387615797173,False,True
ETTh2,a6_natural,2021,c_s720,0.06978386797948208,0.1633325651047271,0.31189886285591384,0.4061093981712944,True,s1_vs_s48;s1_vs_s144;s1_vs_s360;s1_vs_s720;s48_vs_s144;s48_vs_s360;s48_vs_s720;s144_vs_s360;s144_vs_s720;s360_vs_s720,0.09917680566805082,c_s1,0.0837919900833103,0.013324520148219691,0.0714190951068089,0.01230720260341625,0.6463289392284222,-0.07645081268667343,-0.05469868969261218,0.0004462836741317754,False,True
ETTm1,a6_natural,2021,c_s720,0.49849833058766946,0.09173430194711309,0.11360686806074852,0.19920300158714332,True,s1_vs_s144;s1_vs_s360;s1_vs_s720;s48_vs_s144;s48_vs_s360;s48_vs_s720;s144_vs_s360;s360_vs_s720,0.080502863959238,c_s48,0.07948494501511032,0.004802158070622664,0.07504315604191936,0.004150625490847991,0.9540847590814034,-0.02352002424304892,-0.019315352915588366,0.0004462836741317754,False,True
ETTm2,a6_natural,2021,c_s720,0.2615206722754609,0.25620329174086326,0.31137279886895336,0.3871815620504353,True,s1_vs_s48;s1_vs_s144;s1_vs_s360;s1_vs_s720;s48_vs_s144;s48_vs_s360;s48_vs_s720;s144_vs_s360;s144_vs_s720;s360_vs_s720,0.15221214033414382,c_s1,0.13989780587000752,0.012695506396992339,0.12883796265203962,0.0032956117242714062,0.28115178919397293,-0.04259021692970605,-0.01588408738343411,0.0007194618380273418,False,True
Weather,a6_natural,2021,c_s360,0.5247628800057266,0.12346724696401147,0.13252172403288953,0.17194245198347174,True,s1_vs_s144;s48_vs_s360;s48_vs_s720;s144_vs_s360;s144_vs_s720,0.06845176373645089,c_s360,0.06845176373645089,0.0008864279585103039,0.06762528071747065,0.009514057821199209,0.5898309545798435,-0.0012127094452117511,-0.0012127094452117511,0.0004462836741317754,False,True
