epoch,train_loss,train_pred_loss,train_alignment_loss,train_reconstruction_loss,mse,mae
1,142.3616596046069,0.5619229281202276,0.7301359508477204,2835.264538487644,0.5644121170043945,0.38840973377227783
2,141.93394230781718,0.5270287175761893,0.6159908372036954,2827.5222338953763,0.5665398240089417,0.39085063338279724
3,141.43005706570673,0.5186681542413455,0.5780934215860164,2817.649636126579,0.5618457794189453,0.384128600358963
4,140.73240001489086,0.5130162626927626,0.5161445479021005,2803.8714697005903,0.5470560193061829,0.3885408937931061
5,140.2787664088797,0.5084099487421361,0.4809164457710077,2794.926164343002,0.5647578835487366,0.3904874920845032
6,139.77340848395164,0.5031153283854748,0.4449131930550785,2784.9609071988584,0.5766755938529968,0.3988407254219055
7,138.8803304983369,0.49717861149750703,0.40234554173253106,2767.260638514309,0.5675181150436401,0.3917495608329773
8,137.96741924556434,0.4912690648161773,0.35714299839439123,2749.1658165032136,0.5730300545692444,0.3987935781478882
9,137.7554650205247,0.48568136799842754,0.32070705949837436,2745.0749244419394,0.5743846297264099,0.3968946635723114
10,137.167016239031,0.48013406146502663,0.29479302920348255,2733.4428083271,0.56789231300354,0.3978739380836487
11,136.61490556703393,0.4744255911585287,0.27452500978260175,2722.535037642675,0.6019760370254517,0.41070568561553955
12,136.01042612224606,0.4684034469702565,0.25562233747319973,2710.5847815114557,0.6007484197616577,0.41480666399002075
13,135.0529610654141,0.46260414161580676,0.24160486480868454,2691.5654883418524,0.6158352494239807,0.4178348183631897
14,134.7211446491539,0.4571599317780623,0.22796839940632488,2685.0516803281525,0.6226730942726135,0.42004385590553284
