job,dataset,arm,projection_mode,partition,conditioning_strength,mode_rank,profile,seed,split
1,Weather,frsc_scope_a055,scope,canonical,0.55,116,r2b_p12_d64_ff128_medium,2021,validation
2,Weather,frsc_random_a055,scope,random,0.55,116,r2b_p12_d64_ff128_medium,2021,validation
3,Weather,frsc_global_a055,global,canonical,0.55,116,r2b_p12_d64_ff128_medium,2021,validation
4,Weather,frsc_global_a045,global,canonical,0.45,116,r2b_p12_d64_ff128_medium,2021,validation
5,ETTm1,frsc_scope_a055,scope,canonical,0.55,116,r2b_p24_d32_ff64_narrow,2021,validation
6,ETTm1,frsc_random_a055,scope,random,0.55,116,r2b_p24_d32_ff64_narrow,2021,validation
7,ETTm1,frsc_global_a055,global,canonical,0.55,116,r2b_p24_d32_ff64_narrow,2021,validation
8,ETTm1,frsc_global_a045,global,canonical,0.45,116,r2b_p24_d32_ff64_narrow,2021,validation
9,ETTh1,frsc_scope_a055,scope,canonical,0.55,109,r2b_p24_d64_ff128_medium,2021,validation
10,ETTh1,frsc_random_a055,scope,random,0.55,109,r2b_p24_d64_ff128_medium,2021,validation
11,ETTh1,frsc_global_a055,global,canonical,0.55,109,r2b_p24_d64_ff128_medium,2021,validation
12,ETTh1,frsc_global_a045,global,canonical,0.45,109,r2b_p24_d64_ff128_medium,2021,validation
13,ETTh2,frsc_scope_a055,scope,canonical,0.55,116,r2b_p12_d64_ff128_medium,2021,validation
14,ETTh2,frsc_random_a055,scope,random,0.55,116,r2b_p12_d64_ff128_medium,2021,validation
15,ETTh2,frsc_global_a055,global,canonical,0.55,116,r2b_p12_d64_ff128_medium,2021,validation
16,ETTh2,frsc_global_a045,global,canonical,0.45,116,r2b_p12_d64_ff128_medium,2021,validation
17,ETTm2,frsc_scope_a055,scope,canonical,0.55,106,r2b_p48_d64_ff128_medium,2021,validation
18,ETTm2,frsc_random_a055,scope,random,0.55,106,r2b_p48_d64_ff128_medium,2021,validation
19,ETTm2,frsc_global_a055,global,canonical,0.55,106,r2b_p48_d64_ff128_medium,2021,validation
20,ETTm2,frsc_global_a045,global,canonical,0.45,106,r2b_p48_d64_ff128_medium,2021,validation
