source_prior,profiles,minimum_mean_mse_4h,minimum_mean_mae_4h,minimum_h192_normalized_gap,minimum_h336_normalized_gap,maximum_main_ii_best_cells
context_dropout_joint,4,0.39407041736288423,0.4183306603655126,0.008643331242494279,0.005458685411152242,2
local_context_patch_refinement,18,0.3918800378991139,0.417251383294568,0.004051568983631348,-0.001756494215649329,3
winner_dropout_interaction,7,0.3907248200645383,0.41700580932550546,0.0038202630620279843,0.006798804573366679,4
winner_learning_rate_interaction,10,0.39136167865517457,0.41676071304427253,0.004792537759161664,0.007979178994790614,4
winner_lr_dropout_joint,5,0.3910947349475597,0.4167442415618345,0.004458089568210588,0.007730192797033575,4
winner_mode_rank_interaction,5,0.39453097424651334,0.4179486274047699,0.004580517344194568,0.006863508439517774,3
winner_weight_decay_interaction,5,0.3913142841466708,0.4172070380985394,0.004598911703941333,0.008081617864723278,4
