phase,trial_id,profile_id,source_prior,seq_len,patch_num,patch_len,d_model,d_ff,dropout,learning_rate,weight_decay,batch_size,gradient_accumulation_steps,mode_rank,layer_norm,max_epochs,early_stopping_patience,h96_mse,h96_mae,h192_mse,h192_mae,h336_mse,h336_mae,h720_mse,h720_mae,mean_mse_4h,mean_mae_4h,main_ii_best_cells,h192_normalized_gap,h336_normalized_gap
H1,ETTh1__h1_current,h1_conservative_anchor,exact_v1_natural_profile,720,24,30.0,64,128,0.1,0.0001,0.01,32,1,109,1,20,5,0.36598459999999616,0.4034015337787092,0.3921120819997885,0.41870207218255784,0.41358167716531435,0.43542753212719487,0.4719652058814105,0.4813734921559826,0.4109108912616274,0.4347261575611111,0,0.04358983095314817,0.04953573909632003
H1,ETTh1__h1_timealign,h1_timealign_source_prior,TimeAlign_ETTh1_official,720,24,30.0,32,32,0.1,0.0005,0.01,32,1,109,1,20,5,0.35291844758101404,0.39065923911104444,0.3794334112106912,0.40591062276327566,0.3961510935400803,0.418583873432822,0.45379835461460316,0.46615386658053315,0.3955753267365972,0.42032690047191884,0,0.010775173608378874,0.007114641966910362
H2,ETTh1__h2_capacity128,h2_capacity128,H1_conservative_winner_capacity_neighbor,720,24,30.0,128,256,0.1,0.0001,0.01,32,1,109,1,30,7,0.3726691560464721,0.40674829346527824,0.4008566397367037,0.4231601901167618,0.41745660371241655,0.43747430039800134,0.4734004354455661,0.4812768749119876,0.4160957087352896,0.4371649147230072,0,0.06079416407277127,0.05692572910788496
H2,ETTh1__h2_lookback336,h2_lookback336,TimeAlign_paper_lookback_search_neighbor,336,24,14.0,64,128,0.1,0.0001,0.01,32,1,109,1,30,7,0.3596116976445867,0.3897643906576298,0.3876314386915645,0.4060186771976316,0.4103663908599436,0.4234707879801805,0.4658897615606655,0.4698286501350276,0.40587482218919013,0.4222706264926174,0,0.021840272978841724,0.031073957336157698
H2,ETTh1__h2_lr5e4,h2_lr5e4,H1_conservative_winner_learning_rate_neighbor,720,24,30.0,64,128,0.1,0.0005,0.01,32,1,109,1,30,7,0.4135912690136891,0.42574305637535154,0.4401470089339731,0.4407071073199128,0.46048035321326203,0.4548257786212272,0.5093401278988224,0.49757364724543074,0.4558896897649367,0.4547123973904805,0,0.13500584688698003,0.13251846598789907
H4J,ETTh1__h4j_dropout2,h4j_dropout2,ETTh1_long_horizon_regularization_neighbor,720,24,30.0,32,32,0.2,0.0005,0.01,32,1,109,1,45,10,0.35209460674431514,0.39024004665564516,0.37893801216121265,0.4055381963473987,0.3966921434496768,0.4189314318602485,0.4547884787922347,0.4668857160396583,0.39562831028685985,0.42039884772573766,0,0.009651424607237113,0.00822073912502208
H4J,ETTh1__h4j_lr3e4,h4j_lr3e4,ETTh1_joint_winner_optimizer_neighbor,720,24,30.0,32,32,0.1,0.0003,0.01,32,1,109,1,45,10,0.351976402970048,0.39123289011502366,0.3781118196471161,0.4064746981892506,0.39353640120983735,0.41980139259626054,0.45045415910275827,0.46662598434351565,0.39351969573243994,0.4210337413110126,1,0.009714637874327137,0.005251425773215024
H4K,ETTh1__h4k_lr2e4,h4k_lr2e4,H4J_joint_winner_optimizer_lower_neighbor_for_H720,720,24,30.0,32,32,0.1,0.0002,0.01,32,1,109,1,45,10,0.35571615847561033,0.3955561935024086,0.3808345443667259,0.4103190716552163,0.3958959346289022,0.42388468799475143,0.4568395714159154,0.47192627836948614,0.3973215522217885,0.4254215578804656,0,0.01812649653774434,0.013161183657395825
H4K,ETTh1__h4k_lr3e4_rank64,h4k_lr3e4_rank64,H4J_joint_winner_decoder_rank_neighbor_for_H720,720,24,30.0,32,32,0.1,0.0003,0.01,32,1,64,1,45,10,0.37090588200241187,0.40089398800707715,0.39844799481388216,0.417151468409893,0.41189791833733663,0.42942508930102075,0.4575944188461715,0.4701045111381363,0.40971155349995053,0.4293937642140318,0,0.05010910304772964,0.04017907774158713
H5A,ETTh1__h5a_budget90,h5a_budget90,current_best_budget_extension,720,24,30.0,32,32,0.1,0.0003,0.01,32,1,109,1,90,18,0.351796174621001,0.3910666280675493,0.37800605867651293,0.4063574848850813,0.39336539458624104,0.4196553433898569,0.44997869445825006,0.4663634868337411,0.39328658058550126,0.42086073579405714,2,0.009427835555103292,0.004858320182796416
H5A,ETTh1__h5a_d16_ff16,h5a_d16_ff16,capacity_lower_boundary,720,24,30.0,16,16,0.1,0.0003,0.01,32,1,109,1,90,18,0.3628746307109589,0.3963652549450114,0.3957491874609166,0.4153715654803522,0.42097525786199397,0.4347083828408336,0.4776353910153006,0.48204245303976756,0.4143086167622925,0.4321219140764912,0,0.044296883629918904,0.05807796819043931
H5A,ETTh1__h5a_d32_ff64,h5a_d32_ff64,feedforward_width_upper_neighbor,720,24,30.0,32,64,0.1,0.0003,0.01,32,1,109,1,90,18,0.36832626215560266,0.40537726552203035,0.3955004244314458,0.4215341524490872,0.4109220569451544,0.4352508947284091,0.48548160796031253,0.4897829015838381,0.41505758787312885,0.43798630357084123,0,0.05163010875571783,0.04593969379235485
H5A,ETTh1__h5a_dropout0,h5a_dropout0,regularization_lower_boundary,720,24,30.0,32,32,0.0,0.0003,0.01,32,1,109,1,90,18,0.35263903755318726,0.392227794173346,0.37806032573045234,0.40689681301132746,0.3929816995557158,0.41983420079089445,0.4494622252010723,0.4663041602254536,0.3932858220101069,0.4213157420502554,2,0.0101709977541945,0.004585131404137632
H5A,ETTh1__h5a_dropout05,h5a_dropout05,regularization_lower_interpolation,720,24,30.0,32,32,0.05,0.0003,0.01,32,1,109,1,90,18,0.3517899489511269,0.3914689278428596,0.37776369082669,0.40661153936377054,0.3929114667392718,0.4197015183422738,0.4491778575974375,0.4660354382824531,0.3929107410286315,0.42095435595783925,2,0.00942066657957974,0.004336302578937579
H5A,ETTh1__h5a_dropout15,h5a_dropout15,regularization_upper_interpolation,720,24,30.0,32,32,0.15,0.0003,0.01,32,1,109,1,90,18,0.35154369982100186,0.3907399694933455,0.37797900298522763,0.4062770932467442,0.3934487762032929,0.4196649805271473,0.45024455229970106,0.4664673026678356,0.3933040078273059,0.42078733648376815,2,0.009291771700134621,0.004975986762755458
H5A,ETTh1__h5a_layernorm0,h5a_layernorm0,TimeAlign_encoder_normalization_prior,720,24,30.0,32,32,0.1,0.0003,0.01,32,1,109,0,90,18,0.3527120852630301,0.38674847929835887,0.3861521232741128,0.40540991880654037,0.4094191224232759,0.42283023452454155,0.4637680274753366,0.4712646686674175,0.40301283960893886,0.4215633253242146,0,0.01911069024426526,0.029098885227746396
H5A,ETTh1__h5a_lr2p5e4,h5a_lr2p5e4,optimizer_lower_interpolation,720,24,30.0,32,32,0.1,0.00025,0.01,32,1,109,1,90,18,0.3532456334133087,0.3931229841290858,0.37916391176860015,0.4083316250935778,0.39431909799546844,0.4216744406559591,0.4520715588493086,0.46850197631681717,0.39470005050667145,0.42290775654886,1,0.013427037947160603,0.008498482897542403
