dataset,profile,variant,horizon,output_shape,full_prefix_max_abs,pass
Weather,r2b_p12_d64_ff128_medium,learned-basis-forecast-operator,1,"[1, 1, 21]",4.172325134277344e-07,True
Weather,r2b_p12_d64_ff128_medium,learned-basis-forecast-operator,48,"[1, 48, 21]",0.0,True
Weather,r2b_p12_d64_ff128_medium,learned-basis-forecast-operator,96,"[1, 96, 21]",0.0,True
Weather,r2b_p12_d64_ff128_medium,learned-basis-forecast-operator,192,"[1, 192, 21]",0.0,True
Weather,r2b_p12_d64_ff128_medium,learned-basis-forecast-operator,336,"[1, 336, 21]",0.0,True
Weather,r2b_p12_d64_ff128_medium,learned-basis-forecast-operator,720,"[1, 720, 21]",0.0,True
Weather,r2b_p12_d64_ff128_medium,pmfo-rct,1,"[1, 1, 21]",2.2351741790771484e-08,True
Weather,r2b_p12_d64_ff128_medium,pmfo-rct,48,"[1, 48, 21]",3.725290298461914e-08,True
Weather,r2b_p12_d64_ff128_medium,pmfo-rct,96,"[1, 96, 21]",3.725290298461914e-08,True
Weather,r2b_p12_d64_ff128_medium,pmfo-rct,192,"[1, 192, 21]",5.21540641784668e-08,True
Weather,r2b_p12_d64_ff128_medium,pmfo-rct,336,"[1, 336, 21]",5.960464477539063e-08,True
Weather,r2b_p12_d64_ff128_medium,pmfo-rct,720,"[1, 720, 21]",0.0,True
Weather,r2b_p12_d64_ff128_medium,pmfo-rct-no-transition,1,"[1, 1, 21]",3.026798367500305e-08,True
Weather,r2b_p12_d64_ff128_medium,pmfo-rct-no-transition,48,"[1, 48, 21]",1.1920928955078125e-07,True
Weather,r2b_p12_d64_ff128_medium,pmfo-rct-no-transition,96,"[1, 96, 21]",2.384185791015625e-07,True
Weather,r2b_p12_d64_ff128_medium,pmfo-rct-no-transition,192,"[1, 192, 21]",2.384185791015625e-07,True
Weather,r2b_p12_d64_ff128_medium,pmfo-rct-no-transition,336,"[1, 336, 21]",0.0,True
Weather,r2b_p12_d64_ff128_medium,pmfo-rct-no-transition,720,"[1, 720, 21]",0.0,True
Weather,r2b_p12_d64_ff128_medium,pmfo-rct-no-conservation,1,"[1, 1, 21]",1.4901161193847656e-08,True
Weather,r2b_p12_d64_ff128_medium,pmfo-rct-no-conservation,48,"[1, 48, 21]",4.470348358154297e-08,True
Weather,r2b_p12_d64_ff128_medium,pmfo-rct-no-conservation,96,"[1, 96, 21]",4.470348358154297e-08,True
Weather,r2b_p12_d64_ff128_medium,pmfo-rct-no-conservation,192,"[1, 192, 21]",4.470348358154297e-08,True
Weather,r2b_p12_d64_ff128_medium,pmfo-rct-no-conservation,336,"[1, 336, 21]",4.470348358154297e-08,True
Weather,r2b_p12_d64_ff128_medium,pmfo-rct-no-conservation,720,"[1, 720, 21]",0.0,True
Weather,r2b_p12_d64_ff128_medium,dense-mlp-matched,1,"[1, 1, 21]",0.0,True
Weather,r2b_p12_d64_ff128_medium,dense-mlp-matched,48,"[1, 48, 21]",0.0,True
Weather,r2b_p12_d64_ff128_medium,dense-mlp-matched,96,"[1, 96, 21]",0.0,True
Weather,r2b_p12_d64_ff128_medium,dense-mlp-matched,192,"[1, 192, 21]",0.0,True
Weather,r2b_p12_d64_ff128_medium,dense-mlp-matched,336,"[1, 336, 21]",0.0,True
Weather,r2b_p12_d64_ff128_medium,dense-mlp-matched,720,"[1, 720, 21]",0.0,True
ETTm1,r2b_p24_d32_ff64_narrow,learned-basis-forecast-operator,1,"[1, 1, 7]",4.172325134277344e-07,True
ETTm1,r2b_p24_d32_ff64_narrow,learned-basis-forecast-operator,48,"[1, 48, 7]",0.0,True
ETTm1,r2b_p24_d32_ff64_narrow,learned-basis-forecast-operator,96,"[1, 96, 7]",0.0,True
ETTm1,r2b_p24_d32_ff64_narrow,learned-basis-forecast-operator,192,"[1, 192, 7]",0.0,True
ETTm1,r2b_p24_d32_ff64_narrow,learned-basis-forecast-operator,336,"[1, 336, 7]",0.0,True
ETTm1,r2b_p24_d32_ff64_narrow,learned-basis-forecast-operator,720,"[1, 720, 7]",0.0,True
ETTm1,r2b_p24_d32_ff64_narrow,pmfo-rct,1,"[1, 1, 7]",1.4901161193847656e-08,True
ETTm1,r2b_p24_d32_ff64_narrow,pmfo-rct,48,"[1, 48, 7]",4.470348358154297e-08,True
ETTm1,r2b_p24_d32_ff64_narrow,pmfo-rct,96,"[1, 96, 7]",2.9802322387695312e-08,True
ETTm1,r2b_p24_d32_ff64_narrow,pmfo-rct,192,"[1, 192, 7]",4.470348358154297e-08,True
ETTm1,r2b_p24_d32_ff64_narrow,pmfo-rct,336,"[1, 336, 7]",4.470348358154297e-08,True
ETTm1,r2b_p24_d32_ff64_narrow,pmfo-rct,720,"[1, 720, 7]",0.0,True
ETTm1,r2b_p24_d32_ff64_narrow,pmfo-rct-no-transition,1,"[1, 1, 7]",5.960464477539063e-08,True
ETTm1,r2b_p24_d32_ff64_narrow,pmfo-rct-no-transition,48,"[1, 48, 7]",0.0,True
ETTm1,r2b_p24_d32_ff64_narrow,pmfo-rct-no-transition,96,"[1, 96, 7]",0.0,True
ETTm1,r2b_p24_d32_ff64_narrow,pmfo-rct-no-transition,192,"[1, 192, 7]",0.0,True
ETTm1,r2b_p24_d32_ff64_narrow,pmfo-rct-no-transition,336,"[1, 336, 7]",0.0,True
ETTm1,r2b_p24_d32_ff64_narrow,pmfo-rct-no-transition,720,"[1, 720, 7]",0.0,True
ETTm1,r2b_p24_d32_ff64_narrow,pmfo-rct-no-conservation,1,"[1, 1, 7]",4.470348358154297e-08,True
ETTm1,r2b_p24_d32_ff64_narrow,pmfo-rct-no-conservation,48,"[1, 48, 7]",2.9802322387695312e-08,True
ETTm1,r2b_p24_d32_ff64_narrow,pmfo-rct-no-conservation,96,"[1, 96, 7]",4.470348358154297e-08,True
ETTm1,r2b_p24_d32_ff64_narrow,pmfo-rct-no-conservation,192,"[1, 192, 7]",4.470348358154297e-08,True
ETTm1,r2b_p24_d32_ff64_narrow,pmfo-rct-no-conservation,336,"[1, 336, 7]",4.0978193283081055e-08,True
ETTm1,r2b_p24_d32_ff64_narrow,pmfo-rct-no-conservation,720,"[1, 720, 7]",0.0,True
ETTm1,r2b_p24_d32_ff64_narrow,dense-mlp-matched,1,"[1, 1, 7]",0.0,True
ETTm1,r2b_p24_d32_ff64_narrow,dense-mlp-matched,48,"[1, 48, 7]",0.0,True
ETTm1,r2b_p24_d32_ff64_narrow,dense-mlp-matched,96,"[1, 96, 7]",0.0,True
ETTm1,r2b_p24_d32_ff64_narrow,dense-mlp-matched,192,"[1, 192, 7]",0.0,True
ETTm1,r2b_p24_d32_ff64_narrow,dense-mlp-matched,336,"[1, 336, 7]",0.0,True
ETTm1,r2b_p24_d32_ff64_narrow,dense-mlp-matched,720,"[1, 720, 7]",0.0,True
ETTh2,r2b_p12_d64_ff128_medium,learned-basis-forecast-operator,1,"[1, 1, 7]",2.5331974029541016e-07,True
ETTh2,r2b_p12_d64_ff128_medium,learned-basis-forecast-operator,48,"[1, 48, 7]",0.0,True
ETTh2,r2b_p12_d64_ff128_medium,learned-basis-forecast-operator,96,"[1, 96, 7]",0.0,True
ETTh2,r2b_p12_d64_ff128_medium,learned-basis-forecast-operator,192,"[1, 192, 7]",0.0,True
ETTh2,r2b_p12_d64_ff128_medium,learned-basis-forecast-operator,336,"[1, 336, 7]",0.0,True
ETTh2,r2b_p12_d64_ff128_medium,learned-basis-forecast-operator,720,"[1, 720, 7]",0.0,True
ETTh2,r2b_p12_d64_ff128_medium,pmfo-rct,1,"[1, 1, 7]",4.470348358154297e-08,True
ETTh2,r2b_p12_d64_ff128_medium,pmfo-rct,48,"[1, 48, 7]",2.9802322387695312e-08,True
ETTh2,r2b_p12_d64_ff128_medium,pmfo-rct,96,"[1, 96, 7]",3.3527612686157227e-08,True
ETTh2,r2b_p12_d64_ff128_medium,pmfo-rct,192,"[1, 192, 7]",4.470348358154297e-08,True
ETTh2,r2b_p12_d64_ff128_medium,pmfo-rct,336,"[1, 336, 7]",4.470348358154297e-08,True
ETTh2,r2b_p12_d64_ff128_medium,pmfo-rct,720,"[1, 720, 7]",0.0,True
ETTh2,r2b_p12_d64_ff128_medium,pmfo-rct-no-transition,1,"[1, 1, 7]",5.960464477539063e-08,True
ETTh2,r2b_p12_d64_ff128_medium,pmfo-rct-no-transition,48,"[1, 48, 7]",0.0,True
ETTh2,r2b_p12_d64_ff128_medium,pmfo-rct-no-transition,96,"[1, 96, 7]",0.0,True
ETTh2,r2b_p12_d64_ff128_medium,pmfo-rct-no-transition,192,"[1, 192, 7]",0.0,True
ETTh2,r2b_p12_d64_ff128_medium,pmfo-rct-no-transition,336,"[1, 336, 7]",0.0,True
ETTh2,r2b_p12_d64_ff128_medium,pmfo-rct-no-transition,720,"[1, 720, 7]",0.0,True
ETTh2,r2b_p12_d64_ff128_medium,pmfo-rct-no-conservation,1,"[1, 1, 7]",2.9802322387695312e-08,True
ETTh2,r2b_p12_d64_ff128_medium,pmfo-rct-no-conservation,48,"[1, 48, 7]",4.470348358154297e-08,True
ETTh2,r2b_p12_d64_ff128_medium,pmfo-rct-no-conservation,96,"[1, 96, 7]",3.725290298461914e-08,True
ETTh2,r2b_p12_d64_ff128_medium,pmfo-rct-no-conservation,192,"[1, 192, 7]",4.470348358154297e-08,True
ETTh2,r2b_p12_d64_ff128_medium,pmfo-rct-no-conservation,336,"[1, 336, 7]",5.960464477539063e-08,True
ETTh2,r2b_p12_d64_ff128_medium,pmfo-rct-no-conservation,720,"[1, 720, 7]",0.0,True
ETTh2,r2b_p12_d64_ff128_medium,dense-mlp-matched,1,"[1, 1, 7]",0.0,True
ETTh2,r2b_p12_d64_ff128_medium,dense-mlp-matched,48,"[1, 48, 7]",0.0,True
ETTh2,r2b_p12_d64_ff128_medium,dense-mlp-matched,96,"[1, 96, 7]",0.0,True
ETTh2,r2b_p12_d64_ff128_medium,dense-mlp-matched,192,"[1, 192, 7]",0.0,True
