dataset,dense_rank,a6_active_parameters,dense_active_parameters,parameter_relative_gap,initial_standard_output_max_abs,initial_dense_residual_max_abs,coefficient_first_step_gradient_norm,basis_second_step_gradient_norm,dense_second_step_residual_std,pass
Weather,234,419216,419675,0.001094900957978703,6.705522537231445e-08,0.0,1.5772327640633441,0.017512377351522446,0.02411624789237976,True
ETTm1,250,391408,390891,0.001320872337816294,7.450580596923828e-08,0.0,1.5619297850275131,0.017271215096116066,0.023215534165501595,True
ETTh1,241,613904,613266,0.0010392504365503402,8.940696716308594e-08,0.0,2.1816616858058198,0.033904727548360825,0.046092722564935684,True
ETTh2,234,419216,419675,0.001094900957978703,6.705522537231445e-08,0.0,1.5772327640633441,0.017512377351522446,0.02411624789237976,True
ETTm2,247,1006160,1005240,0.0009143674962232646,8.940696716308594e-08,0.0,3.011923784009732,0.06404156237840652,0.0890616923570633,True
