job_index,dataset,arm,readout_mode,evaluation_role,objective_mode,profile,patch_num,d_model,d_ff,dense_rank,seed
1,Weather,FCMI,fcmi,formal_test,measure_only,r2b_p12_d64_ff128_medium,12,64,128,0,2021
2,Weather,DENSE_DUAL_MATCHED,fcmi-dense-capacity-matched,formal_test,measure_only,r2b_p12_d64_ff128_medium,12,64,128,234,2021
3,Weather,A6_MEASURE,learned-basis-forecast-operator,formal_test,measure_only,r2b_p12_d64_ff128_medium,12,64,128,0,2021
4,Weather,STANDARD_DUAL_MATCHED,fcmi-standard-dual-matched,formal_test,measure_only,r2b_p12_d64_ff128_medium,12,64,128,0,2021
5,Weather,GENERIC_DUAL_MATCHED,fcmi-generic-dual-matched,formal_test,measure_only,r2b_p12_d64_ff128_medium,12,64,128,0,2021
6,Weather,FCMI_ORDER_SHUFFLED,fcmi-order-shuffled,formal_test,measure_only,r2b_p12_d64_ff128_medium,12,64,128,0,2021
7,Weather,STANDARD_QUERY,fcmi-standard-query,formal_test,measure_only,r2b_p12_d64_ff128_medium,12,64,128,0,2021
8,Weather,TARGET_SHUFFLED_QUERY,fcmi-target-shuffled-query,formal_test,measure_only,r2b_p12_d64_ff128_medium,12,64,128,0,2021
9,ETTm1,FCMI,fcmi,formal_test,measure_only,r2b_p24_d32_ff64_narrow,24,32,64,0,2021
10,ETTm1,DENSE_DUAL_MATCHED,fcmi-dense-capacity-matched,formal_test,measure_only,r2b_p24_d32_ff64_narrow,24,32,64,250,2021
11,ETTm1,A6_MEASURE,learned-basis-forecast-operator,formal_test,measure_only,r2b_p24_d32_ff64_narrow,24,32,64,0,2021
12,ETTm1,STANDARD_DUAL_MATCHED,fcmi-standard-dual-matched,formal_test,measure_only,r2b_p24_d32_ff64_narrow,24,32,64,0,2021
13,ETTm1,GENERIC_DUAL_MATCHED,fcmi-generic-dual-matched,formal_test,measure_only,r2b_p24_d32_ff64_narrow,24,32,64,0,2021
14,ETTm1,FCMI_ORDER_SHUFFLED,fcmi-order-shuffled,formal_test,measure_only,r2b_p24_d32_ff64_narrow,24,32,64,0,2021
15,ETTm1,STANDARD_QUERY,fcmi-standard-query,formal_test,measure_only,r2b_p24_d32_ff64_narrow,24,32,64,0,2021
16,ETTm1,TARGET_SHUFFLED_QUERY,fcmi-target-shuffled-query,formal_test,measure_only,r2b_p24_d32_ff64_narrow,24,32,64,0,2021
17,ETTh1,FCMI,fcmi,formal_test,measure_only,r2b_p24_d64_ff128_medium,24,64,128,0,2021
18,ETTh1,DENSE_DUAL_MATCHED,fcmi-dense-capacity-matched,formal_test,measure_only,r2b_p24_d64_ff128_medium,24,64,128,241,2021
19,ETTh1,A6_MEASURE,learned-basis-forecast-operator,formal_test,measure_only,r2b_p24_d64_ff128_medium,24,64,128,0,2021
20,ETTh1,STANDARD_DUAL_MATCHED,fcmi-standard-dual-matched,formal_test,measure_only,r2b_p24_d64_ff128_medium,24,64,128,0,2021
21,ETTh1,GENERIC_DUAL_MATCHED,fcmi-generic-dual-matched,formal_test,measure_only,r2b_p24_d64_ff128_medium,24,64,128,0,2021
22,ETTh1,FCMI_ORDER_SHUFFLED,fcmi-order-shuffled,formal_test,measure_only,r2b_p24_d64_ff128_medium,24,64,128,0,2021
23,ETTh1,STANDARD_QUERY,fcmi-standard-query,formal_test,measure_only,r2b_p24_d64_ff128_medium,24,64,128,0,2021
24,ETTh1,TARGET_SHUFFLED_QUERY,fcmi-target-shuffled-query,formal_test,measure_only,r2b_p24_d64_ff128_medium,24,64,128,0,2021
25,ETTh2,FCMI,fcmi,formal_test,measure_only,r2b_p12_d64_ff128_medium,12,64,128,0,2021
26,ETTh2,DENSE_DUAL_MATCHED,fcmi-dense-capacity-matched,formal_test,measure_only,r2b_p12_d64_ff128_medium,12,64,128,234,2021
27,ETTh2,A6_MEASURE,learned-basis-forecast-operator,formal_test,measure_only,r2b_p12_d64_ff128_medium,12,64,128,0,2021
28,ETTh2,STANDARD_DUAL_MATCHED,fcmi-standard-dual-matched,formal_test,measure_only,r2b_p12_d64_ff128_medium,12,64,128,0,2021
29,ETTh2,GENERIC_DUAL_MATCHED,fcmi-generic-dual-matched,formal_test,measure_only,r2b_p12_d64_ff128_medium,12,64,128,0,2021
30,ETTh2,FCMI_ORDER_SHUFFLED,fcmi-order-shuffled,formal_test,measure_only,r2b_p12_d64_ff128_medium,12,64,128,0,2021
31,ETTh2,STANDARD_QUERY,fcmi-standard-query,formal_test,measure_only,r2b_p12_d64_ff128_medium,12,64,128,0,2021
32,ETTh2,TARGET_SHUFFLED_QUERY,fcmi-target-shuffled-query,formal_test,measure_only,r2b_p12_d64_ff128_medium,12,64,128,0,2021
33,ETTm2,FCMI,fcmi,formal_test,measure_only,r2b_p48_d64_ff128_medium,48,64,128,0,2021
34,ETTm2,DENSE_DUAL_MATCHED,fcmi-dense-capacity-matched,formal_test,measure_only,r2b_p48_d64_ff128_medium,48,64,128,247,2021
35,ETTm2,A6_MEASURE,learned-basis-forecast-operator,formal_test,measure_only,r2b_p48_d64_ff128_medium,48,64,128,0,2021
36,ETTm2,STANDARD_DUAL_MATCHED,fcmi-standard-dual-matched,formal_test,measure_only,r2b_p48_d64_ff128_medium,48,64,128,0,2021
37,ETTm2,GENERIC_DUAL_MATCHED,fcmi-generic-dual-matched,formal_test,measure_only,r2b_p48_d64_ff128_medium,48,64,128,0,2021
38,ETTm2,FCMI_ORDER_SHUFFLED,fcmi-order-shuffled,formal_test,measure_only,r2b_p48_d64_ff128_medium,48,64,128,0,2021
39,ETTm2,STANDARD_QUERY,fcmi-standard-query,formal_test,measure_only,r2b_p48_d64_ff128_medium,48,64,128,0,2021
40,ETTm2,TARGET_SHUFFLED_QUERY,fcmi-target-shuffled-query,formal_test,measure_only,r2b_p48_d64_ff128_medium,48,64,128,0,2021
