category,case,value,threshold,pass
contracts,step46,a496416a676c61b08dc5a5a880cf78295dc068e7129b1ce0759cf0bd9d5166aa,a496416a676c61b08dc5a5a880cf78295dc068e7129b1ce0759cf0bd9d5166aa,True
contracts,step7a_config,df75e0ff97f4e3021104a3e06b4bafb549dbba7bef604be1ed135e35a34025fc,df75e0ff97f4e3021104a3e06b4bafb549dbba7bef604be1ed135e35a34025fc,True
contracts,step7a_gate,cf5be6ebf583144ff9f1b164a9f985b59ba956b00799bd78720520733318ce55,cf5be6ebf583144ff9f1b164a9f985b59ba956b00799bd78720520733318ce55,True
contracts,layer,ae0a3adc1eddbc7fd39836d43b1dc4dab9bb4180c6b2366198b0f334c858cad4,ae0a3adc1eddbc7fd39836d43b1dc4dab9bb4180c6b2366198b0f334c858cad4,True
contracts,model,65d6549bb2c639d4d54f463801a4c59e5589287105cad6be72625e43372d36f0,65d6549bb2c639d4d54f463801a4c59e5589287105cad6be72625e43372d36f0,True
contracts,trainer,aee92c62fa70c34f65b75dbf9b3b2b4f1556eed6c2e39bfef382be89fb309552,aee92c62fa70c34f65b75dbf9b3b2b4f1556eed6c2e39bfef382be89fb309552,True
contracts,evaluator,c8efcd64cf41b6f708caf76ca16cde84b4a543e22af00fef58e825c6dcab6f2f,c8efcd64cf41b6f708caf76ca16cde84b4a543e22af00fef58e825c6dcab6f2f,True
contracts,analyzer,274143db5865dc840300e0c780e565d5305a33f5de13f1d567eb3100b70665ea,274143db5865dc840300e0c780e565d5305a33f5de13f1d567eb3100b70665ea,True
contracts,runner,564ed24abb27021b186a4ec08d33e1be5705486d6374ee3e7b1b07bf7d40bb06,564ed24abb27021b186a4ec08d33e1be5705486d6374ee3e7b1b07bf7d40bb06,True
contracts,profiles,80912741f9da5560234c400a36e2ec48461cef70bf96701b19fcb90ea278990a,80912741f9da5560234c400a36e2ec48461cef70bf96701b19fcb90ea278990a,True
dependency,step7a_committed_gate,step7a_local_pass_step7b_design_freeze_next,step7a_local_pass_step7b_design_freeze_next,True
dependency,step7a_current_code_regression,step7a_local_pass_step7b_design_freeze_next,11/11 pass,True
matrix,complete_unique_matrix,"{'training': 40, 'formal': 40, 'validation_only': 0}",40/40/0 runs and 160/160 cells,True
cli,production_40_cases,40,40,True
