dataset,settings,mse_wins,mean_relative_mse_pct,mean_relative_mae_pct
ETTh2,4,0,0.6915453956968909,0.2453750415938205
ETTm1,4,3,-0.03543100978239955,0.09732829791262998
Weather,4,3,-0.04468232085182988,0.09000021985825502
ALL,12,6,0.20381068835422048,0.14423451978823518
