dataset,settings,mse_wins,mean_relative_mse_pct,mean_relative_mae_pct
ETTh2,4,4,-10.531102644358809,-5.266192080750592
ETTm1,4,3,-1.6367479143601538,-0.249382867665493
Weather,4,2,-0.22162595779561256,0.7610896540253792
ALL,12,9,-4.129825505504859,-1.5848284314635686
