dataset,target_horizon,reference,status,clean_mse,reference_mse,relative_mse_pct,clean_mae,reference_mae,relative_mae_pct,clean_wins_mse
ETTh2,96,historical_a6_lbf_r256,ok,0.24416223168373108,0.24206456542015076,0.8665730401058225,0.31473836302757263,0.3144141733646393,0.1031091122464689,False
ETTh2,192,historical_a6_lbf_r256,ok,0.2861934006214142,0.28280574083328247,1.1978751839160084,0.3473576307296753,0.3456781804561615,0.48584214117812774,False
ETTh2,336,historical_a6_lbf_r256,ok,0.31436556577682495,0.3128487765789032,0.4848314302227097,0.37210166454315186,0.3714315593242645,0.1804114922561828,False
ETTh2,720,historical_a6_lbf_r256,ok,0.3950280547142029,0.3941730856895447,0.21690192854302293,0.4309396743774414,0.43002742528915405,0.2121374206945026,False
ETTm1,96,historical_a6_lbf_r256,ok,0.27276551723480225,0.27308231592178345,-0.1160084957943397,0.33084431290626526,0.33068954944610596,0.04680022710681353,True
ETTm1,192,historical_a6_lbf_r256,ok,0.3091461658477783,0.30935773253440857,-0.06838900870426157,0.35286661982536316,0.3524591624736786,0.1156041309367195,True
ETTm1,336,historical_a6_lbf_r256,ok,0.34693026542663574,0.34717822074890137,-0.07142018348119672,0.3737157881259918,0.37335577607154846,0.09642600369850207,True
ETTm1,720,historical_a6_lbf_r256,ok,0.40836983919143677,0.4079044461250305,0.11409364885019979,0.4053221046924591,0.404793918132782,0.1304828299084848,False
Weather,96,historical_a6_lbf_r256,ok,0.14136819541454315,0.14135877788066864,0.006662150038150294,0.18159954249858856,0.1812770813703537,0.17788300969832083,False
Weather,192,historical_a6_lbf_r256,ok,0.18240033090114594,0.18243719637393951,-0.020207212962219945,0.22314205765724182,0.2229001224040985,0.10853975786728753,True
Weather,336,historical_a6_lbf_r256,ok,0.2316502183675766,0.2317628264427185,-0.04858763455308779,0.26356613636016846,0.26333481073379517,0.08784468172995386,True
Weather,720,historical_a6_lbf_r256,ok,0.3030458390712738,0.30339959263801575,-0.11659658593016209,0.3143439292907715,0.31438878178596497,-0.014266569862542156,True
