dataset,target_horizon,reference,status,clean_mse,reference_mse,relative_mse_pct,clean_mae,reference_mae,relative_mae_pct,clean_wins_mse
ETTh2,96,fixed_horizon_timealign,ok,0.24416223168373108,0.2697129249572754,-9.47329212257505,0.31473836302757263,0.33105576038360596,-4.9288969740704065,True
ETTh2,192,fixed_horizon_timealign,ok,0.2861934006214142,0.33459872007369995,-14.46667800809992,0.3473576307296753,0.3746242821216583,-7.278399370580113,True
ETTh2,336,fixed_horizon_timealign,ok,0.31436556577682495,0.37489190697669983,-16.145011421555356,0.37210166454315186,0.40398865938186646,-7.89304206892939,True
ETTh2,720,fixed_horizon_timealign,ok,0.3950280547142029,0.40325209498405457,-2.0394290252049085,0.4309396743774414,0.43513625860214233,-0.9644299094224595,True
ETTm1,96,fixed_horizon_timealign,ok,0.27276551723480225,0.27859950065612793,-2.0940394392617745,0.33084431290626526,0.32999563217163086,0.25717938417832986,True
ETTm1,192,fixed_horizon_timealign,ok,0.3091461658477783,0.32211652398109436,-4.026604401728018,0.35286661982536316,0.3559790849685669,-0.8743393290868706,True
ETTm1,336,fixed_horizon_timealign,ok,0.34693026542663574,0.34985053539276123,-0.834719307445686,0.3737157881259918,0.374874472618103,-0.3090859945781399,True
ETTm1,720,fixed_horizon_timealign,ok,0.40836983919143677,0.4067089557647705,0.40837149099486325,0.4053221046924591,0.4056112468242645,-0.07128553117529135,False
Weather,96,fixed_horizon_timealign,ok,0.14136819541454315,0.14042679965496063,0.6703818372957304,0.18159954249858856,0.1782880425453186,1.8573875768635562,False
Weather,192,fixed_horizon_timealign,ok,0.18240033090114594,0.1822342574596405,0.0911318452526455,0.22314205765724182,0.22007882595062256,1.3918793384087413,False
Weather,336,fixed_horizon_timealign,ok,0.2316502183675766,0.2326551377773285,-0.43193518929020014,0.26356613636016846,0.2622069716453552,0.5183556738725947,True
Weather,720,fixed_horizon_timealign,ok,0.3030458390712738,0.3067764937877655,-1.216082324440626,0.3143439292907715,0.31663402915000916,-0.7232639730433754,True
